"//
"// COM, set the ComVisible attribute to true on that type."
"// [assembly: AssemblyVersion(""1.0.*"")]"
//      Build Number
//      Major Version"
//      Minor Version
//      Revision
// <autogenerated />
// General Information about an assembly is controlled through the following
// Setting ComVisible to false makes the types in this assembly not visible
// The following GUID is for the ID of the typelib if this project is exposed to COM
// Version information for an assembly consists of the following four values:
// You can specify all the values or you can default the Build and Revision Numbers"
// associated with an assembly.
// by using the '*' as shown below:
// set of attributes. Change these attribute values to modify the information
// to COM components.  If you need to access a type in this assembly from
