"('Admin.', '', '')"
"('Agent.', '', '')"
"('App.', '', '')"
"('Assemblies.', '', '')"
"('AssemblyAttributes.', '', '')"
"('AssemblyInfo.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CharSet.', '', '')"
"('Collections.', '', '')"
"('ComInteropWrapper.', '', '')"
"('Common.', '', '')"
"('Core.', '', '')"
"('CoreCompileInputs.', '', '')"
"('Data.', '', '')"
"('DataSetExtensions.', '', '')"
"('DesignTimeResolveAssemblyReferences.', '', '')"
"('E.', '', '')"
"('Execution.', '', '')"
"('Generic.', '', '')"
"('Http.', '', '')"
"('K.', '', '')"
"('Kernel32.', '', '')"
"('LayoutKind.', '', '')"
"('Linq.', '', '')"
"('Microsoft.', '', '')"
"('MyApplication.', '', '')"
"('Net.', '', '')"
"('Process.', '', '')"
"('Runtime.', '', '')"
"('Shared.', '', '')"
"('System.', '', '')"
"('Tasks.', '', '')"
"('UAgent.', '', '')"
"('USystem.', '', '')"
"('UnmanagedType.', '', '')"
"('VisualStudio.', '', '')"
"('Wil.', '', '')"
"('Xml.', '', '')"
"('admin.', '', '')"
"('assemblyattributes.', '', '')"
"('assemblyinfo.', '', '')"
"('blocketw.', '', '')"
"('csprojAssemblyReference.', '', '')"
"('exe.', '', '')"
"('hook.', '', '')"
"('kernel32.', '', '')"
"('microsoft.', '', '')"
"('mscoree.', '', '')"
"('mscorlib.', '', '')"
"('normidna.', '', '')"
"('normnfc.', '', '')"
"('normnfd.', '', '')"
"('normnfkc.', '', '')"
"('normnfkd.', '', '')"
"('ntdll.', '', '')"
"('rastamouse.', '', '')"
"('remoteexec.', '', '')"
"('win32.', '', '')"
"('xpnsec.', '', '')"
