"('', 'textflag.h')"
"('asm-generic/termbits.h', '')"
"('asm/termbits.h', '')"
"('bits/sockaddr.h', '')"
"('ctype.h', '')"
"('dirent.h', '')"
"('errno.h', '')"
"('fcntl.h', '')"
"('limits.h', '')"
"('linux/bpf.h', '')"
"('linux/can.h', '')"
"('linux/can/error.h', '')"
"('linux/can/netlink.h', '')"
"('linux/can/raw.h', '')"
"('linux/capability.h', '')"
"('linux/cryptouser.h', '')"
"('linux/devlink.h', '')"
"('linux/dm-ioctl.h', '')"
"('linux/errqueue.h', '')"
"('linux/ethtool_netlink.h', '')"
"('linux/falloc.h', '')"
"('linux/fanotify.h', '')"
"('linux/fib_rules.h', '')"
"('linux/filter.h', '')"
"('linux/fs.h', '')"
"('linux/fscrypt.h', '')"
"('linux/fsverity.h', '')"
"('linux/genetlink.h', '')"
"('linux/hdreg.h', '')"
"('linux/hidraw.h', '')"
"('linux/if.h', '')"
"('linux/if_addr.h', '')"
"('linux/if_alg.h', '')"
"('linux/if_arp.h', '')"
"('linux/if_ether.h', '')"
"('linux/if_packet.h', '')"
"('linux/if_ppp.h', '')"
"('linux/if_tun.h', '')"
"('linux/if_xdp.h', '')"
"('linux/input.h', '')"
"('linux/kcm.h', '')"
"('linux/kexec.h', '')"
"('linux/keyctl.h', '')"
"('linux/landlock.h', '')"
"('linux/loop.h', '')"
"('linux/lwtunnel.h', '')"
"('linux/magic.h', '')"
"('linux/memfd.h', '')"
"('linux/module.h', '')"
"('linux/mount.h', '')"
"('linux/net_namespace.h', '')"
"('linux/netfilter/nfnetlink.h', '')"
"('linux/netlink.h', '')"
"('linux/nfc.h', '')"
"('linux/nsfs.h', '')"
"('linux/perf_event.h', '')"
"('linux/pps.h', '')"
"('linux/ptrace.h', '')"
"('linux/random.h', '')"
"('linux/reboot.h', '')"
"('linux/rtc.h', '')"
"('linux/rtnetlink.h', '')"
"('linux/sched.h', '')"
"('linux/seccomp.h', '')"
"('linux/serial.h', '')"
"('linux/sockios.h', '')"
"('linux/taskstats.h', '')"
"('linux/tipc.h', '')"
"('linux/vm_sockets.h', '')"
"('linux/wait.h', '')"
"('linux/watchdog.h', '')"
"('linux/wireguard.h', '')"
"('mtd/mtd-user.h', '')"
"('mtd/ubi-user.h', '')"
"('net/bpf.h', '')"
"('net/if.h', '')"
"('net/if_arp.h', '')"
"('net/if_bridge.h', '')"
"('net/if_clone.h', '')"
"('net/if_types.h', '')"
"('net/if_var.h', '')"
"('net/ip_mroute/ip_mroute.h', '')"
"('net/netopt.h', '')"
"('net/route.h', '')"
"('netinet/icmp6.h', '')"
"('netinet/if_ether.h', '')"
"('netinet/in.h', '')"
"('netinet/in_systm.h', '')"
"('netinet/ip.h', '')"
"('netinet/ip6.h', '')"
"('netinet/ip_mroute.h', '')"
"('netinet/tcp.h', '')"
"('signal.h', '')"
"('stddef.h', '')"
"('stdint.h', '')"
"('stdio.h', '')"
"('stdlib.h', '')"
"('string.h', '')"
"('sys/attr.h', '')"
"('sys/capsicum.h', '')"
"('sys/clonefile.h', '')"
"('sys/disk.h', '')"
"('sys/epoll.h', '')"
"('sys/event.h', '')"
"('sys/eventfd.h', '')"
"('sys/extattr.h', '')"
"('sys/file.h', '')"
"('sys/inotify.h', '')"
"('sys/ioctl.h', '')"
"('sys/kern_control.h', '')"
"('sys/mkdev.h', '')"
"('sys/mman.h', '')"
"('sys/mount.h', '')"
"('sys/param.h', '')"
"('sys/poll.h', '')"
"('sys/prctl.h', '')"
"('sys/protosw.h', '')"
"('sys/ptrace.h', '')"
"('sys/resource.h', '')"
"('sys/sched.h', '')"
"('sys/select.h', '')"
"('sys/signal.h', '')"
"('sys/signalfd.h', '')"
"('sys/socket.h', '')"
"('sys/sockio.h', '')"
"('sys/stat.h', '')"
"('sys/stream.h', '')"
"('sys/stropts.h', '')"
"('sys/sys_domain.h', '')"
"('sys/sysctl.h', '')"
"('sys/termio.h', '')"
"('sys/termios.h', '')"
"('sys/time.h', '')"
"('sys/timerfd.h', '')"
"('sys/ttycom.h', '')"
"('sys/types.h', '')"
"('sys/uio.h', '')"
"('sys/un.h', '')"
"('sys/unistd.h', '')"
"('sys/utsname.h', '')"
"('sys/vsock.h', '')"
"('sys/wait.h', '')"
"('sys/xattr.h', '')"
"('termios.h', '')"
"('time.h', '')"
"('unistd.h', '')"
