"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/1n_only_sandy', '/', '1n_only_sandy')"
"('https://', 'ht', 's', '/3xploitGuy', '/', '3xploitGuy')"
"('https://', 'ht', 's', '/3xploitGuy/pastehakk.git', '/', '3xploitGuy/pastehakk.git')"
"('https://', 'ht', 's', '/46316908/84874176-db148600-b0a1-11ea-9f72-50d889ff52ac.png', '/', '46316908/84874176-db148600-b0a1-11ea-9f72-50d889ff52ac.png')"
"('https://', 'ht', 's', '/badge/License-GNU-red.svg', '/', 'badge/License-GNU-red.svg')"
"('https://', 'ht', 's', '/badge/Version-1.0-yellow.svg', '/', 'badge/Version-1.0-yellow.svg')"
"('https://', 'ht', 's', '/dxa4481/Pastejacking', '/', 'dxa4481/Pastejacking')"
"('www.', 'ht', 's', '', '', '')"
"('www.', 'ht', 's', '/channel/UCAdDJn4yWzQMJyKyRWne3qg', '/', 'channel/UCAdDJn4yWzQMJyKyRWne3qg')"
"('www.', 'ht', 's', '/licenses', '/', 'licenses')"
"('www.', 'ht', 's', '/licenses/why-not-lgpl.html', '/', 'licenses/why-not-lgpl.html')"
