"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/CSC3-2004.crl0D', '/', 'CSC3-2004.crl0D')"
"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('http://', 'ht', '', '/pca3.crl0', '/', 'pca3.crl0')"
"('http://', 'ht', '', '/tss-ca.crl0', '/', 'tss-ca.crl0')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/en-us/windows/security/application-security/application-control/app-control-for-business/design/microsoft-recommended-driver-block-rules', '/', 'en-us/windows/security/application-security/application-control/app-control-for-business/design/microsoft-recommended-driver-block-rules')"
"('https://', 'ht', 's', '/janvojtesek/lazarus-and-the-fudmodule-rootkit-beyond-byovd-with-an-admin-to-kernel-zero-day', '/', 'janvojtesek/lazarus-and-the-fudmodule-rootkit-beyond-byovd-with-an-admin-to-kernel-zero-day')"
"('https://', 'ht', 's', '/posts/windows-applocker-driver-elevation-of-privilege-cve-2024-21338', '/', 'posts/windows-applocker-driver-elevation-of-privilege-cve-2024-21338')"
"('www.', '', '', '/PKI/docs/CPS/default.htm0', '/', 'PKI/docs/CPS/default.htm0')"
"('www.', '', '', '/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0', '/', 'pkiops/certs/MicWinProPCA2011_2011-10-19.crt0')"
"('www.', '', '', '/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a', '/', 'pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a')"
"('www.', 'ht', '', '/pki/certs/MicRooCerAut_2010-06-23.crt0', '/', 'pki/certs/MicRooCerAut_2010-06-23.crt0')"
"('www.', 'ht', '', '/pki/certs/MicTimStaPCA_2010-07-01.crt0', '/', 'pki/certs/MicTimStaPCA_2010-07-01.crt0')"
"('www.', 'ht', '', '/windows0', '/', 'windows0')"
"('www.', 'ht', 's', '/licenses', '/', 'licenses')"
"('www.', 'ht', 's', '/licenses/why-not-lgpl.html', '/', 'licenses/why-not-lgpl.html')"
"('www.', 'ht', 's', '/rpa', '/', 'rpa')"
"('www.', 'ht', 's', '/rpa0', '/', 'rpa0')"
"('www.', 'ht', 's', '/rpa01', '/', 'rpa01')"
