"('0Sp.', '', '')"
"('1.', '', '')"
"('17.', '', '')"
"('1Fay8.', '', '')"
"('2.', '', '')"
"('2Jcv.', '', '')"
"('3.', '', '')"
"('4.', '', '')"
"('4I.', '', '')"
"('5.', '', '')"
"('6.', '', '')"
"('7.', '', '')"
"('7B.', '', '')"
"('9.', '', '')"
"('APPID.', '', '')"
"('AVN.', '', '')"
"('Appid.', '', '')"
"('B.', '', '')"
"('C.', '', '')"
"('CI.', '', '')"
"('Cpp.', '', '')"
"('D.', '', '')"
"('DNN.', '', '')"
"('Default.', '', '')"
"('F.', '', '')"
"('FLTMGR.', '', '')"
"('FileHeader.', '', '')"
"('G.', '', '')"
"('Gp9.', '', '')"
"('H.', '', '')"
"('HAL.', '', '')"
"('Ht.', '', '')"
"('I.', '', '')"
"('I7.', '', '')"
"('IM.', '', '')"
"('J.', '', '')"
"('JZ.', '', '')"
"('K.', '', '')"
"('L.', '', '')"
"('M.', '', '')"
"('M7.', '', '')"
"('M8AdS.', '', '')"
"('Microsoft.', '', '')"
"('Misc.', '', '')"
"('N.', '', '')"
"('O.', '', '')"
"('Q.', '', '')"
"('R.', '', '')"
"('S.', '', '')"
"('SPt.', '', '')"
"('Security.', '', '')"
"('Smartlocker.', '', '')"
"('Sunder-appid.', '', '-appid')"
"('Sunder.', '', '')"
"('TokenPrivs.', '', '')"
"('Ty.', '', '')"
"('User.', '', '')"
"('VC.', '', '')"
"('X1AlVnJ.', '', '')"
"('YD.', '', '')"
"('YzN.', '', '')"
"('Z.', '', '')"
"('Zc.', '', '')"
"('appid.', '', '')"
"('avast.', '', '')"
"('b.', '', '')"
"('bZ.', '', '')"
"('c.', '', '')"
"('cin.', '', '')"
"('cmd.', '', '')"
"('d.', '', '')"
"('daA.', '', '')"
"('dw.', '', '')"
"('e.', '', '')"
"('ei.', '', '')"
"('exploit.', '', '')"
"('f.', '', '')"
"('fsf.', '', '')"
"('fwpkclnt.', '', '')"
"('g.', '', '')"
"('gi.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('h.', '', '')"
"('h8.', '', '')"
"('i.', '', '')"
"('j.', '', '')"
"('k.', '', '')"
"('ksecdd.', '', '')"
"('ku.', '', '')"
"('kxNb.', '', '')"
"('l.', '', '')"
"('l1g.', '', '')"
"('ltI.', '', '')"
"('m.', '', '')"
"('m1Q.', '', '')"
"('mK.', '', '')"
"('microsoft.', '', '')"
"('msrpc.', '', '')"
"('n.', '', '')"
"('nk5.', '', '')"
"('ntdll.', '', '')"
"('ntoskrnl.', '', '')"
"('o.', '', '')"
"('ocsp.', '', '')"
"('oo.', '', '')"
"('p.', '', '')"
"('pAt7.', '', '')"
"('pIp.', '', '')"
"('pe32.', '', '')"
"('pl.', '', '')"
"('ppl.', '', '')"
"('q.', '', '')"
"('qdLe.', '', '')"
"('r.', '', '')"
"('rPy.', '', '')"
"('rktools.', '', '')"
"('s.', '', '')"
"('s2.', '', '')"
"('sln.', '', '')"
"('sunder.', '', '')"
"('svchost.', '', '')"
"('t.', '', '')"
"('u.', '', '')"
"('u8Y.', '', '')"
"('user.', '', '')"
"('verisign.', '', '')"
"('verisign.', '', '-aia')"
"('verisign.', '', '-crl')"
"('why-not-lgpl.', '', '-lgpl')"
"('winlogon.', '', '')"
"('x.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
"('y.', '', '')"
"('ymGc.', '', '')"
