"('"",\n""', ',\n')"
"('&=&i,', '')"
"('/', '')"
"('<', '')"
"('<password>', '')"
"('>\x1f\x128\x03\x7f\x13x4>Ly2>W\x16x:w\x12x.\x0f\x13x\x11/\x11x%\x7f+:|[CW=o\x7f\x10=#\x05>\x1f\x05>\x17', '')"
"('Q\x17?K6}YD\x15\x0f\x7f/\x13BP-', '')"
"('Vor', '')"
"('[\x18:\x1fv', '')"
"('\x00\x00\x08\x00L/\x15!\x00\x00\x08\x00P/u', '')"
"('\x0f\x11s1]', '')"
"('\x14+0', '')"
"('\x17\x12M\x1fad\x17mb3RbKkWT\x155c4P2', '')"
"('\x1a', '')"
"('authentication', '')"
"('dlD5', '')"
"('eow[OYC', '')"
"('interactiveD\x01\x00n\x00\x04name\x02\x00T\x02\x08Required\x01T\x0e\x08HelpText!The', '')"
"('is', '')"
"('ty\x7f\x16y~uBo', '')"
"('used', '')"
"('versioninvalid', '')"
"('xd\x0e$n1^\x13\x190H\x1br,Rf\x19Lu@', '')"
"('}\x00\x12\x0fNil\x1bkv\x1d', '')"
