"('0', '0', '0', '0')"
"('0', '0', '0', '019')"
"('0', '1', '2', '3')"
"('1', '0', '0', '0')"
"('1', '1', '0', '0')"
"('1', '1', '1', '0')"
"('1', '1', '1', '1')"
"('1', '1', '2', '1')"
"('1', '1', '3', '1')"
"('1', '2', '1', '1')"
"('1', '2', '2', '1')"
"('1', '2', '3', '1')"
"('1', '2', '5', '1')"
"('1', '2', '7', '1')"
"('1', '2', '9', '1')"
"('1', '3', '3', '11')"
"('1', '3', '6', '1')"
"('1', '4', '1', '1')"
"('1', '4', '10', '1')"
"('1', '4', '11', '1')"
"('1', '4', '12', '1')"
"('1', '4', '13', '1')"
"('1', '4', '14', '1')"
"('1', '4', '14', '2')"
"('1', '4', '3', '1')"
"('1', '4', '4', '1')"
"('1', '4', '6', '1')"
"('1', '4', '7', '1')"
"('1', '4', '8', '1')"
"('1', '4', '9', '1')"
"('10', '0', '0', '0')"
"('11', '10', '3', '3')"
"('12', '0', '0', '0')"
"('127', '0', '0', '1')"
"('127', '0', '0', '124')"
"('13', '0', '0', '0')"
"('16', '0', '0', '0')"
"('169', '254', '0', '0')"
"('172', '16', '0', '0')"
"('192', '168', '0', '0')"
"('192', '168', '0', '5')"
"('2', '0', '12', '0')"
"('2', '1', '2', '0')"
"('2', '8', '0', '0')"
"('252', '5', '4', '32')"
"('3', '0', '0', '0')"
"('4', '0', '0', '0')"
"('4', '0', '1', '0')"
"('4', '2', '0', '1')"
"('4', '5', '6', '7')"
"('4', '62', '5', '4')"
"('5', '0', '0', '0')"
"('5', '0', '2', '0')"
"('5', '4', '112', '5')"
"('5', '4', '52', '5')"
"('5', '5', '7', '3')"
"('5', '7', '0', '0')"
"('6', '0', '0', '0')"
"('7', '0', '0', '0')"
"('72', '5', '4', '102')"
"('72', '5', '4', '82')"
