 -----
 --------------- | --------------- | --------------- | --------------- |
 --authfile. defaults to the
 --help for more information.
 --pid Generate pid file in current working directory
 --reversecryptobyte: BuilderContinuation reallocated a fixed-size bufferhttp2: push would exceed peer's SETTINGS_MAX_CONCURRENT_STREAMSinternal error: exactly one of res or err should be set; nil=%vrequest declared a Content-Length of %d but only wrote %d bytesviolation of WriteScheduler interface: stream %d already closed4fe342e2fe1a7f9b8ee7eb4a7c0f9e162bce33576b315ececbb6406837bf51f55ac635d8aa3a93e7b3ebbd55769886bc651d06b0cc53b0f63bce3c3e27d2604b6b17d1f2e12c4247f8bce6e563a440f277037d812deb33a0f4a13945d898c2967fffffff00000001fffffffe8000000100000000ffffffff0000000180000000ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789-_
 --reversecryptobyte: BuilderContinuation reallocated a fixed-size bufferhttp2: push would exceed peer's SETTINGS_MAX_CONCURRENT_STREAMSinternal error: exactly one of res or err should be set; nil=%vrequest declared a Content-Length of %d but only wrote %d bytesviolation of WriteScheduler interface: stream %d already closed4fe342e2fe1a7f9b8ee7eb4a7c0f9e162bce33576b315ececbb6406837bf51f55ac635d8aa3a93e7b3ebbd55769886bc651d06b0cc53b0f63bce3c3e27d2604b6b17d1f2e12c4247f8bce6e563a440f277037d812deb33a0f4a13945d898c296ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789-_
"
" --->._/*///i00010X0b0o0s0x13253031323334353637404142434445464780: :]; =#=>> A3A4CNCcCfCoCsGBKBLlLmLoLtLuMBMcMeMnNdNlNoOKOUPBPcPdPePfPiPoPsR:STScSkSmSoTBTeToV1V2V3V5V6XBYiZlZpZs"":"">"""
" --auth, An optional string representing a single user with full"
" --auth, An optional username and password (client authentication)"
" --authfile, An optional path to a users.json file. This file should"
" --fingerprint, A *strongly recommended* fingerprint string"
" --header ""Foo: Bar"" --header ""Hello: World"")"
" --header, Set a custom header in the form ""HeaderName: HeaderContent""."
" --help, This help text"
" --hostname, Optionally set the 'Host' header (defaults to the host"
" --keepalive, An optional keepalive interval. Since the underlying"
" --key, An optional string to seed the generation of a ECDSA public"
" --list-keys) || echo_not_found ""gpg"") 2>/dev/null'"
" --list-keys) || echo_not_found ""netpgpkeys"") 2>/dev/null'"
" --max-retry-count, Maximum number of times to retry before exiting."
" --max-retry-interval, Maximum wait time before retrying after a"
" --port, -p, Defines the HTTP listening port (defaults to the environment"
" --proxy, An optional HTTP CONNECT or SOCKS5 proxy which will be"
" --proxy, Specifies another HTTP server to proxy requests to when"
" --reverse enabled, remotes can"
" --reverse, Allow clients to specify reverse port forwarding remotes"
" --socks5 enabled, remotes can"
" --socks5, Allow clients to access the internal SOCKS5 proxy. See"
