"('C', 'Users\\Public on the guest to save the output', '')"
"('D', '4-0', '')"
"('F', '8B-WZ', '')"
"('I', 'i', '')"
"('N', 'H', '')"
"('N', 'IZYx', '')"
"('N', 'i', '')"
"('R', 'R', '')"
"('T', 'P', '')"
"('T', 'V', '')"
"('U', 'uJ', '')"
"('Z', ""Y)'"", '')"
"('Z', 'hCZK7s(', '')"
"('a', 'A', '')"
"('a', 'K', '')"
"('c', '6', '')"
"('c', 'go', '')"
"('e', 'c', '')"
"('e', 'd', '')"
"('h', '3', '')"
"('h', 'UuB', '')"
"('j', '6', '')"
"('j', 'uv7', '')"
"('k', 'VVz', '')"
"('k', 'xm7', '')"
"('m', 'J', '')"
"('m', 'N', '')"
"('m', 'lJ', '')"
"('o', 'A', '')"
"('p', 'uH', '')"
"('r', 'q', '')"
"('v', '62H6g 0daF7', '')"
"('v', 'EW', '')"
"('w', ""v'q"", '')"
"('w', 'rFa', '')"
"('x', 'u', '')"
