"('http://', 'ht', '', ':8081', '', ':8081')"
"('https://', 'ht', 's', '/0xb11a1/yetAnotherObfuscator', '/', '0xb11a1/yetAnotherObfuscator')"
"('https://', 'ht', 's', '/0xcc00', '/', '0xcc00')"
"('https://', 'ht', 's', '/0xthirteen/SharpMove', '/', '0xthirteen/SharpMove')"
"('https://', 'ht', 's', '/0xthirteen/SharpRDP', '/', '0xthirteen/SharpRDP')"
"('https://', 'ht', 's', '/0xthirteen/SharpStay', '/', '0xthirteen/SharpStay')"
"('https://', 'ht', 's', '/AlmondOffSec/PassTheCert', '/', 'AlmondOffSec/PassTheCert')"
"('https://', 'ht', 's', '/BloodHoundAD/SharpHound', '/', 'BloodHoundAD/SharpHound')"
"('https://', 'ht', 's', '/CCob/SharpBlock', '/', 'CCob/SharpBlock')"
"('https://', 'ht', 's', '/CCob/SweetPotato', '/', 'CCob/SweetPotato')"
"('https://', 'ht', 's', '/Dec0ne/KrbRelayUp', '/', 'Dec0ne/KrbRelayUp')"
"('https://', 'ht', 's', '/FSecureLABS/SharpGPOAbuse', '/', 'FSecureLABS/SharpGPOAbuse')"
"('https://', 'ht', 's', '/FatRodzianko/SharpBypassUAC', '/', 'FatRodzianko/SharpBypassUAC')"
"('https://', 'ht', 's', '/Flangvik/BetterSafetyKatz', '/', 'Flangvik/BetterSafetyKatz')"
"('https://', 'ht', 's', '/Flangvik/DeployPrinterNightmare', '/', 'Flangvik/DeployPrinterNightmare')"
"('https://', 'ht', 's', '/Flangvik/SharpAppLocker', '/', 'Flangvik/SharpAppLocker')"
"('https://', 'ht', 's', '/Flangvik/SharpCollection', '/', 'Flangvik/SharpCollection')"
"('https://', 'ht', 's', '/FlangvikDev/SharpRelease', '/', 'FlangvikDev/SharpRelease')"
"('https://', 'ht', 's', '/FortyNorthSecurity/EDD', '/', 'FortyNorthSecurity/EDD')"
"('https://', 'ht', 's', '/FortyNorthSecurity/SqlClient', '/', 'FortyNorthSecurity/SqlClient')"
"('https://', 'ht', 's', '/FuzzySecurity/StandIn', '/', 'FuzzySecurity/StandIn')"
"('https://', 'ht', 's', '/G0ldenGunSec/SharpSecDump', '/', 'G0ldenGunSec/SharpSecDump')"
"('https://', 'ht', 's', '/GhostPack/Certify', '/', 'GhostPack/Certify')"
"('https://', 'ht', 's', '/GhostPack/ForgeCert', '/', 'GhostPack/ForgeCert')"
"('https://', 'ht', 's', '/GhostPack/LockLess', '/', 'GhostPack/LockLess')"
"('https://', 'ht', 's', '/GhostPack/Rubeus', '/', 'GhostPack/Rubeus')"
"('https://', 'ht', 's', '/GhostPack/SafetyKatz', '/', 'GhostPack/SafetyKatz')"
"('https://', 'ht', 's', '/GhostPack/Seatbelt', '/', 'GhostPack/Seatbelt')"
"('https://', 'ht', 's', '/GhostPack/SharpDPAPI', '/', 'GhostPack/SharpDPAPI')"
"('https://', 'ht', 's', '/GhostPack/SharpDump', '/', 'GhostPack/SharpDump')"
"('https://', 'ht', 's', '/GhostPack/SharpUp', '/', 'GhostPack/SharpUp')"
"('https://', 'ht', 's', '/GhostPack/SharpWMI', '/', 'GhostPack/SharpWMI')"
"('https://', 'ht', 's', '/Group3r/Group3r', '/', 'Group3r/Group3r')"
"('https://', 'ht', 's', '/HunnicCyber/SharpSniper', '/', 'HunnicCyber/SharpSniper')"
"('https://', 'ht', 's', '/JamesCooteUK/SharpSphere', '/', 'JamesCooteUK/SharpSphere')"
"('https://', 'ht', 's', '/MartinIngesen/TokenStomp', '/', 'MartinIngesen/TokenStomp')"
"('https://', 'ht', 's', '/Mayyhem/SharpSCCM', '/', 'Mayyhem/SharpSCCM')"
"('https://', 'ht', 's', '/PwnDexter/SharpEDRChecker', '/', 'PwnDexter/SharpEDRChecker')"
"('https://', 'ht', 's', '/RedLectroid/SearchOutlook', '/', 'RedLectroid/SearchOutlook')"
"('https://', 'ht', 's', '/SnaffCon/Snaffler', '/', 'SnaffCon/Snaffler')"
"('https://', 'ht', 's', '/V1V1/SharpScribbles', '/', 'V1V1/SharpScribbles')"
"('https://', 'ht', 's', '/airzero24/WMIReg', '/', 'airzero24/WMIReg')"
"('https://', 'ht', 's', '/anthemtotheego/SharpExec', '/', 'anthemtotheego/SharpExec')"
"('https://', 'ht', 's', '/b4rtik/SharpKatz', '/', 'b4rtik/SharpKatz')"
"('https://', 'ht', 's', '/b4rtik/SharpMiniDump', '/', 'b4rtik/SharpMiniDump')"
"('https://', 'ht', 's', '/bats3c/ADCSPwn', '/', 'bats3c/ADCSPwn')"
"('https://', 'ht', 's', '/carlospolop/privilege-escalation-awesome-scripts-suite', '/', 'carlospolop/privilege-escalation-awesome-scripts-suite')"
"('https://', 'ht', 's', '/checkymander/Sharp-SMBExec', '/', 'checkymander/Sharp-SMBExec')"
"('https://', 'ht', 's', '/chrismaddalena/SharpCloud', '/', 'chrismaddalena/SharpCloud')"
"('https://', 'ht', 's', '/cube0x0/KrbRelay', '/', 'cube0x0/KrbRelay')"
"('https://', 'ht', 's', '/cube0x0/SharpMapExec', '/', 'cube0x0/SharpMapExec')"
"('https://', 'ht', 's', '/dev-2null/ADCollector', '/', 'dev-2null/ADCollector')"
"('https://', 'ht', 's', '/djhohnstein/SharpChromium', '/', 'djhohnstein/SharpChromium')"
"('https://', 'ht', 's', '/djhohnstein/SharpSearch', '/', 'djhohnstein/SharpSearch')"
"('https://', 'ht', 's', '/djhohnstein/SharpShares', '/', 'djhohnstein/SharpShares')"
"('https://', 'ht', 's', '/dnSpy/dnSpy', '/', 'dnSpy/dnSpy')"
"('https://', 'ht', 's', '/dsnezhkov/TruffleSnout', '/', 'dsnezhkov/TruffleSnout')"
"('https://', 'ht', 's', '/eladshamir/Whisker', '/', 'eladshamir/Whisker')"
"('https://', 'ht', 's', '/en-us/windows/win32/adsi/search-filter-syntax', '/', 'en-us/windows/win32/adsi/search-filter-syntax')"
"('https://', 'ht', 's', '/fireeye/ADFSDump', '/', 'fireeye/ADFSDump')"
"('https://', 'ht', 's', '/fireeye/SharPersist', '/', 'fireeye/SharPersist')"
"('https://', 'ht', 's', '/fullmetalcache/SharpFiles', '/', 'fullmetalcache/SharpFiles')"
"('https://', 'ht', 's', '/infosecn1nja/SharpDoor', '/', 'infosecn1nja/SharpDoor')"
"('https://', 'ht', 's', '/jaredhaight/scout', '/', 'jaredhaight/scout')"
"('https://', 'ht', 's', '/jfmaes/SharpHandler', '/', 'jfmaes/SharpHandler')"
"('https://', 'ht', 's', '/jnqpblc/SharpDir', '/', 'jnqpblc/SharpDir')"
"('https://', 'ht', 's', '/jnqpblc/SharpReg', '/', 'jnqpblc/SharpReg')"
"('https://', 'ht', 's', '/jnqpblc/SharpSpray', '/', 'jnqpblc/SharpSpray')"
"('https://', 'ht', 's', '/jnqpblc/SharpSvc', '/', 'jnqpblc/SharpSvc')"
"('https://', 'ht', 's', '/jnqpblc/SharpTask', '/', 'jnqpblc/SharpTask')"
"('https://', 'ht', 's', '/jpillora/chisel', '/', 'jpillora/chisel')"
"('https://', 'ht', 's', '/juliourena/SharpNoPSExec', '/', 'juliourena/SharpNoPSExec')"
"('https://', 'ht', 's', '/l0ss/Grouper2', '/', 'l0ss/Grouper2')"
"('https://', 'ht', 's', '/lefayjey/SharpSQLPwn', '/', 'lefayjey/SharpSQLPwn')"
"('https://', 'ht', 's', '/matterpreter/Shhmon', '/', 'matterpreter/Shhmon')"
"('https://', 'ht', 's', '/mgeeky/SharpWebServer', '/', 'mgeeky/SharpWebServer')"
"('https://', 'ht', 's', '/mitchmoser/AtYourService', '/', 'mitchmoser/AtYourService')"
"('https://', 'ht', 's', '/mvelazc0/PurpleSharp', '/', 'mvelazc0/PurpleSharp')"
"('https://', 'ht', 's', '/nccgroup/nccfsas/tree/main/Tools/SharpZeroLogon', '/', 'nccgroup/nccfsas/tree/main/Tools/SharpZeroLogon')"
"('https://', 'ht', 's', '/pkb1s/SharpAllowedToAct', '/', 'pkb1s/SharpAllowedToAct')"
"('https://', 'ht', 's', '/r3nhat/SharpWifiGrabber', '/', 'r3nhat/SharpWifiGrabber')"
"('https://', 'ht', 's', '/rasta-mouse/Watson', '/', 'rasta-mouse/Watson')"
"('https://', 'ht', 's', '/rvrsh3ll/SharpCOM', '/', 'rvrsh3ll/SharpCOM')"
"('https://', 'ht', 's', '/rvrsh3ll/SharpPrinter', '/', 'rvrsh3ll/SharpPrinter')"
"('https://', 'ht', 's', '/services/T', '/', 'services/T')"
"('https://', 'ht', 's', '/shantanu561993/SharpChisel', '/', 'shantanu561993/SharpChisel')"
"('https://', 'ht', 's', '/slyd0g/SharpCrashEventLog', '/', 'slyd0g/SharpCrashEventLog')"
"('https://', 'ht', 's', '/swisskyrepo/SharpLAPS', '/', 'swisskyrepo/SharpLAPS')"
"('https://', 'ht', 's', '/tevora-threat/SharpView', '/', 'tevora-threat/SharpView')"
"('https://', 'ht', 's', '/tomcarver16/ADSearch', '/', 'tomcarver16/ADSearch')"
"('https://', 'ht', 's', '/ustayready/SharpHose', '/', 'ustayready/SharpHose')"
"('https://', 'ht', 's', '/vivami/SauronEye', '/', 'vivami/SauronEye')"
