"('ASCII.', '', '')"
"('App.', '', '')"
"('AssemblyInfo.', '', '')"
"('BitConverter.', '', '')"
"('Buffer.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CharSet.', '', '')"
"('Common.', '', '')"
"('Console.', '', '')"
"('Cpp.', '', '')"
"('Data.', '', '')"
"('Default.', '', '')"
"('Environment.', '', '')"
"('InInitializationOrderModuleList.', '', '')"
"('IntPtr.', '', '')"
"('LayoutKind.', '', '')"
"('Luid.', '', '')"
"('Marshal.', '', '')"
"('Microsoft.', '', '')"
"('NT.', '', '')"
"('NativeBypassCredGuard.', '', '')"
"('Net.', '', '')"
"('Process.', '', '')"
"('Program.', '', '')"
"('Runtime.', '', '')"
"('System.', '', '')"
"('WDigest.', '', '')"
"('Xml.', '', '')"
"('args.', '', '')"
"('buff.', '', '')"
"('buffer.', '', '')"
"('calc.', '', '')"
"('data.', '', '')"
"('esquema.', '', '')"
"('ex.', '', '')"
"('fileBytes.', '', '')"
"('filePath.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '')"
"('kernel32.', '', '')"
"('localNtdllTxt.', '', '')"
"('lsass.', '', '')"
"('microsoft.', '', '')"
"('ntdl.', '', '')"
"('ntdll.', '', '')"
"('ntdllBuffer.', '', '')"
"('ntstatus.', '', '')"
"('objectAttributes.', '', '')"
"('pi.', '', '')"
"('si.', '', '')"
"('status.', '', '')"
"('tokenPrivileges.', '', '')"
"('twitter.', '', '')"
"('unhookedNtdllTxt.', '', '')"
"('unicodeString.', '', '')"
"('user.', '', '')"
"('wdigest.', '', '')"
"('x.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
"('xpnsec.', '', '')"
