"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('https://', 'ht', 's', '/0x3rhy', '/', '0x3rhy')"
"('https://', 'ht', 's', '/0x3rhy/BypassCredGuard-BOF', '/', '0x3rhy/BypassCredGuard-BOF')"
"('https://', 'ht', 's', '/_xpn_', '/', '_xpn_')"
"('https://', 'ht', 's', '/credential-guard-bypass', '/', 'credential-guard-bypass')"
"('https://', 'ht', 's', '/exploring-mimikatz-part-1', '/', 'exploring-mimikatz-part-1')"
"('https://', 'ht', 's', '/itm4n', '/', 'itm4n')"
"('https://', 'ht', 's', '/neuralhax', '/', 'neuralhax')"
"('https://', 'ht', 's', '/ricardojoserf/ricardojoserf.github.io/master/images/nativebypasscredguard/Screenshot_1.png', '/', 'ricardojoserf/ricardojoserf.github.io/master/images/nativebypasscredguard/Screenshot_1.png')"
"('https://', 'ht', 's', '/ricardojoserf/ricardojoserf.github.io/master/images/nativebypasscredguard/Screenshot_2.png', '/', 'ricardojoserf/ricardojoserf.github.io/master/images/nativebypasscredguard/Screenshot_2.png')"
"('https://', 'ht', 's', '/ricardojoserf/ricardojoserf.github.io/master/images/nativebypasscredguard/esquema.png', '/', 'ricardojoserf/ricardojoserf.github.io/master/images/nativebypasscredguard/esquema.png')"
"('https://', 'ht', 's', '/wdigest-digging-the-dead-from-the-grave', '/', 'wdigest-digging-the-dead-from-the-grave')"
