"('', '', '', '', '', '', '', '', '', '', 'Param\n    (\n        [Parameter(Position = 0, Mandatory = $True)', '[Parameter(Position = 0, Mandatory = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.StandaloneKdcValidation\n    $useCachedCRLOnlyAndIgnoreRevocationUnknownErrors', '', '.StandaloneKdcValidation', 'useCachedCRLOnlyAndIgnoreRevocationUnknownErrors', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $paramPath', '', 'Path', 'paramPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TypeDefinition $Source', '', 'TypeDefinition', 'Source', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $standaloneKdcValidation', '', 'Value', 'standaloneKdcValidation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $useCachedCRLOnlyAndIgnoreRevocationUnknownErrors', '', 'Value', 'useCachedCRLOnlyAndIgnoreRevocationUnknownErrors', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [String]\n        $Command', '[Parameter()]', 'String', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [String]\n        $DbgHelpPath', '[Parameter()]', 'String', 'DbgHelpPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [String]\n        $Password', '[Parameter()]', 'String', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [Switch]\n        $PatchLsass', '[Parameter()]', 'Switch', 'PatchLsass', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [String]\n        $Certificate', '', 'String', 'Certificate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $null', '', 'eq', 'null', '', '', '', '', '', '', '', '')"
"('[Parameter(Mandatory = $True)]\n        [String]\n        $Domain', 'String', 'Domain', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
