"('CORP.', '', '')"
"('CallingConvention.', '', '')"
"('CharSet.', '', '')"
"('Console.', '', '')"
"('IntPtr.', '', '')"
"('LayoutKind.', '', '')"
"('Marshal.', '', '')"
"('OpenFlags.', '', '')"
"('PatchLsass.', '', '')"
"('Process.', '', '')"
"('Program.', '', '')"
"('Runtime.', '', '')"
"('SafeHandle.', '', '')"
"('Security.', '', '')"
"('StoreName.', '', '')"
"('String.', '', '')"
"('System.', '', '')"
"('UnmanagedType.', '', '')"
"('X509KeyStorageFlags.', '', '')"
"('X509NameType.', '', '')"
"('advapi32.', '', '')"
"('cert.', '', '')"
"('certInfo.', '', '')"
"('cmd.', '', '')"
"('dbghelp.', '', '')"
"('github.', '', '')"
"('kerberos.', '', '')"
"('kernel32.', '', '')"
"('lsass.', '', '')"
"('microsoft.', '', '')"
"('name.', '', '')"
"('pi.', '', '')"
"('powershell.', '', '')"
"('processes.', '', '')"
"('si.', '', '')"
"('store.', '', '')"
"('string.', '', '')"
"('symbolInfo.', '', '')"
"('symsrv.', '', '')"
"('synacktiv.', '', '')"
"('user.', '', '')"
