"('Connect.', '', '')"
"('ConnectController.', '', '')"
"('DW.', '', '')"
"('Database.', '', '')"
"('Db.', '', '')"
"('GetDropper.', '', '')"
"('GetDropper2.', '', '')"
"('GetDropperController.', '', '')"
"('GetExecutable.', '', '')"
"('GetExecutableController.', '', '')"
"('HEH.', '', '')"
"('IsAlive.', '', '')"
"('IsAliveController.', '', '')"
"('Payload.', '', '')"
"('StdEncoding.', '', '')"
"('UseCase.', '', '')"
"('api.', '', '')"
"('app.', '', '')"
"('base64.', '', '')"
"('c.', '', '')"
"('client.', '', '')"
"('communication.', '', '')"
"('configVariables.', '', '')"
"('cryptomining.', '', '')"
"('database.', '', '')"
"('db.', '', '')"
"('dropper.', '', '')"
"('dummy-web-server.', '', '-server')"
"('error.', '', '')"
"('executable.', '', '')"
"('f.', '', '')"
"('fmt.', '', '')"
"('gin.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('go.', '', '')"
"('golang.', '', '')"
"('gopkg.', '', '')"
"('got.', '', '')"
"('http.', '', '')"
"('input.', '', '')"
"('io.', '', '')"
"('ioutil.', '', '')"
"('json.', '', '')"
"('ld-linux-x86-64.', '', '-64')"
"('libc.', '', '')"
"('libm.', '', '')"
"('libpthread.', '', '')"
"('local.', '', '')"
"('log.', '', '')"
"('middlewares.', '', '')"
"('newDb.', '', '')"
"('note.', '', '')"
"('os.', '', '')"
"('out.', '', '')"
"('plt.', '', '')"
"('r.', '', '')"
"('rc.', '', '')"
"('rela.', '', '')"
"('req.', '', '')"
"('request.', '', '')"
"('rfile.', '', '')"
"('router.', '', '')"
"('rows.', '', '')"
"('self.', '', '')"
"('shared.', '', '')"
"('sql.', '', '')"
"('strconv.', '', '')"
"('strings.', '', '')"
"('tasks.', '', '')"
"('time.', '', '')"
"('trello.', '', '')"
"('urllib.', '', '')"
"('urllib3.', '', '')"
"('useCase.', '', '')"
"('utils.', '', '')"
"('variables.', '', '')"
"('wfile.', '', '')"
"('workspace.', '', '')"
