"('0', '0', '0', '0')"
"('0', '0', '0', '1')"
"('0', '0', '1', '1')"
"('0', '1', '1', '1')"
"('1', '1', '1', '1')"
"('1', '2', '3', '4')"
"('127', '0', '0', '1')"
"('128', '0', '0', '0')"
"('172', '17', '0', '1')"
"('172', '17', '15', '254')"
"('172', '17', '2', '1')"
"('172', '17', '2', '15')"
"('172', '17', '2', '254')"
"('172', '17', '2', '255')"
"('172', '17', '2', '62')"
"('172', '17', '2', '7')"
"('255', '0', '0', '0')"
"('255', '255', '240', '0')"
"('255', '255', '255', '0')"
"('255', '255', '255', '192')"
"('255', '255', '255', '255')"
