"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/2018/03/31/in-memory-only-elf-execution.html', '/', '2018/03/31/in-memory-only-elf-execution.html')"
"('https://', 'ht', 's', '/Multiarch/Tuples', '/', 'Multiarch/Tuples')"
"('https://', 'ht', 's', '/bcoles/linux-exploit-suggester/master/linux-exploit-suggester.sh', '/', 'bcoles/linux-exploit-suggester/master/linux-exploit-suggester.sh')"
"('https://', 'ht', 's', '/kward/shunit2', '/', 'kward/shunit2')"
"('https://', 'ht', 's', '/kward/shunit2.git', '/', 'kward/shunit2.git')"
"('https://', 'ht', 's', '/taviso/dbusmap', '/', 'taviso/dbusmap')"
"('https://', 'ht', 's', '/zMarch/Orc', '/', 'zMarch/Orc')"
"('https://', 'ht', 's', '/zMarch/Orc.svg?branch=master', '/', 'zMarch/Orc.svg?branch=master')"
"('https://', 'ht', 's', '/zMarch/Orc/master/resources/echo_arguments.sh', '/', 'zMarch/Orc/master/resources/echo_arguments.sh')"
"('https://', 'ht', 's', '/zMarch/Orc/master/resources/echo_function.sh', '/', 'zMarch/Orc/master/resources/echo_function.sh')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/dropsuid', '/', 'zMarch/Orc/wiki/dropsuid')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/fpssh', '/', 'zMarch/Orc/wiki/fpssh')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getdbus', '/', 'zMarch/Orc/wiki/getdbus')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getdocker', '/', 'zMarch/Orc/wiki/getdocker')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getenum', '/', 'zMarch/Orc/wiki/getenum')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getescape', '/', 'zMarch/Orc/wiki/getescape')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getexploit', '/', 'zMarch/Orc/wiki/getexploit')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getgtfobins', '/', 'zMarch/Orc/wiki/getgtfobins')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getidle', '/', 'zMarch/Orc/wiki/getidle')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getinfo', '/', 'zMarch/Orc/wiki/getinfo')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getip', '/', 'zMarch/Orc/wiki/getip')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getjail', '/', 'zMarch/Orc/wiki/getjail')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getluks', '/', 'zMarch/Orc/wiki/getluks')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getnet', '/', 'zMarch/Orc/wiki/getnet')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getpty', '/', 'zMarch/Orc/wiki/getpty')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getrel', '/', 'zMarch/Orc/wiki/getrel')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getsctp', '/', 'zMarch/Orc/wiki/getsctp')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getsec', '/', 'zMarch/Orc/wiki/getsec')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getsfiles', '/', 'zMarch/Orc/wiki/getsfiles')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getspec', '/', 'zMarch/Orc/wiki/getspec')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getsuspect', '/', 'zMarch/Orc/wiki/getsuspect')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/gettmp', '/', 'zMarch/Orc/wiki/gettmp')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getusers', '/', 'zMarch/Orc/wiki/getusers')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/getuservices', '/', 'zMarch/Orc/wiki/getuservices')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/memexec', '/', 'zMarch/Orc/wiki/memexec')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/portscan', '/', 'zMarch/Orc/wiki/portscan')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/prochide', '/', 'zMarch/Orc/wiki/prochide')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/qssh', '/', 'zMarch/Orc/wiki/qssh')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/qsu', '/', 'zMarch/Orc/wiki/qsu')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/sourceurl', '/', 'zMarch/Orc/wiki/sourceurl')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/srm', '/', 'zMarch/Orc/wiki/srm')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/stomp', '/', 'zMarch/Orc/wiki/stomp')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/tools', '/', 'zMarch/Orc/wiki/tools')"
"('https://', 'ht', 's', '/zMarch/Orc/wiki/wiper', '/', 'zMarch/Orc/wiki/wiper')"
"('https://', 'ht', 's', '/zMarch/suspect/master/suspect.sh', '/', 'zMarch/suspect/master/suspect.sh')"
"('www.', 'ht', 's', '', '', '')"
"('www.', 'ht', 's', '/syscalls.html', '/', 'syscalls.html')"
