"('1.', '', '')"
"('DBus.', '', '')"
"('Orc.', '', '')"
"('akamai.', '', '')"
"('basename.', '', '')"
"('ctypes.', '', '')"
"('debian.', '', '')"
"('docker.', '', '')"
"('freedesktop.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '')"
"('google.', '', '')"
"('google.', '', '-o')"
"('hackint.', '', '')"
"('in-memory-only-elf-execution.', '', '-execution')"
"('libc.', '', '')"
"('linux-exploit-suggester.', '', '-suggester')"
"('log.', '', '')"
"('luks.', '', '')"
"('lurklurk.', '', '')"
"('memexec.', '', '')"
"('o.', '', '')"
"('os.', '', '')"
"('out.', '', '')"
"('platform.', '', '')"
"('request.', '', '')"
"('resolv.', '', '')"
"('s.', '', '')"
"('shellcheck.', '', '')"
"('shunit2.', '', '')"
"('socket.', '', '')"
"('stdout.', '', '')"
"('suspect.', '', '')"
"('sys.', '', '')"
"('syscalls.', '', '')"
"('tar.', '', '')"
"('testA.', '', '')"
"('travis-ci.', '', '-ci')"
"('travis.', '', '')"
"('urllib.', '', '')"
"('urllib2.', '', '')"
