"('', 'fabric', 'Connection', '')"
"('', 'invoke', 'UnexpectedExit', '')"
"('', 'invoke.exceptions', 'UnexpectedExit', '')"
"('', 'lib.conf', 'CDK', '')"
"('', 'lib.k8s_remote_action', 'check_pod_exec', '')"
"('', 'lib.k8s_selfbuild_action', 'selfbuild_k8s_pod_upload', '')"
"('', 'lib.ssh_remote_action', 'check_host_evaluate', '')"
"('', 'lib.ssh_remote_action', 'check_host_exec', '')"
"('', 'lib.ssh_remote_action', 'inside_container_cmd', '')"
"('', 'lib.ssh_remote_action', 'output_err', '')"
"('', 'lib.ssh_remote_action', 'update_remote_bin', '')"
"('os', '', '', '')"
"('shlex', '', '', '')"
"('subprocess', '', '', '')"
"('time', '', '', '')"
