"('0.', '', '')"
"('1.', '', '')"
"('10-flannel.', '', '-flannel')"
"('177925206-8d83dc95-0f2f-4d61-9a45-0d43b1b0468f.', '', '-0d43b1b0468f')"
"('2.', '', '')"
"('20Public.', '', '')"
"('39772.', '', '')"
"('40053.', '', '')"
"('404tk.', '', '')"
"('41356.', '', '')"
"('45886.', '', '')"
"('47133.', '', '')"
"('49122.', '', '')"
"('5.', '', '')"
"('7.', '', '')"
"('9435.', '', '')"
"('9436.', '', '')"
"('95-udev-late.', '', '-late')"
"('9574.', '', '')"
"('BlueBold.', '', '')"
"('Body.', '', '')"
"('CVE-2016-1531.', '', '-1531')"
"('DockerPwn.', '', '')"
"('GreenBold.', '', '')"
"('HTRESP.', '', '')"
"('Header.', '', '')"
"('Laddr.', '', '')"
"('MySQL-Maria-Percona-PrivEscRace-CVE-2016-6663-5616-Exploit.', '', '-Exploit')"
"('Nagios-Exploit-Root-PrivEsc-CVE-2016-9566.', '', '-9566')"
"('Nginx-Exploit-Deb-Root-PrivEsc-CVE-2016-1247.', '', '-1247')"
"('Process.', '', '')"
"('README.', '', '')"
"('Raddr.', '', '')"
"('RedBold.', '', '')"
"('Runtime.', '', '')"
"('SERVER.', '', '')"
"('ScanFileTextConf.', '', '')"
"('SensitiveFileConf.', '', '')"
"('StdEncoding.', '', '')"
"('Stdin.', '', '')"
"('TCPScannerConf.', '', '')"
"('TlsConfig.', '', '')"
"('Tomcat-DebPkgs-Root-Privilege-Escalation-Exploit-CVE-2016-1240.', '', '-1240')"
"('Tomcat-RedHat-Pkgs-Root-PrivEsc-Exploit-CVE-2016-5425.', '', '-5425')"
"('X.', '', '')"
"('YellowBold.', '', '')"
"('ack.', '', '')"
"('addProcCmd.', '', '')"
"('addr.', '', '')"
"('aliyun.', '', '')"
"('aliyuncs.', '', '-beijing')"
"('aliyuncs.', '', '-shanghai')"
"('amazon.', '', '')"
"('apache.', '', '')"
"('api-server.', '', '-server')"
"('apiInstance.', '', '')"
"('apiserver-ca.', '', '-ca')"
"('apiserver-kubelet-client.', '', '-client')"
"('apiserver.', '', '')"
"('archive.', '', '')"
"('argInsertReg.', '', '')"
"('assert.', '', '')"
"('attachment.', '', '')"
"('audit-policy.', '', '-policy')"
"('b.', '', '')"
"('baron-samedit-heap-based-overflow-sudo.', '', '-sudo')"
"('base.', '', '')"
"('binary.', '', '')"
"('blackhat.', '', '')"
"('blogspot.', '', '')"
"('blogspot.', '', '-skills')"
"('bootlin.', '', '')"
"('bromium.', '', '')"
"('buf.', '', '')"
"('buffer.', '', '')"
"('bufio.', '', '')"
"('bug.', '', '')"
"('by.', '', '')"
"('bytes.', '', '')"
"('c.', '', '')"
"('ca.', '', '')"
"('can-ctr-escape-cve-2022-0492.', '', '-0492')"
"('capability.', '', '')"
"('cdk.', '', '')"
"('cdxy.', '', '')"
"('cgroup.', '', '')"
"('chromium.', '', '')"
"('ci.', '', '')"
"('cli.', '', '')"
"('client.', '', '')"
"('cloud-config.', '', '-config')"
"('cloud-controller-manager.', '', '-manager')"
"('cluster.', '', '')"
"('cm4all.', '', '')"
"('cmd.', '', '')"
"('cmdFile.', '', '')"
"('cncf.', '', '')"
"('cni-conf.', '', '-conf')"
"('co.', '', '')"
"('color.', '', '')"
"('com.', '', '')"
"('conf.', '', '')"
"('conf.', '', '-net')"
"('config.', '', '')"
"('conn.', '', '')"
"('connection.', '', '')"
"('constraints.', '', '')"
"('containerd.', '', '')"
"('context.', '', '')"
"('contrib.', '', '')"
"('controller-manager.', '', '-manager')"
"('convert.', '', '')"
"('core.', '', '')"
"('cr0.', '', '')"
"('createContainer.', '', '')"
"('cron.', '', '')"
"('cve-2009-2698-udpsendmsg-vulnerability.', '', '-vulnerability')"
"('cve-2015-3245-cve-2015-3246.', '', '-3246')"
"('cve-2017-1000253.', '', '-1000253')"
"('cve-2018-14665-xorg-x-server.', '', '-server')"
"('cve-2019-12181-serv-u-exploit-writeup.', '', '-writeup')"
"('cve-2020-9470.', '', '-9470')"
"('cyseclabs.', '', '')"
"('datafd.', '', '')"
"('devices.', '', '')"
"('devkmem.', '', '')"
"('devmem.', '', '')"
"('disk.', '', '')"
"('docker.', '', '')"
"('docopt.', '', '')"
"('duasynt.', '', '')"
"('dylankatz.', '', '')"
"('e.', '', '')"
"('ebpf-and-analysis-of-get-rekt-linux.', '', '-linux')"
"('encoding.', '', '')"
"('endTime.', '', '')"
"('err.', '', '')"
"('err1.', '', '')"
"('errors.', '', '')"
"('escaping.', '', '')"
"('etcd-client-key.', '', '-key')"
"('etcd-client.', '', '-client')"
"('etcdctl.', '', '')"
"('evaluate.', '', '')"
"('exec.', '', '')"
"('exim.', '', '')"
"('exp.', '', '')"
"('exploit-CVE-2014-0038-x32-recvmmsg-kernel-vulnerablity.', '', '-vulnerablity')"
"('exploit-db.', '', '-db')"
"('exploit-walkthrough-cve-2014-0196-pty-kernel-race-condition.', '', '-condition')"
"('exploit.', '', '')"
"('exploiting-linux-kernel-via-packet.', '', '-packet')"
"('f.', '', '')"
"('fd.', '', '')"
"('fi.', '', '')"
"('file.', '', '')"
"('fileInfo.', '', '')"
"('filepath.', '', '')"
"('flag.', '', '')"
"('fmt.', '', '')"
"('front-proxy-ca.', '', '-ca')"
"('front-proxy-client.', '', '-client')"
"('fs.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '')"
"('githubusercontent.', '', '-images')"
"('gjson.', '', '')"
"('go.', '', '')"
"('golang.', '', '')"
"('google.', '', '')"
"('gopkg.', '', '')"
"('gops.', '', '')"
"('goz.', '', '')"
"('graplsecurity.', '', '')"
"('grimm-co.', '', '-co')"
"('halfdog.', '', '')"
"('handle.', '', '')"
"('haxx.', '', '')"
"('hitb.', '', '')"
"('honnef.', '', '')"
"('hooperlabs.', '', '')"
"('host.', '', '')"
"('http.', '', '')"
"('httpbin.', '', '')"
"('httpc.', '', '')"
"('httpclient.', '', '')"
"('i.', '', '')"
"('i686.', '', '-85')"
"('includesecurity.', '', '')"
"('index.', '', '')"
"('info.', '', '')"
"('initblog.', '', '')"
"('input.', '', '')"
"('instancedata-data-retrieval.', '', '-retrieval')"
"('invoke.', '', '')"
"('io.', '', '')"
"('ioutil.', '', '')"
"('isec-0021-uselib.', '', '-uselib')"
"('isec.', '', '')"
"('item.', '', '')"
"('json.', '', '')"
"('k.', '', '')"
"('k8s.', '', '')"
"('kaslr.', '', '')"
"('kernel-exploits.', '', '-exploits')"
"('kernel.', '', '')"
"('kingkaki.', '', '')"
"('knownsec.', '', '')"
"('ktsuss-lpe.', '', '-lpe')"
"('kube-apiserver.', '', '-apiserver')"
"('kubectl.', '', '')"
"('kubernetes.', '', '')"
"('kubernetes.', '', '-role')"
"('kv.', '', '')"
"('l.', '', '')"
"('labels.', '', '')"
"('ldpreload.', '', '')"
"('legalhackers.', '', '')"
"('lets-feed-attacker-input-to-sh-c-to-see.', '', '-see')"
"('lib.', '', '')"
"('linux-exploit-suggester.', '', '-suggester')"
"('listener.', '', '')"
"('lkrg.', '', '')"
"('lock.', '', '')"
"('log.', '', '')"
"('logger.', '', '')"
"('logo.', '', '')"
"('lutai.', '', '')"
"('lwn.', '', '')"
"('m.', '', '')"
"('mahonia.', '', '')"
"('main.', '', '')"
"('man7.', '', '')"
"('master.', '', '')"
"('metadata-service.', '', '-service')"
"('metadata.', '', '')"
