"(' ', '        continue')"
"(' ', '        echo -e ""${bldwht}${NAME}${txtrst}""')"
"(' ', '    echo "" -V | --version               - print version of this script""')"
"(' ', '    echo ""Usage: linux-exploit-suggester.sh [OPTIONS]""')"
"(' ', '"" --checksec                   - list security related features for your HW/kernel""')"
"(' ', '"" --cvelist-file <file>        - provide file with Linux kernel CVEs list""')"
"(' ', '"" --kernelspace-only           - show only kernel vulnerabilities""')"
"(' ', '"" --skip-more-checks           - do not perform additional checks (kernel config, sysctl) to determine if exploit is applicable""')"
"(' ', '"" --skip-pkg-versions          - skip checking for exact userspace package version (helps to avoid false negatives)""')"
"(' ', '"" --userspace-only             - show only userspace vulnerabilities""')"
"(' ', '"" -b | --fetch-binaries        - automatically downloads binary for matched exploit if available""')"
"(' ', '"" -d | --show-dos              - show also DoSes in results""')"
"(' ', '"" -f | --full                  - show full info about matched exploit""')"
"(' ', '"" -g | --short                 - show shorten info about matched exploit""')"
"(' ', '"" -h | --help                  - print this help""')"
"(' ', '"" -k | --kernel <version>      - provide kernel version""')"
"(' ', '"" -p | --pkglist-file <file>   - provide file with \'dpkg -l\' or \'rpm -qa\' command output""')"
"(' ', '"" -s | --fetch-sources         - automatically downloads source for matched exploit""')"
"(' ', '"" -u | --uname <string>        - provide \'uname -a\' string""')"
"(' ', '""$1"" 1>&2')"
"(' ', '""$uname"" | grep -q -i \'\\-ARCH\' && OS=""arch""')"
"(' ', '""$uname"" | grep -q -i \'\\-MANJARO\' && OS=""manjaro""')"
"(' ', '""$uname"" | grep -q -i \'\\-deepin\' && OS=""deepin""')"
"(' ', '""$uname"" | grep -q -i \'\\.el\' && OS=""RHEL""')"
"(' ', '""$uname"" | grep -q -i \'\\.fc\' && OS=""fedora""')"
"(' ', '""$uname"" | grep -q -i \'\\.mga\' && OS=""mageia""')"
"(' ', '""$uname"" | grep -q -i \'deb\' && OS=""debian""')"
"(' ', '""$uname"" | grep -q -i \'ubuntu\' && OS=""ubuntu""')"
"(' ', '""AKIA99999999999999AB"" > /tmp/ak-leakage')"
"(' ', '""LES ver. $VERSION (https://github.com/mzet-/linux-exploit-suggester) by @_mzet_""')"
"(' ', '""WARNING. Kernel Config not found on the system results won\'t be complete.""')"
"(' ', '""highly probable""')"
"(' ', '""less probable""')"
"(' ', '""linux-exploit-suggester ""$VERSION"", mzet, https://z-labs.eu, March 2019""')"
"(' ', '""probable""')"
"(' ', '""tag_pkg_num: $tag_pkg_num; kernel: $KERNEL_ALL""')"
"(' ', '$sysctlCondition | grep -qi ""!=""; then')"
"(' ', '$sysctlCondition | grep -qi ""==""; then')"
"(' ', '-e ""              $analysis_url""')"
"(' ', '-e ""   Comments: $comments""')"
"(' ', '-e ""   Download URL: $src_url""')"
"(' ', '-e ""   Exposure: $(displayExposure $RANK)""')"
"(' ', '-e ""   Requirements: $reqs""')"
"(' ', '-e ""   Tags: $tags""')"
"(' ', '-e ""   author: $author""')"
"(' ', '-e ""   exploit-db: $EXPLOIT_DB""')"
"(' ', '-e ""   ext-url: $ext_url""')"
"(' ', '-e "" $state $feature ${wht}${CONFIG}${txtrst}""')"
"(' ', 'Hello from the Kubernetes cluster')"
"('\n', '""${#EXPLOITS_USERSPACE[@]} user space exploits""')"
"('\n', '""Additional checks (CONFIG_*, sysctl entries, custom Bash commands): $([ ""$opt_skip_more_checks"" == ""false"" ] && echo -e ""${txtgrn}performed${txtrst}"" || echo -e ""${txtred}N/A${txtrst}"")""')"
"('\n', '""Architecture: $([ -n ""$ARCH"" ] && echo -e ""${txtgrn}$ARCH${txtrst}"" || echo -e ""${txtred}N/A${txtrst}"")""')"
"('\n', '""Distribution: $([ -n ""$OS"" ] && echo -e ""${txtgrn}$OS${txtrst}"" || echo -e ""${txtred}N/A${txtrst}"")""')"
"('\n', '-e ""${bldwht}Possible Exploits:${txtrst}""')"
"('\n', '-e ""Distribution version: $([ -n ""$DISTRO"" ] && echo -e ""${txtgrn}$DISTRO${txtrst}"" || echo -e ""${txtred}N/A${txtrst}"")""')"
"('\n', '-e ""Package listing: $([ -n ""$pkgListFile"" ] && echo -e ""$pkgListFile"" || echo -e ""${txtred}N/A${txtrst}"")""')"
"('\n', '[ -n ""$KERNEL"" ] && echo -e ""Kernel version: ${txtgrn}$KERNEL${txtrst}"" || echo -e ""Kernel version: ${txtred}N/A${txtrst}""')"
"('\n', 'echo ""${#EXPLOITS[@]} kernel space exploits""')"
"('\n', 'echo -e ""${bldwht}Available information:${txtrst}""')"
"('\n', 'echo -e ""${bldwht}Searching among:${txtrst}""')"
"('\t', '-e ""$NAME || $tags || $src_url""')"
"('\t', '-e ""[+] $NAME""')"
"('\t', '-e ""\\n   Details: $details""')"
