"('http://', 'ht', '', '.0.1:443/api/v1/nodes', '', '.0.1:443/api/v1/nodes')"
"('http://', 'ht', '', '.5.4:2379', '', '.5.4:2379')"
"('http://', 'ht', '', '/2014/03/exploit-CVE-2014-0038-x32-recvmmsg-kernel-vulnerablity.html', '/', '2014/03/exploit-CVE-2014-0038-x32-recvmmsg-kernel-vulnerablity.html')"
"('http://', 'ht', '', '/2014/06/exploit-walkthrough-cve-2014-0196-pty-kernel-race-condition.html', '/', '2014/06/exploit-walkthrough-cve-2014-0196-pty-kernel-race-condition.html')"
"('http://', 'ht', '', '/2014/08/the-poisoned-nul-byte-2014-edition.html', '/', '2014/08/the-poisoned-nul-byte-2014-edition.html')"
"('http://', 'ht', '', '/2015/02/02/exploiting-badiret-vulnerability-cve-2014-9322-linux-kernel-privilege-escalation', '/', '2015/02/02/exploiting-badiret-vulnerability-cve-2014-9322-linux-kernel-privilege-escalation')"
"('http://', 'ht', '', '/2016/01/14/analysis-and-exploitation-of-a-linux-kernel-vulnerability-cve-2016-0728', '/', '2016/01/14/analysis-and-exploitation-of-a-linux-kernel-vulnerability-cve-2016-0728')"
"('http://', 'ht', '', '/2021/#/arsenal', '/', '2021/#/arsenal')"
"('http://', 'ht', '', '/a-closer-look-at-a-recent-privilege-escalation-bug-in-linux-cve-2013-2094', '/', 'a-closer-look-at-a-recent-privilege-escalation-bug-in-linux-cve-2013-2094')"
"('http://', 'ht', '', '/advisories/Tomcat-RedHat-Pkgs-Root-PrivEsc-Exploit-CVE-2016-5425.html', '/', 'advisories/Tomcat-RedHat-Pkgs-Root-PrivEsc-Exploit-CVE-2016-5425.html')"
"('http://', 'ht', '', '/computeMetadata/v1/instance/disks/?recursive=true', '/', 'computeMetadata/v1/instance/disks/?recursive=true')"
"('http://', 'ht', '', '/en/stable/api/client.html', '/', 'en/stable/api/client.html')"
"('http://', 'ht', '', '/exp/p_cve-2014-9322.tar.gz', '/', 'exp/p_cve-2014-9322.tar.gz')"
"('http://', 'ht', '', '/exploits/CVE-2016-6663/mysql-privesc-race.c', '/', 'exploits/CVE-2016-6663/mysql-privesc-race.c')"
"('http://', 'ht', '', '/exploits/full-nelson.c', '/', 'exploits/full-nelson.c')"
"('http://', 'ht', '', '/exploits/tomcat-RH-root.sh', '/', 'exploits/tomcat-RH-root.sh')"
"('http://', 'ht', '', '/exploits/tomcat-rootprivesc-deb.sh', '/', 'exploits/tomcat-rootprivesc-deb.sh')"
"('http://', 'ht', '', '/fulldisclosure/2012/Jan/att-590/advisory_sudo.txt', '/', 'fulldisclosure/2012/Jan/att-590/advisory_sudo.txt')"
"('http://', 'ht', '', '/get', '/', 'get')"
"('http://', 'ht', '', '/latest/meta-data', '/', 'latest/meta-data')"
"('http://', 'ht', '', '/lists/oss-security/2015/04/14/4', '/', 'lists/oss-security/2015/04/14/4')"
"('http://', 'ht', '', '/meta-data/latest/uhost', '/', 'meta-data/latest/uhost')"
"('http://', 'ht', '', '/metadata/instance', '/', 'metadata/instance')"
"('http://', 'ht', '', '/openstack/latest/meta_data.json', '/', 'openstack/latest/meta_data.json')"
"('http://', 'ht', '', '/oss-sec/2014/q2/430', '/', 'oss-sec/2014/q2/430')"
"('http://', 'ht', '', '/oss-sec/2015/q2/130', '/', 'oss-sec/2015/q2/130')"
"('http://', 'ht', '', '/oss-sec/2015/q2/520', '/', 'oss-sec/2015/q2/520')"
"('http://', 'ht', '', '/oss-sec/2015/q2/717', '/', 'oss-sec/2015/q2/717')"
"('http://', 'ht', '', '/vulnerabilities/isec-0021-uselib.txt', '/', 'vulnerabilities/isec-0021-uselib.txt')"
"('http://', 'ht', '', '/web/20101020044048/http://www.vsecurity.com/download/tools/linux-rds-exploit.c', '/', 'web/20101020044048/http://www.vsecurity.com/download/tools/linux-rds-exploit.c')"
"('http://', 'ht', '', '/web/20160602192631/https://www.kernel-exploits.com/media/half-nelson3', '/', 'web/20160602192631/https://www.kernel-exploits.com/media/half-nelson3')"
"('http://', 'ht', '', '/xSports/clown-newuser.c', '/', 'xSports/clown-newuser.c')"
"('http://', 'ht', '', ':10250', '', ':10250')"
"('http://', 'ht', '', ':2379', '', ':2379')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '.0.1:443/api/v1/namespaces/default/pods?fieldManager=kubectl-client-side-apply', '', '.0.1:443/api/v1/namespaces/default/pods?fieldManager=kubectl-client-side-apply')"
"('https://', 'ht', 's', '.0.1:443/api/v1/nodes', '', '.0.1:443/api/v1/nodes')"
"('https://', 'ht', 's', '/2009/07/16/cve-2009-1895-linux-kernel-per_clear_on_setid-personality-bypass', '/', '2009/07/16/cve-2009-1895-linux-kernel-per_clear_on_setid-personality-bypass')"
"('https://', 'ht', 's', '/2009/08/cve-2009-2698-udpsendmsg-vulnerability.html', '/', '2009/08/cve-2009-2698-udpsendmsg-vulnerability.html')"
"('https://', 'ht', 's', '/2016/06/lets-feed-attacker-input-to-sh-c-to-see.html', '/', '2016/06/lets-feed-attacker-input-to-sh-c-to-see.html')"
"('https://', 'ht', 's', '/2017/05/exploiting-linux-kernel-via-packet.html', '/', '2017/05/exploiting-linux-kernel-via-packet.html')"
"('https://', 'ht', 's', '/2018/07/ebpf-and-analysis-of-get-rekt-linux.html', '/', '2018/07/ebpf-and-analysis-of-get-rekt-linux.html')"
"('https://', 'ht', 's', '/2019/06/cve-2019-12181-serv-u-exploit-writeup.html', '/', '2019/06/cve-2019-12181-serv-u-exploit-writeup.html')"
"('https://', 'ht', 's', '/2019/07/19/understanding-docker-container-escapes', '/', '2019/07/19/understanding-docker-container-escapes')"
