"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '6', '', '6', '', '', '', '')"
"('', '', '', '', '', 'C', '', 'C', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'b', '', 'b', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', 'dae', '', 'dae', '', '', '', '')"
"('', '', '', '', '', 'f', '', 'f', '', '', '', '')"
"('0::', '', '', ':', '', '', '', '', '', '', '', '')"
"('8659:0:', '', '', '', '', '', '', '', '', '', '', '')"
"('9173:0:', '', '', '', '', '', '', '', '', '', '', '')"
"('9999:7::', '', '', ':', '', '', '', '', '', '', '', '')"
