"(""'"", '--driver', '', '', '', '', '', '', '', '', '')"
"(""'"", '--host', '', '', '', '', '', '', '', '', '')"
"(""'"", '--install', '', '', '', '', '', '', '', '', '')"
"(""'"", '--label', '', '', '', '', '', '', '', '', '')"
"(""'"", '--mode', '', '', '', '', '', '', '', '', '')"
"(""'"", '--port', '', '', '', '', '', '', '', '', '')"
"(""'"", '--vmem', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', ' path, fh=None)', ')', '')"
"('', '', '', '', 'if', ""mode == 'all' or args.mode == 'dump'"", '', '', '', '', '')"
"('', '', '', '', 'if', ""mode == 'all' or args.mode == 'mount'"", '', '', '', '', '')"
"('', '', '', '', 'if', 'vmem', '', '', '', '', '')"
"('', '', '', '', 'not', ""mode == 'dump'"", '', '', '', '', '')"
