"('', '', '', '', '', '', ' 0\n            $streamReader', '', '0', 'streamReader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1MB\n                $fileInfo', '', '1MB', 'fileInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1MB\n            $fileInfo', '', '1MB', 'fileInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Byte\n            $result', '', 'Byte', 'result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Cleanup\n            $streamReader', '', 'Cleanup', 'streamReader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Schedule.Service\n    $scheduler', '', 'Schedule.Service', 'scheduler', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Schedule.Service\n$scheduler', '', 'Schedule.Service', 'scheduler', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.IO.MemoryStream\n            $streamWriter', '', 'System.IO.MemoryStream', 'streamWriter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Security.Cryptography.AesManaged\n    $aesManaged', '', 'System.Security.Cryptography.AesManaged', 'aesManaged', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' file\n            $decodeData', '', 'file', 'decodeData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' iex $decryptedDescription', '', 'iex', 'decryptedDescription', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' it\n            $dir', '', 'it', 'dir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Length]\n    $decryptedDataBytes', '', '.Length', 'decryptedDataBytes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Base64 $combinedData', '', 'Base64', 'combinedData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Base64 $decryptedDescription', '', 'Base64', 'decryptedDescription', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Base64 $encryptedData', '', 'Base64', 'encryptedData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Base64 $result', '', 'Base64', 'result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CBC\n    $aesManaged', '', 'CBC', 'aesManaged', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Data $encryptionKey', '', 'Data', 'encryptionKey', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $target_file', '', 'Item', 'target_file', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PKCS7\n    $aesManaged', '', 'PKCS7', 'aesManaged', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PKCS7\n    $combinedData', '', 'PKCS7', 'combinedData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $dir', '', 'Path', 'dir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $target_file', '', 'Path', 'target_file', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $target_path', '', 'Path', 'target_path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ScheduledTask $task', '', 'ScheduledTask', 'task', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'String\n    $encryptedResult', '', 'String', 'encryptedResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TaskName $taskname', '', 'TaskName', 'taskname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0..15]\n    $aesManaged', '', '0..15', 'aesManaged', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[16..$combinedData', '', '16..', 'combinedData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'b64result\n        $user', '', 'b64result', 'user', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'definition.RegistrationInfo.Description\n            $decryptedDescription', '', 'definition.RegistrationInfo.Description', 'decryptedDescription', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'definition.RegistrationInfo.Description\n\n    $decryptedDescription', '', 'definition.RegistrationInfo.Description', 'decryptedDescription', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'description\n        $pass_args', '', 'description', 'pass_args', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'description\n    $executionResult', '', 'description', 'executionResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'encryptedResult\n    $user', '', 'encryptedResult', 'user', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'executionResult\n    $definition', '', 'executionResult', 'definition', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'executionResult\n\n    $definition', '', 'executionResult', 'definition', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'key\n    $aesManaged', '', 'key', 'aesManaged', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'key\n    $decryptor', '', 'key', 'decryptor', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $null', '', 'ne', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'result\n\n    $definition', '', 'result', 'definition', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'task.Definition\n    $description', '', 'task.Definition', 'description', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'task.Principal.UserId\n        $folder', '', 'task.Principal.UserId', 'folder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'task.Principal.UserId\n    $folder', '', 'task.Principal.UserId', 'folder', '', '', '', '', '', '', '', '')"
