"('http://', 'ht', '', '/windows/2004/02/mit/task', '/', 'windows/2004/02/mit/task')"
"('https://', 'ht', 's', '/#use-with-ide', '/', '#use-with-ide')"
"('https://', 'ht', 's', '/3/library/codecs.html#standard-encodings', '/', '3/library/codecs.html#standard-encodings')"
"('https://', 'ht', 's', '/docs/basic-usage/#commit-your-poetrylock-file-to-version-control', '/', 'docs/basic-usage/#commit-your-poetrylock-file-to-version-control')"
"('https://', 'ht', 's', '/en-us/openspecs/windows_protocols/ms-tsch/400d77fe-2f1a-4a8e-a90b-a8f82fad5a20', '/', 'en-us/openspecs/windows_protocols/ms-tsch/400d77fe-2f1a-4a8e-a90b-a8f82fad5a20')"
"('https://', 'ht', 's', '/en-us/openspecs/windows_protocols/ms-tsch/eb12c947-7e20-4a30-a528-85bc433cec44', '/', 'en-us/openspecs/windows_protocols/ms-tsch/eb12c947-7e20-4a30-a528-85bc433cec44')"
"('https://', 'ht', 's', '/fortra/impacket', '/', 'fortra/impacket')"
"('https://', 'ht', 's', '/fortra/impacket/blob/master/examples/atexec.py', '/', 'fortra/impacket/blob/master/examples/atexec.py')"
"('https://', 'ht', 's', '/github/gitignore/blob/main/Global/JetBrains.gitignore', '/', 'github/gitignore/blob/main/Global/JetBrains.gitignore')"
"('https://', 'ht', 's', '/zcgonvh', '/', 'zcgonvh')"
"('www.', 'ht', 's', '/post/Advanced_Windows_Task_Scheduler_Playbook-Part.3_from_RPC_to_lateral_movement.html', '/', 'post/Advanced_Windows_Task_Scheduler_Playbook-Part.3_from_RPC_to_lateral_movement.html')"
