"('ASCII.', '', '')"
"('ASP.', '', '')"
"('Aes.', '', '')"
"('Annotations.', '', '')"
"('App.', '', '')"
"('Array.', '', '')"
"('AssemblyInfo.', '', '')"
"('AsyncInterfaces.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('BitConverter.', '', '')"
"('Buffer.', '', '')"
"('Buffers.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('CipherMode.', '', '')"
"('Collections.', '', '')"
"('Common.', '', '')"
"('CompilerServices.', '', '')"
"('Console.', '', '')"
"('Convert.', '', '')"
"('Crypto.', '', '')"
"('CsWin32.', '', '')"
"('DES.', '', '')"
"('Data.', '', '')"
"('Debug.', '', '')"
"('DotSettings.', '', '')"
"('EncryptionType.', '', '')"
"('Environment.', '', '')"
"('FodyWeavers.', '', '')"
"('GhostDoc.', '', '')"
"('HashType.', '', '')"
"('Header.', '', '')"
"('InteropServices.', '', '')"
"('Json.', '', '')"
"('LSA.', '', '')"
"('LayoutKind.', '', '')"
"('LocalMachine.', '', '')"
"('Luid.', '', '')"
"('MD5.', '', '')"
"('Marshal.', '', '')"
"('Memory.', '', '')"
"('MessagePack.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('NativeMethods.', '', '')"
"('Net.', '', '')"
"('NewLine.', '', '')"
"('Node.', '', '')"
"('Numerics.', '', '')"
"('PInvoke.', '', '')"
"('PaddingMode.', '', '')"
"('Privileges.', '', '')"
"('Program.', '', '')"
"('RC4.', '', '')"
"('RegistryExtension.', '', '')"
"('RegistryKey.', '', '')"
"('Runtime.', '', '')"
"('SAM.', '', '')"
"('SHA256.', '', '')"
"('ScaffoldingReadMe.', '', '')"
"('Security.', '', '')"
"('SharpSAMDump.', '', '')"
"('StoreAssociation.', '', '')"
"('StyleCopReport.', '', '')"
"('System.', '', '')"
"('TestResult.', '', '')"
"('Tuple.', '', '')"
"('Unicode.', '', '')"
"('Unsafe.', '', '')"
"('Util.', '', '')"
"('VC.', '', '')"
"('Vectors.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('Web.', '', '')"
"('Win32.', '', '')"
"('Win32Docs.', '', '')"
"('Win32Metadata.', '', '')"
"('Windows.', '', '')"
"('Xml.', '', '')"
"('a1.', '', '')"
"('a2.', '', '')"
"('ackup.', '', '')"
"('aes.', '', '')"
"('array.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('byte.', '', '')"
"('bytes.', '', '')"
"('ciphertext.', '', '')"
"('codegen.', '', '')"
"('data.', '', '')"
"('dbproj.', '', '')"
"('des.', '', '')"
"('entries.', '', '')"
"('entry.', '', '')"
"('ex.', '', '')"
"('extensions.', '', '')"
"('github.', '', '')"
"('hash.', '', '')"
"('hashData.', '', '')"
"('hex.', '', '')"
"('hexString.', '', '')"
"('indices.', '', '')"
"('iv.', '', '')"
"('key.', '', '')"
"('launch.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('microsoft.', '', '')"
"('nuget.', '', '')"
"('odx.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('pek.', '', '')"
"('privilege.', '', '')"
"('project.', '', '')"
"('rdl.', '', '')"
"('repositories.', '', '')"
"('result.', '', '')"
"('rptproj.', '', '')"
"('settings.', '', '')"
"('sln.', '', '')"
"('stackoverflow.', '', '')"
"('string.', '', '')"
"('tasks.', '', '')"
"('tokenInformation.', '', '')"
"('tokenPrivileges.', '', '')"
"('ublish.', '', '')"
"('userKey.', '', '')"
"('usersKey.', '', '')"
"('wikipedia.', '', '')"
"('xsd.', '', '')"
