"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('http://', 'ht', '', '/fwlink/?LinkID=322105', '/', 'fwlink/?LinkID=322105')"
"('https://', 'ht', 's', '/a/26206519', '/', 'a/26206519')"
"('https://', 'ht', 's', '/a/623184', '/', 'a/623184')"
"('https://', 'ht', 's', '/a/9995303', '/', 'a/9995303')"
"('https://', 'ht', 's', '/github/gitignore/blob/main/VisualStudio.gitignore', '/', 'github/gitignore/blob/main/VisualStudio.gitignore')"
"('https://', 'ht', 's', '/github/gitignore/pull/1529#issuecomment-104372622', '/', 'github/gitignore/pull/1529#issuecomment-104372622')"
"('https://', 'ht', 's', '/github/gitignore/pull/2483#issue-259490424', '/', 'github/gitignore/pull/2483#issue-259490424')"
"('https://', 'ht', 's', '/manbeardgames/RC4', '/', 'manbeardgames/RC4')"
"('https://', 'ht', 's', '/tyranid/windows-security-internals/blob/main/chapter_10/listing_10_21_to_10_34.ps1', '/', 'tyranid/windows-security-internals/blob/main/chapter_10/listing_10_21_to_10_34.ps1')"
"('https://', 'ht', 's', '/wiki/RC4', '/', 'wiki/RC4')"
