"('', '', '', '', '', '', ' 0\n\t\t\t$timeout', '', '0', 'timeout', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1000\n    $Searcher', '', '1000', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n\t\t\t\t$elapsedTime', '', '1', 'elapsedTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 32767\n\t$Color', '', '32767', 'Color', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Dcom\n\t\t\t$cimSession', '', 'Dcom', 'cimSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' HKEY_USERS\n\t\t\t\t\t$userKeys', '', 'HKEY_USERS', 'userKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' IPAddress\n\t\t\t\n\t\t\t$ErrorCheckpoint', '', 'IPAddress', 'ErrorCheckpoint', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Results\n\n  \t$Host', '', 'Results', 'Host', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' RunspacePool\n\t\t$runspacePool', '', 'RunspacePool', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SIDs\n\t\t\t\t\t$userSIDs', '', 'SIDs', 'userSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Diagnostics.Process\n\t\t\t\t$Process', '', 'System.Diagnostics.Process', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Diagnostics.Process\n\t\t\t\t\t$Process', '', 'System.Diagnostics.Process', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.DirectoryEntry $targetdomain', '', 'System.DirectoryServices.DirectoryEntry', 'targetdomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.DirectorySearcher\n    $searcher', '', 'System.DirectoryServices.DirectorySearcher', 'searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Net.Sockets.TcpClient\n\t\t\t$asyncResult', '', 'System.Net.Sockets.TcpClient', 'asyncResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' base.\n    $baseDN', '', 'base.', 'baseDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' class\n\t\t$cimInstance', '', 'class', 'cimInstance', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' code\n\t\t$scriptBlock', '', 'code', 'scriptBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' complete\n\t$allResults', '', 'complete', 'allResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain.\n    $domainDistinguishedName', '', 'domain.', 'domainDistinguishedName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' done\n\t\t$cimSession', '', 'done', 'cimSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' efficiency\n\t\t$scriptBlock', '', 'efficiency', 'scriptBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hosts\n\t\t$Computers', '', 'hosts', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Computers', '', 'in', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $allResults', '', 'in', 'allResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $filtered', '', 'in', 'filtered', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $results', '', 'in', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $runspaces', '', 'in', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $userKeys', '', 'in', 'userKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $userSIDs', '', 'in', 'userSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' information\n\t\t\t$ipAddress', '', 'information', 'ipAddress', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' items\n\t\t$runspaces', '', 'items', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' key\n\t\t\t\t\t$remoteRegistry', '', 'key', 'remoteRegistry', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' management\n\t\t$runspacePool', '', 'management', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' on $ComputerName', '', 'on', 'ComputerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pool\n\t$runspacePool', '', 'pool', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pool\n\t\t$runspacePool', '', 'pool', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' results\n\t\t$reachable_hosts', '', 'results', 'reachable_hosts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' runspaces\n\t$runspaces', '', 'runspaces', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' search\n    $result', '', 'search', 'result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' search\n    $results', '', 'search', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' searcher\n    $searcher', '', 'searcher', 'searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' the $Computers', '', 'the', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' variables\n\t\t\t$userSIDs', '', 'variables', 'userSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param(\n\t\t\n\t\t[Parameter (Mandatory=$False, Position = 0, ValueFromPipeline=$true)', '[Parameter (Mandatory=$False, Position = 0, ValueFromPipeline=$true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($computer)', '$computer', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ([string]$CmdInput)', '[string]$CmdInput', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [Parameter(Mandatory = $true)', '[Parameter(Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [string]$ADCompDomain,\n\t[switch]$Servers,\n \t[switch]$Workstations\n    )', '[string]$ADCompDomain,\n\t[switch]$Servers,\n \t[switch]$Workstations\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [string]$HostName,\n        [string]$Domain\n    )', '[string]$HostName,\n        [string]$Domain\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [string]$UserName,\n        [string]$Domain\n    )', '[string]$UserName,\n        [string]$Domain\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($Computer, $Domain, $InvokeWMIRemoting, $UserName, $Password, $CheckAsAdmin, $Timeout, $ShowAll)', '$Computer, $Domain, $InvokeWMIRemoting, $UserName, $Password, $CheckAsAdmin, $Timeout, $ShowAll', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($target, $Timeout)', '$target, $Timeout', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.HostName\n\t\t$Computers', '', '.HostName', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADCompDomain $Domain', '', 'ADCompDomain', 'Domain', '', '', '', '', '', '', '', '')"
