"('ActiveDirectory.', '', '')"
"('AsyncWaitHandle.', '', '')"
"('Automation.', '', '')"
"('CheckSessionsAsAdmin.', '', '')"
"('Diagnostics.', '', '')"
"('DirectoryServices.', '', '')"
"('DomainName.', '', '')"
"('Error.', '', '')"
"('Generic.', '', '')"
"('Instance.', '', '')"
"('Management.', '', '')"
"('Net.', '', '')"
"('NetworkInformation.', '', '')"
"('Pipe.', '', '')"
"('PowerShell.', '', '')"
"('Principal.', '', '')"
"('Process.', '', '')"
"('Properties.', '', '')"
"('PropertiesToLoad.', '', '')"
"('Qualifiers.', '', '')"
"('RawUI.', '', '')"
"('Result.', '', '')"
"('RidRoleOwner.', '', '')"
"('Searcher.', '', '')"
"('SessionHunter.', '', '')"
"('Sockets.', '', '')"
"('StandardOutput.', '', '')"
"('StartInfo.', '', '')"
"('System.', '', '')"
"('Text.', '', '')"
"('Unicode.', '', '')"
"('Value.', '', '')"
"('Win32.', '', '')"
"('connectionOptions.', '', '')"
"('contoso.', '', '')"
"('createNewClass.', '', '')"
"('currentDomain.', '', '')"
"('elapsedTime.', '', '')"
"('entry.', '', '')"
"('fsf.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '')"
"('gnu.', '', '')"
"('net.', '', '')"
"('objSearcher.', '', '')"
"('powerShellInstance.', '', '')"
"('powershell.', '', '')"
"('remoteRegistry.', '', '')"
"('result.', '', '')"
"('runspace.', '', '')"
"('runspacePool.', '', '')"
"('runspaces.', '', '')"
"('scope.', '', '')"
"('searcher.', '', '')"
"('startProcess.', '', '')"
"('stopwatch.', '', '')"
"('targets.', '', '')"
"('tcpClient.', '', '')"
"('user.', '', '')"
"('why-not-lgpl.', '', '-lgpl')"
"('wmiData.', '', '')"
"('wmiDataOutput.', '', '')"
