"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/0xdea', '/', '0xdea')"
"('https://', 'ht', 's', '/0xdea/blindsight', '/', '0xdea/blindsight')"
"('https://', 'ht', 's', '/@raptor', '/', '@raptor')"
"('https://', 'ht', 's', '/Kudaes/DInvoke_rs', '/', 'Kudaes/DInvoke_rs')"
"('https://', 'ht', 's', '/Kudaes/Dumpy', '/', 'Kudaes/Dumpy')"
"('https://', 'ht', 's', '/an-offensive-rust-encore', '/', 'an-offensive-rust-encore')"
"('https://', 'ht', 's', '/anthemtotheego/CredBandit', '/', 'anthemtotheego/CredBandit')"
"('https://', 'ht', 's', '/badge/mastodon-%40raptor-purple.svg', '/', 'badge/mastodon-%40raptor-purple.svg')"
"('https://', 'ht', 's', '/badge/twitter-%400xdea-blue.svg', '/', 'badge/twitter-%400xdea-blue.svg')"
"('https://', 'ht', 's', '/fortra/nanodump', '/', 'fortra/nanodump')"
"('https://', 'ht', 's', '/github/forks/0xdea/blindsight.svg?style=flat&color=green', '/', 'github/forks/0xdea/blindsight.svg?style=flat&color=green')"
"('https://', 'ht', 's', '/github/stars/0xdea/blindsight.svg?style=flat&color=yellow', '/', 'github/stars/0xdea/blindsight.svg?style=flat&color=yellow')"
"('https://', 'ht', 's', '/github/watchers/0xdea/blindsight.svg?style=flat&color=red', '/', 'github/watchers/0xdea/blindsight.svg?style=flat&color=red')"
"('https://', 'ht', 's', '/hookson-hootoff', '/', 'hookson-hootoff')"
"('https://', 'ht', 's', '/joaoviictorti/RustRedOps', '/', 'joaoviictorti/RustRedOps')"
"('https://', 'ht', 's', '/johnthagen/min-sized-rust', '/', 'johnthagen/min-sized-rust')"
"('https://', 'ht', 's', '/p/the-hidden-side-of-seclogon-part-3.html', '/', 'p/the-hidden-side-of-seclogon-part-3.html')"
"('https://', 'ht', 's', '/rust-lang/crates.io-index', '/', 'rust-lang/crates.io-index')"
"('https://', 'ht', 's', '/techniques/T1003/001', '/', 'techniques/T1003/001')"
"('https://', 'ht', 's', '/w1u0u1/minidump', '/', 'w1u0u1/minidump')"
"('www.', 'ht', 's', '/en/publications/windows-secrets-extraction-a-summary', '/', 'en/publications/windows-secrets-extraction-a-summary')"
"('www.', 'ht', 's', '/offensive-security/credential-access-and-credential-dumping', '/', 'offensive-security/credential-access-and-credential-dumping')"
