"('Kernel32.', '', '')"
"('RustPotato.', '', '')"
"('SampleCOMObject.', '', '')"
"('advapi32.', '', '')"
"('args.', '', '')"
"('buffer.', '', '')"
"('bytes.', '', '')"
"('cmd.', '', '')"
"('co.', '', '')"
"('combase.', '', '')"
"('crates.', '', '')"
"('data.', '', '')"
"('endpoint.', '', '')"
"('github.', '', '')"
"('guid.', '', '')"
"('h.', '', '')"
"('handles.', '', '')"
"('host.', '', '')"
"('interface.', '', '')"
"('ipid.', '', '')"
"('label.', '', '')"
"('layout.', '', '')"
"('matches.', '', '')"
"('moniker.', '', '')"
"('ntdll.', '', '')"
"('p.', '', '')"
"('parts.', '', '')"
"('pattern.', '', '')"
"('powershell.', '', '')"
"('profile.', '', '')"
"('result.', '', '')"
"('rtf.', '', '')"
"('self.', '', '')"
"('si.', '', '')"
"('sid.', '', '')"
"('stream.', '', '')"
"('string2.', '', '')"
"('syscall.', '', '')"
"('text.', '', '')"
"('token.', '', '')"
"('tokens.', '', '')"
"('user.', '', '')"
"('value.', '', '')"
"('winsock.', '', '')"
