"('2023', '08', '08')"
"('2014', '08', '13')"
"('2001', '12', '14')"
"('2014', '06', '24')"
"('2014', '12', '12')"
"('2013', '02', '07')"
"('2012', '10', '09')"
"('2016', '10', '01')"
"('2012', '03', '30')"
"('2013', '11', '02')"
"('2014', '06', '19')"
"('2014', '06', '28')"
"('2012', '07', '14')"
"('2015', '10', '14')"
"('2013', '01', '09')"
"('2014', '08', '17')"
"('2014', '07', '04')"
"('2015', '02', '05')"
"('2016', '10', '04')"
"('2014', '05', '23')"
"('2015', '10', '17')"
"('2012', '05', '22')"
"('2012', '06', '06')"
"('2016', '04', '19')"
"('2015', '12', '17')"
"('2014', '12', '31')"
"('2016', '01', '13')"
"('2014', '08', '15')"
"('2014', '09', '07')"
"('2012', '11', '09')"
"('2013', '06', '03')"
"('2013', '03', '13')"
"('2014', '07', '09')"
"('2015', '02', '08')"
"('2014', '06', '12')"
"('2013', '09', '08')"
"('2014', '01', '17')"
"('2014', '06', '21')"
"('2013', '04', '07')"
"('2016', '06', '28')"
"('2012', '07', '02')"
"('2011', '12', '30')"
"('2016', '10', '10')"
"('2013', '05', '23')"
"('2013', '05', '09')"
"('2012', '02', '19')"
"('2014', '08', '19')"
"('2012', '09', '01')"
"('2013', '11', '13')"
"('2012', '05', '03')"
"('2016', '03', '02')"
"('2013', '10', '19')"
"('2018', '01', '09')"
"('2013', '06', '17')"
"('2011', '10', '19')"
"('2012', '09', '27')"
"('2015', '11', '05')"
"('2014', '10', '28')"
"('2015', '12', '10')"
"('2006', '01', '02')"
"('2016', '02', '29')"
"('2013', '06', '09')"
"('2016', '03', '05')"
"('2015', '11', '20')"
"('2016', '07', '25')"
"('2016', '05', '09')"
"('2015', '10', '14')"
"('2006', '01', '02')"
"('2049', '12', '31')"
