"('https://', 'ht', 's', '/golang/dep/releases/download/v0.5.0/dep-linux-amd64', '/', 'golang/dep/releases/download/v0.5.0/dep-linux-amd64')"
"('https://', 'ht', 's', '/aalex954/evilginx2-tuned/assets/6628565/68be4518-b1d5-476c-9c0b-ce7a0aa1a255', '/', 'aalex954/evilginx2-tuned/assets/6628565/68be4518-b1d5-476c-9c0b-ce7a0aa1a255')"
"('https://', 'ht', 's', '/blog/google-amp-the-newest-of-evasive-phishing-tactic', '/', 'blog/google-amp-the-newest-of-evasive-phishing-tactic')"
"('www.', 'ht', 's', '/amp/s', '/', 'amp/s')"
"('https://', 'ht', 's', '/aalex954/MSFT-IP-Tracker/releases/latest/download/msft_asn_ip_ranges.txt', '/', 'aalex954/MSFT-IP-Tracker/releases/latest/download/msft_asn_ip_ranges.txt')"
"('https://', 'ht', 's', '/aalex954/MSFT-IP-Tracker', '/', 'aalex954/MSFT-IP-Tracker')"
"('https://', 'ht', 's', '/endpoints/worldwide?clientrequestid=b10c5ed1-bad1-445f-b386-b919946339a7', '/', 'endpoints/worldwide?clientrequestid=b10c5ed1-bad1-445f-b386-b919946339a7')"
"('https://', 'ht', 's', '/aalex954/evilginx2-tuned/assets/6628565/a88127e3-04fa-4a0a-8257-938e7736fbd7', '/', 'aalex954/evilginx2-tuned/assets/6628565/a88127e3-04fa-4a0a-8257-938e7736fbd7')"
"('https://', 'ht', 's', '/email_bug/outlook_email_auth_bypass', '/', 'email_bug/outlook_email_auth_bypass')"
"('https://', 'ht', 's', '/aalex954/ASN-2-IP', '/', 'aalex954/ASN-2-IP')"
"('https://', 'ht', 's', '/en-us/microsoft-365/enterprise/urls-and-ip-address-ranges?view=o365-worldwide', '/', 'en-us/microsoft-365/enterprise/urls-and-ip-address-ranges?view=o365-worldwide')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('http://', 'ht', '', '', '', '')"
"('www.', 'ht', '', '/philosophy/why-not-lgpl.html', '/', 'philosophy/why-not-lgpl.html')"
"('https://', 'ht', 's', '/square/go-jose/issues/22', '/', 'square/go-jose/issues/22')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/forum', '/', 'forum')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/spreadsheet/viewform?formkey=dDViT2xzUHAwRkI3X3k5Z0lQM091OGc6MQ&ndplr=1', '/', 'spreadsheet/viewform?formkey=dDViT2xzUHAwRkI3X3k5Z0lQM091OGc6MQ&ndplr=1')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('http://', 'ht', '', '/10.17487/RFC7519', '/', '10.17487/RFC7519')"
"('http://', 'ht', '', '/10.17487/RFC7516', '/', '10.17487/RFC7516')"
"('https://', 'ht', 's', '/r/square/go-jose', '/', 'r/square/go-jose')"
"('https://', 'ht', 's', '/square/go-jose.svg?branch=v2', '/', 'square/go-jose.svg?branch=v2')"
"('http://', 'ht', '', '/10.17487/RFC7518', '/', '10.17487/RFC7518')"
"('http://', 'ht', '', '/badge/godoc-version_1-blue.svg?style=flat', '/', 'badge/godoc-version_1-blue.svg?style=flat')"
"('https://', 'ht', 's', '/gopkg.in/square/go-jose.v2/jwt', '/', 'gopkg.in/square/go-jose.v2/jwt')"
"('http://', 'ht', '', '/pkg/crypto/rsa/#PublicKey', '/', 'pkg/crypto/rsa/#PublicKey')"
"('https://', 'ht', 's', '/square/go-jose.v1', '/', 'square/go-jose.v1')"
"('https://', 'ht', 's', '/gopkg.in/square/go-jose.v1', '/', 'gopkg.in/square/go-jose.v1')"
"('http://', 'ht', '', '/10.17487/RFC7515', '/', '10.17487/RFC7515')"
"('https://', 'ht', 's', '/square/go-jose', '/', 'square/go-jose')"
"('http://', 'ht', '', '/pkg/crypto/ecdsa/#PrivateKey', '/', 'pkg/crypto/ecdsa/#PrivateKey')"
"('https://', 'ht', 's', '/golang.org/x/crypto/ed25519#PrivateKey', '/', 'golang.org/x/crypto/ed25519#PrivateKey')"
"('https://', 'ht', 's', '/gopkg.in/square/go-jose.v2', '/', 'gopkg.in/square/go-jose.v2')"
"('https://', 'ht', 's', '/golang.org/x/crypto/ed25519#PublicKey', '/', 'golang.org/x/crypto/ed25519#PublicKey')"
"('https://', 'ht', 's', '/repos/github/square/go-jose/badge.svg?branch=v2', '/', 'repos/github/square/go-jose/badge.svg?branch=v2')"
"('http://', 'ht', '', '/badge/license-apache_2.0-blue.svg?style=flat', '/', 'badge/license-apache_2.0-blue.svg?style=flat')"
"('https://', 'ht', 's', '/square/go-jose.v2', '/', 'square/go-jose.v2')"
"('https://', 'ht', 's', '/shaxbee', '/', 'shaxbee')"
"('https://', 'ht', 's', '/square/go-jose/master/LICENSE', '/', 'square/go-jose/master/LICENSE')"
"('https://', 'ht', 's', '/square/go-jose/tree/v2', '/', 'square/go-jose/tree/v2')"
"('http://', 'ht', '', '/badge/godoc-version_2-blue.svg?style=flat', '/', 'badge/godoc-version_2-blue.svg?style=flat')"
"('www.', 'ht', 's', '/mail-archive/web/json/current/msg03763.html', '/', 'mail-archive/web/json/current/msg03763.html')"
"('https://', 'ht', 's', '/square/go-jose/tree/v2/jose-util', '/', 'square/go-jose/tree/v2/jose-util')"
"('http://', 'ht', '', '/pkg/crypto/ecdsa/#PublicKey', '/', 'pkg/crypto/ecdsa/#PublicKey')"
"('http://', 'ht', '', '/pkg/crypto/rsa/#PrivateKey', '/', 'pkg/crypto/rsa/#PrivateKey')"
"('https://', 'ht', 's', '', '', '')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/square/go-jose/issues/157', '/', 'square/go-jose/issues/157')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/p/go/source/detail?r=58ee390ff31602edb66af41ed10901ec95904d33', '/', 'p/go/source/detail?r=58ee390ff31602edb66af41ed10901ec95904d33')"
"('https://', 'ht', 's', '/forum', '/', 'forum')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/html/draft-ietf-jose-json-web-signature-41#section-4', '/', 'html/draft-ietf-jose-json-web-signature-41#section-4')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/html/rfc7518#section-6.2.2.1', '/', 'html/rfc7518#section-6.2.2.1')"
"('https://', 'ht', 's', '/html/rfc7518#section-6.2.1.2', '/', 'html/rfc7518#section-6.2.1.2')"
"('https://', 'ht', 's', '/golang/go/issues/12933', '/', 'golang/go/issues/12933')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/squareopensource', '/', 'squareopensource')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/pbkdf2', '/', 'pbkdf2')"
"('https://', 'ht', 's', '/html/rfc7518#section-4.8.1.2', '/', 'html/rfc7518#section-4.8.1.2')"
"('https://', 'ht', 's', '/800-63-3/sp800-63b.html', '/', '800-63-3/sp800-63b.html')"
"('www.', 'ht', 's', '/mail-archive/web/json/current/msg03763.html', '/', 'mail-archive/web/json/current/msg03763.html')"
"('http://', 'ht', '', '/json-isnt-a-javascript-subset', '/', 'json-isnt-a-javascript-subset')"
"('https://', 'ht', 's', '/doc/articles/json_and_go.html', '/', 'doc/articles/json_and_go.html')"
"('http://', 'ht', '', '/number.gif', '/', 'number.gif')"
"('https://', 'ht', 's', '/html/rfc7159#section-6', '/', 'html/rfc7159#section-6')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/yaml.v2', '/', 'yaml.v2')"
"('www.', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '', '', '')"
"('http://', 'ht', '', '/wiki/LibYAML', '/', 'wiki/LibYAML')"
"('http://', 'ht', '', '/type/float.html', '/', 'type/float.html')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('http://', 'ht', '', '/spec/1.2/spec.html', '/', 'spec/1.2/spec.html')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/go-yaml/yaml', '/', 'go-yaml/yaml')"
"('http://', 'ht', '', '/type/timestamp.html', '/', 'type/timestamp.html')"
"('www.', 'ht', '', '/rfc/rfc2781.txt', '/', 'rfc/rfc2781.txt')"
"('www.', 'ht', '', '/rfc/rfc3629.txt', '/', 'rfc/rfc3629.txt')"
"('https://', 'ht', 's', '/badge/api-reference-blue.svg?style=flat-square', '/', 'badge/api-reference-blue.svg?style=flat-square')"
"('https://', 'ht', 's', '/mourner/tinyqueue', '/', 'mourner/tinyqueue')"
"('https://', 'ht', 's', '/github.com/tidwall/tinyqueue', '/', 'github.com/tidwall/tinyqueue')"
"('https://', 'ht', 's', '/tidwall/rtree.svg?branch=master', '/', 'tidwall/rtree.svg?branch=master')"
"('https://', 'ht', 's', '/tidwall/rtree', '/', 'tidwall/rtree')"
"('https://', 'ht', 's', '/github.com/tidwall/rtree?status.svg', '/', 'github.com/tidwall/rtree?status.svg')"
"('https://', 'ht', 's', '/github.com/tidwall/rtree', '/', 'github.com/tidwall/rtree')"
"('https://', 'ht', 's', '/github.com/tidwall/btree?status.svg', '/', 'github.com/tidwall/btree?status.svg')"
"('https://', 'ht', 's', '/github.com/tidwall/btree', '/', 'github.com/tidwall/btree')"
"('https://', 'ht', 's', '/tidwall/btree.svg?branch=master', '/', 'tidwall/btree.svg?branch=master')"
"('https://', 'ht', 's', '/google/btree', '/', 'google/btree')"
"('www.', 'ht', '', '/licenses', '/', 'licenses')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('http://', 'ht', '', '/2013/01/c-containers-that-save-memory-and-time.html', '/', '2013/01/c-containers-that-save-memory-and-time.html')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('http://', 'ht', '', '/petar/gollrb', '/', 'petar/gollrb')"
"('https://', 'ht', 's', '/wiki/R-tree', '/', 'wiki/R-tree')"
"('https://', 'ht', 's', '/tidwall/buntdb', '/', 'tidwall/buntdb')"
"('https://', 'ht', 's', '/badge/coverage-95%25-brightgreen.svg?style=flat-square', '/', 'badge/coverage-95%25-brightgreen.svg?style=flat-square')"
"('https://', 'ht', 's', '/badge/api-reference-blue.svg?style=flat-square', '/', 'badge/api-reference-blue.svg?style=flat-square')"
"('https://', 'ht', 's', '/en-us/library/ms174596.aspx', '/', 'en-us/library/ms174596.aspx')"
"('https://', 'ht', 's', '/tidwall/buntdb-benchmark', '/', 'tidwall/buntdb-benchmark')"
"('https://', 'ht', 's', '/tidwall/collate', '/', 'tidwall/collate')"
"('http://', 'ht', '', '/doc/refman/5.7/en/multiple-column-indexes.html', '/', 'doc/refman/5.7/en/multiple-column-indexes.html')"
"('http://', 'ht', '', '/github.com/tidwall/buntdb', '/', 'github.com/tidwall/buntdb')"
"('https://', 'ht', 's', '/tidwall/gjson', '/', 'tidwall/gjson')"
"('https://', 'ht', 's', '/badge/github.com/tidwall/buntdb?style=flat-square', '/', 'badge/github.com/tidwall/buntdb?style=flat-square')"
"('https://', 'ht', 's', '/wiki/B-tree', '/', 'wiki/B-tree')"
"('https://', 'ht', 's', '/report/github.com/tidwall/buntdb', '/', 'report/github.com/tidwall/buntdb')"
"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/tidwall', '/', 'tidwall')"
"('https://', 'ht', 's', '/github.com/tidwall/buntdb', '/', 'github.com/tidwall/buntdb')"
"('https://', 'ht', 's', '/tidwall/raft-buntdb#raftstore-performance-comparison', '/', 'tidwall/raft-buntdb#raftstore-performance-comparison')"
"('https://', 'ht', 's', '/wiki/Well-known_text', '/', 'wiki/Well-known_text')"
"('https://', 'ht', 's', '/travis/tidwall/buntdb.svg?style=flat-square', '/', 'travis/tidwall/buntdb.svg?style=flat-square')"
"('https://', 'ht', 's', '/tidwall/btree', '/', 'tidwall/btree')"
"('http://', 'ht', '', '/topics/protocol', '/', 'topics/protocol')"
"('http://', 'ht', '', '/questions/25065055#32620397', '/', 'questions/25065055#32620397')"
"('https://', 'ht', 's', '/tidwall/match', '/', 'tidwall/match')"
"('https://', 'ht', 's', '/travis/tidwall/match.svg?style=flat-square', '/', 'travis/tidwall/match.svg?style=flat-square')"
"('https://', 'ht', 's', '/badge/api-reference-blue.svg?style=flat-square', '/', 'badge/api-reference-blue.svg?style=flat-square')"
"('https://', 'ht', 's', '/github.com/tidwall/match', '/', 'github.com/tidwall/match')"
"('http://', 'ht', '', '/tidwall', '/', 'tidwall')"
"('https://', 'ht', 's', '/github.com/tidwall/pretty', '/', 'github.com/tidwall/pretty')"
"('http://', 'ht', '', '/github.com/tidwall/pretty', '/', 'github.com/tidwall/pretty')"
"('https://', 'ht', 's', '/badge/api-reference-blue.svg?style=flat-square', '/', 'badge/api-reference-blue.svg?style=flat-square')"
"('https://', 'ht', 's', '/badge/coverage-100%25-brightgreen.svg?style=flat-square', '/', 'badge/coverage-100%25-brightgreen.svg?style=flat-square')"
"('http://', 'ht', '', '/tidwall', '/', 'tidwall')"
"('https://', 'ht', 's', '/tidwall/prettty', '/', 'tidwall/prettty')"
"('https://', 'ht', 's', '/travis/tidwall/pretty.svg?style=flat-square', '/', 'travis/tidwall/pretty.svg?style=flat-square')"
"('http://', 'ht', '', '/tidwall', '/', 'tidwall')"
"('https://', 'ht', 's', '/travis/tidwall/gjson.svg?style=flat-square', '/', 'travis/tidwall/gjson.svg?style=flat-square')"
"('https://', 'ht', 's', '/tidwall/sjson', '/', 'tidwall/sjson')"
"('https://', 'ht', 's', '/tidwall/gjson-benchmarks', '/', 'tidwall/gjson-benchmarks')"
"('http://', 'ht', '', '/gjson-play', '/', 'gjson-play')"
"('https://', 'ht', 's', '/github.com/tidwall/gjson#GetBytes', '/', 'github.com/tidwall/gjson#GetBytes')"
"('https://', 'ht', 's', '/json-iterator/go', '/', 'json-iterator/go')"
"('https://', 'ht', 's', '/badge/%F0%9F%8F%90-playground-9900cc.svg?style=flat-square', '/', 'badge/%F0%9F%8F%90-playground-9900cc.svg?style=flat-square')"
"('https://', 'ht', 's', '/badge/api-reference-blue.svg?style=flat-square', '/', 'badge/api-reference-blue.svg?style=flat-square')"
"('https://', 'ht', 's', '/github.com/tidwall/gjson', '/', 'github.com/tidwall/gjson')"
"('http://', 'ht', '', '', '', '')"
"('https://', 'ht', 's', '/mailru/easyjson', '/', 'mailru/easyjson')"
"('https://', 'ht', 's', '/tidwall/jj', '/', 'tidwall/jj')"
"('https://', 'ht', 's', '/pkg/encoding/json', '/', 'pkg/encoding/json')"
"('https://', 'ht', 's', '/buger/jsonparser', '/', 'buger/jsonparser')"
"('https://', 'ht', 's', '/pquerna/ffjson', '/', 'pquerna/ffjson')"
"('https://', 'ht', 's', '/tidwall/pretty#customized-output', '/', 'tidwall/pretty#customized-output')"
"('http://', 'ht', '', '/tidwall', '/', 'tidwall')"
"('https://', 'ht', 's', '/tidwall/gjson', '/', 'tidwall/gjson')"
"('https://', 'ht', 's', '/tidwall/pretty#customized-output', '/', 'tidwall/pretty#customized-output')"
"('https://', 'ht', 's', '/tidwall/gjson', '/', 'tidwall/gjson')"
"('https://', 'ht', 's', '', '', '')"
"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/html/rfc4492#section-5.5.1', '/', 'html/rfc4492#section-5.5.1')"
"('http://', 'ht', '', '/html/rfc5077#section-3.2', '/', 'html/rfc5077#section-3.2')"
"('http://', 'ht', '', '/html/rfc4492#section-5.5.2', '/', 'html/rfc4492#section-5.5.2')"
"('https://', 'ht', 's', '/github.com/inconshreveable/go-vhost', '/', 'github.com/inconshreveable/go-vhost')"
"('www.', 'ht', '', '/licenses/LICENSE-2.0', '/', 'licenses/LICENSE-2.0')"
"('https://', 'ht', 's', '/golang.org/x/exp', '/', 'golang.org/x/exp')"
"('www.', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/nathany/vagrant-gopher', '/', 'nathany/vagrant-gopher')"
"('https://', 'ht', 's', '/github/hub', '/', 'github/hub')"
"('https://', 'ht', 's', '/blog/contributing-open-source-git-repositories-go', '/', 'blog/contributing-open-source-git-repositories-go')"
"('http://', 'ht', '', '/2014/06/24/merge-pull-request-considered-harmful/#.VGa5yZPF_Zs', '/', '2014/06/24/merge-pull-request-considered-harmful/#.VGa5yZPF_Zs')"
"('www.', 'ht', '', '', '', '')"
"('http://', 'ht', '', '', '', '')"
"('https://', 'ht', 's', '/open-source/cla/individual', '/', 'open-source/cla/individual')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/blob/master/LICENSE', '/', 'fsnotify/fsnotify/blob/master/LICENSE')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/1', '/', 'fsnotify/fsnotify/issues/1')"
"('www.', 'ht', '', '/en-us/virtualization-tools#downloads', '/', 'en-us/virtualization-tools#downloads')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues', '/', 'fsnotify/fsnotify/issues')"
"('https://', 'ht', 's', '/fsnotify/fsnotify', '/', 'fsnotify/fsnotify')"
"('https://', 'ht', 's', '/api/projects/status/ivwjubaih4r0udeh/branch/master?svg=true', '/', 'api/projects/status/ivwjubaih4r0udeh/branch/master?svg=true')"
"('https://', 'ht', 's', '/project/NathanYoungman/fsnotify/branch/master', '/', 'project/NathanYoungman/fsnotify/branch/master')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/7', '/', 'howeyc/fsnotify/issues/7')"
"('https://', 'ht', 's', '/report/github.com/fsnotify/fsnotify', '/', 'report/github.com/fsnotify/fsnotify')"
"('https://', 'ht', 's', '/github.com/fsnotify/fsnotify?status.svg', '/', 'github.com/fsnotify/fsnotify?status.svg')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/12', '/', 'fsnotify/fsnotify/issues/12')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/9', '/', 'fsnotify/fsnotify/issues/9')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/53', '/', 'fsnotify/fsnotify/issues/53')"
"('https://', 'ht', 's', '/fsnotify/fsevents', '/', 'fsnotify/fsevents')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/62', '/', 'howeyc/fsnotify/issues/62')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/11', '/', 'fsnotify/fsnotify/issues/11')"
"('https://', 'ht', 's', '/rjeczalik/notify', '/', 'rjeczalik/notify')"
"('https://', 'ht', 's', '/github.com/howeyc/fsnotify', '/', 'github.com/howeyc/fsnotify')"
"('http://', 'ht', '', '', '', '')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/blob/master/example_test.go', '/', 'fsnotify/fsnotify/blob/master/example_test.go')"
"('http://', 'ht', '', '/MrYxyA', '/', 'MrYxyA')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/18', '/', 'fsnotify/fsnotify/issues/18')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/blob/master/CONTRIBUTING.md', '/', 'fsnotify/fsnotify/blob/master/CONTRIBUTING.md')"
"('https://', 'ht', 's', '/golang.org/x/sys', '/', 'golang.org/x/sys')"
"('https://', 'ht', 's', '/github.com/fsnotify/fsnotify', '/', 'github.com/fsnotify/fsnotify')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/milestones', '/', 'fsnotify/fsnotify/milestones')"
"('https://', 'ht', 's', '/badge/github.com/fsnotify/fsnotify', '/', 'badge/github.com/fsnotify/fsnotify')"
"('https://', 'ht', 's', '/fsnotify/fsnotify.svg?branch=master', '/', 'fsnotify/fsnotify.svg?branch=master')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/releases', '/', 'fsnotify/fsnotify/releases')"
"('https://', 'ht', 's', '/articles/ignoring-files', '/', 'articles/ignoring-files')"
"('http://', 'ht', '', '/linux/man-pages/man7/signal.7.html', '/', 'linux/man-pages/man7/signal.7.html')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/121', '/', 'fsnotify/fsnotify/pull/121')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/66', '/', 'fsnotify/fsnotify/pull/66')"
"('https://', 'ht', 's', '/fsnotify/fsnotify', '/', 'fsnotify/fsnotify')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/4', '/', 'fsnotify/fsnotify/issues/4')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/49', '/', 'howeyc/fsnotify/issues/49')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/178', '/', 'fsnotify/fsnotify/pull/178')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/100', '/', 'fsnotify/fsnotify/pull/100')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/43', '/', 'fsnotify/fsnotify/pull/43')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/60', '/', 'howeyc/fsnotify/issues/60')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/14', '/', 'fsnotify/fsnotify/issues/14')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/165', '/', 'fsnotify/fsnotify/pull/165')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/33', '/', 'howeyc/fsnotify/issues/33')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/177', '/', 'fsnotify/fsnotify/pull/177')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/63', '/', 'howeyc/fsnotify/issues/63')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/30', '/', 'fsnotify/fsnotify/issues/30')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/24', '/', 'howeyc/fsnotify/issues/24')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/98', '/', 'fsnotify/fsnotify/pull/98')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/101', '/', 'fsnotify/fsnotify/pull/101')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/111', '/', 'fsnotify/fsnotify/pull/111')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/25', '/', 'howeyc/fsnotify/issues/25')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/151', '/', 'fsnotify/fsnotify/issues/151')"
"('https://', 'ht', 's', '/5418045', '/', '5418045')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/29', '/', 'howeyc/fsnotify/issues/29')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/36', '/', 'howeyc/fsnotify/issues/36')"
"('https://', 'ht', 's', '/#/c/21971', '/', '#/c/21971')"
"('https://', 'ht', 's', '/howeyc/fsnotify/pull/77', '/', 'howeyc/fsnotify/pull/77')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/59', '/', 'fsnotify/fsnotify/issues/59')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/70', '/', 'howeyc/fsnotify/issues/70')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/52', '/', 'fsnotify/fsnotify/pull/52')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/62', '/', 'howeyc/fsnotify/issues/62')"
"('https://', 'ht', 's', '/howeyc/fsnotify/pull/79', '/', 'howeyc/fsnotify/pull/79')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/48', '/', 'fsnotify/fsnotify/issues/48')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/72', '/', 'howeyc/fsnotify/issues/72')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/71', '/', 'howeyc/fsnotify/issues/71')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/21', '/', 'howeyc/fsnotify/issues/21')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/105', '/', 'fsnotify/fsnotify/pull/105')"
"('https://', 'ht', 's', '/howeyc/fsnotify/pull/98', '/', 'howeyc/fsnotify/pull/98')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/59', '/', 'howeyc/fsnotify/issues/59')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/83', '/', 'fsnotify/fsnotify/pull/83')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/51', '/', 'fsnotify/fsnotify/issues/51')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/135', '/', 'fsnotify/fsnotify/pull/135')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/93#issuecomment-39285195', '/', 'howeyc/fsnotify/issues/93#issuecomment-39285195')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/63', '/', 'fsnotify/fsnotify/pull/63')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/13', '/', 'fsnotify/fsnotify/issues/13')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/37', '/', 'fsnotify/fsnotify/pull/37')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/45', '/', 'howeyc/fsnotify/issues/45')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/61', '/', 'fsnotify/fsnotify/issues/61')"
