"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'ba', '', 'ba', '', '', '', '')"
"('', '', '', '', '', 'e60f', '', 'e60f', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', '9', '', '9', '', '', '', '')"
"('', '', '', '', '', 'C', '', 'C', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'f', '', 'f', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', 'ce', '', 'ce', '', '', '', '')"
"('', '', '', '', '', 'ea', '', 'ea', '', '', '', '')"
"('', '', '', '', '', 'de', '', 'de', '', '', '', '')"
"('', '', '', '', '', 'b', '', 'b', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'ec', '', 'ec', '', '', '', '')"
"('', '', '', '', '', 'd', '', 'd', '', '', '', '')"
"('', '', '', '', '', 'ed', '', 'ed', '', '', '', '')"
"('', '', '', '', '', 'C', '', 'C', '', '', '', '')"
"('', '', '', '', '', 'ca', '', 'ca', '', '', '', '')"
"('::', '::', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'ec', '', 'ec', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'f', '', 'f', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', 'b', '', 'b', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('0:0:0:0:0:0:', '', '', '', '0:', '0:1', '1', '1', '', '', '', '')"
"('::', '::', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
