"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '00', '', '00', '', '', '', '')"
"('', '', '', '', '', '000', '', '000', '', '', '', '')"
"('', '', '', '', '', '02', '', '02', '', '', '', '')"
"('', '', '', '', '', '08', '', '08', '', '', '', '')"
"('', '', '', '', '', '0F', '', '0F', '', '', '', '')"
"('', '', '', '', '', '0b', '', '0b', '', '', '', '')"
"('', '', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '10', '', '10', '', '', '', '')"
"('', '', '', '', '', '128b', '', '128b', '', '', '', '')"
"('', '', '', '', '', '13', '', '13', '', '', '', '')"
"('', '', '', '', '', '2', '', '2', '', '', '', '')"
"('', '', '', '', '', '23', '', '23', '', '', '', '')"
"('', '', '', '', '', '2f', '', '2f', '', '', '', '')"
"('', '', '', '', '', '3', '', '3', '', '', '', '')"
"('', '', '', '', '', '3C', '', '3C', '', '', '', '')"
"('', '', '', '', '', '4', '', '4', '', '', '', '')"
"('', '', '', '', '', '49', '', '49', '', '', '', '')"
"('', '', '', '', '', '4A', '', '4A', '', '', '', '')"
"('', '', '', '', '', '4E', '', '4E', '', '', '', '')"
"('', '', '', '', '', '4F', '', '4F', '', '', '', '')"
"('', '', '', '', '', '5', '', '5', '', '', '', '')"
"('', '', '', '', '', '54', '', '54', '', '', '', '')"
"('', '', '', '', '', '5535', '', '5535', '', '', '', '')"
"('', '', '', '', '', '5F', '', '5F', '', '', '', '')"
"('', '', '', '', '', '6', '', '6', '', '', '', '')"
"('', '', '', '', '', '64b', '', '64b', '', '', '', '')"
"('', '', '', '', '', '66', '', '66', '', '', '', '')"
"('', '', '', '', '', '6e', '', '6e', '', '', '', '')"
"('', '', '', '', '', '7', '', '7', '', '', '', '')"
"('', '', '', '', '', '70', '', '70', '', '', '', '')"
"('', '', '', '', '', '779', '', '779', '', '', '', '')"
"('', '', '', '', '', '7a', '', '7a', '', '', '', '')"
"('', '', '', '', '', '7ec', '', '7ec', '', '', '', '')"
"('', '', '', '', '', '8', '', '8', '', '', '', '')"
"('', '', '', '', '', '8C', '', '8C', '', '', '', '')"
