"('', '', '', '', '', '', ' OneEventToDict $event', '', 'OneEventToDict', 'event', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Search\n        $EventLogRegValue', '', 'Search', 'EventLogRegValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Search\n        $EventLogRegValueCheck', '', 'Search', 'EventLogRegValueCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Search\n    $TSConnectionRegPath', '', 'Search', 'TSConnectionRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Search\n    $TSConnectionRegValueCheck', '', 'Search', 'TSConnectionRegValueCheck', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Service\n    $EventlogSvchostPID', '', 'Service', 'EventlogSvchostPID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Stop\n            $SuccessResults', '', 'Stop', 'SuccessResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Stop\n        $SuccessResults', '', 'Stop', 'SuccessResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [xml]$Event', '', 'xml', 'Event', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [xml]$_', '', 'xml', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' dir $RegPath', '', 'dir', 'RegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' dir $ServerRegPath', '', 'dir', 'ServerRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' epl $EventLogName', '', 'epl', 'EventLogName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Events', '', 'in', 'Events', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ServerNames', '', 'in', 'ServerNames', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Servers', '', 'in', 'Servers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $UserSID', '', 'in', 'UserSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $eventXML', '', 'in', 'eventXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' path\n    $SecurityRegPath', '', 'path', 'SecurityRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' qe $evtx', '', 'qe', 'evtx', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' string\n    $EventLogName', '', 'string', 'EventLogName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', ""Param($OutputFormat='yyyy-MM-dd HH:mm:ss fff')"", ""$OutputFormat='yyyy-MM-dd HH:mm:ss fff'"", '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n                $DefaultServerRegPath\n            )', '$DefaultServerRegPath\n            ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n                $ServerRegPath\n            )', '$ServerRegPath\n            ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n            $DefaultServerRegPath\n        )', '$DefaultServerRegPath\n        ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n            $ServerRegPath\n        )', '$ServerRegPath\n        ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n            $event\n        )', '$event\n        ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$EventLogName,\n        [string]$EventType,\n        [string]$EventRecordID\n    )', '[string]$EventLogName,\n        [string]$EventType,\n        [string]$EventRecordID\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$EventLogName,\n        [string]$EventType,\n        [string]$IpAddress\n    )', '[string]$EventLogName,\n        [string]$EventType,\n        [string]$IpAddress\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$EventLogType,\n        [string]$MaxSize     \n    )', '[string]$EventLogType,\n        [string]$MaxSize     \n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$RegPathName,\n        [string]$RegPathValue\n    )', '[string]$RegPathName,\n        [string]$RegPathValue\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$RegPathName\n    )', '[string]$RegPathName\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$fDenyTSConnections\n    )', '[string]$fDenyTSConnections\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.File\n    $EventLogPath', '', '.File', 'EventLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Content $RdpDefault', '', 'Content', 'RdpDefault', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'EventLogPath$EventLogName', '', 'EventLogPath', 'EventLogName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'EventLogPath$EventType', '', 'EventLogPath', 'EventType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'InputObject $Event', '', 'InputObject', 'Event', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $EventLogPath', '', 'Item', 'EventLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $RdpDefault', '', 'Item', 'RdpDefault', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $TempLogPath', '', 'Item', 'TempLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Item $evtx', '', 'Item', 'evtx', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Name $eventXML', '', 'Name', 'eventXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Name $j', '', 'Name', 'j', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PID $EventlogSvchostPID', '', 'PID', 'EventlogSvchostPID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $DefaultServerRegPath', '', 'Path', 'DefaultServerRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $EventLogRegPath', '', 'Path', 'EventLogRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $RegPath', '', 'Path', 'RegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $SecurityRegPath', '', 'Path', 'SecurityRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $ServerRegPath', '', 'Path', 'ServerRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $TSConnectionRegPath', '', 'Path', 'TSConnectionRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $datas', '', 'Property', 'datas', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RegPath$Server', '', 'RegPath', 'Server', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UsernameHint\n                    $CertHash', '', 'UsernameHint', 'CertHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UsernameHint\n                $CertHash', '', 'UsernameHint', 'CertHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $Event', '', 'Value', 'Event', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $eventXML', '', 'Value', 'eventXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[DateTime]$_', '', 'DateTime', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                GetDefaultServers $SIDefaultRegPath', '', 'GetDefaultServers', 'SIDefaultRegPath', '', '', '', '', '', '', '', '')"
