"('9stt.', '', '')"
"('ACTIVEDS.', '', '')"
"('ADVAPI32.', '', '')"
"('CLRVersion.', '', '')"
"('CRYPT32.', '', '')"
"('Collections.', '', '')"
"('Data.', '', '')"
"('Default.', '', '')"
"('Et.', '', '')"
"('Eu.', '', '')"
"('Event.', '', '')"
"('EventData.', '', '')"
"('EventLogName.', '', '')"
"('EventXML.', '', '')"
"('GDI32.', '', '')"
"('KERNEL32.', '', '')"
"('LogParser.', '', '')"
"('MFC42u.', '', '')"
"('MSIMG32.', '', '')"
"('Microsoft.', '', '')"
"('NETAPI32.', '', '')"
"('New.', '', '')"
"('ODBC32.', '', '')"
"('OLEAUT32.', '', '')"
"('Old.', '', '')"
"('PE.', '', '')"
"('PM.', '', '')"
"('Pj.', '', '')"
"('RDPLoginFail.', '', '')"
"('RMP.', '', '')"
"('S.', '', '')"
"('Security.', '', '')"
"('SecurityFileRegValueFileName.', '', '')"
"('ServerNames.', '', '')"
"('System.', '', '')"
"('TimeCreated.', '', '')"
"('USER32.', '', '')"
"('UserData.', '', '')"
"('VEPM.', '', '')"
"('VERSION.', '', '')"
"('WININET.', '', '')"
"('WNt.', '', '')"
"('WV.', '', '')"
"('YuVYuLYuBYu8Yu.', '', '')"
"('ZMTXMD2.', '', '')"
"('comdlg32.', '', '')"
"('data.', '', '')"
"('f.', '', '')"
"('g.', '', '')"
"('j.', '', '')"
"('l.', '', '')"
"('microsoft.', '', '')"
"('msvcrt.', '', '')"
"('ocsp.', '', '')"
"('ole32.', '', '')"
"('pwd.', '', '')"
"('results.', '', '')"
"('ret.', '', '')"
"('root.', '', '')"
"('t.', '', '')"
"('u.', '', '')"
"('verisign.', '', '')"
"('www.', '', '')"
"('xmlEvent.', '', '')"
