"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('http://', 'ht', '', '/en-us/library/a442x3ye', '/', 'en-us/library/a442x3ye')"
"('http://', 'ht', '', '/fwlink/p/?LinkId=255141', '/', 'fwlink/p/?LinkId=255141')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/PowerShellMafia/PowerSploit/blob/master/Exfiltration/Get-VaultCredential.ps1', '/', 'PowerShellMafia/PowerSploit/blob/master/Exfiltration/Get-VaultCredential.ps1')"
"('https://', 'ht', 's', '/cgi-bin/xlogin', '/', 'cgi-bin/xlogin')"
"('https://', 'ht', 's', '/djhohnstein/SharpWeb/raw/master/Edge/SharpEdge.cs', '/', 'djhohnstein/SharpWeb/raw/master/Edge/SharpEdge.cs')"
"('https://', 'ht', 's', '/dvsekhvalnov/jose-jwt', '/', 'dvsekhvalnov/jose-jwt')"
"('https://', 'ht', 's', '/john', '/', 'john')"
"('https://', 'ht', 's', '/join', '/', 'join')"
"('https://', 'ht', 's', '/login', '/', 'login')"
"('https://', 'ht', 's', '/session', '/', 'session')"
"('https://', 'ht', 's', '/sign', '/', 'sign')"
"('https://', 'ht', 's', '/svn/trunk/C%23SQLite/src/Delagates.cs', '/', 'svn/trunk/C%23SQLite/src/Delagates.cs')"
"('https://', 'ht', 's', '/svn/trunk/C%23SQLite/src/opcodes_c.cs', '/', 'svn/trunk/C%23SQLite/src/opcodes_c.cs')"
"('https://', 'ht', 's', '/svn/trunk/C%23SQLite/src/parse_h.cs', '/', 'svn/trunk/C%23SQLite/src/parse_h.cs')"
"('www.', '', '', '', '', '')"
