"(""SQLITE_AFF_REAL     'e'"", '//')"
"(""etSQLESCAPE  10 /* Strings with '\\'' doubled.  %q */"", '//')"
"(""etSQLESCAPE2 11 /* Strings with '\\'' doubled and enclosed in '',"", '//')"
"('', '//')"
"('AGGREGATE(zName, nArg, arg, nc, xStep, xFinal) \\', '//')"
"('BITVEC_TELEM     u8', '//')"
"('BTREE_DEFAULT_CACHE_SIZE  3', '//')"
"('BTREE_FILE_FORMAT         2', '//')"
"('BTREE_FREE_PAGE_COUNT     0', '//')"
"('BTREE_LARGEST_ROOT_PAGE   4', '//')"
"('BTREE_SCHEMA_VERSION      1', '//')"
"('BTREE_TEXT_ENCODING       5', '//')"
"('BTREE_USER_VERSION        6', '//')"
"('CHECK_FOR_INTERRUPT \\', '//')"
"('COLNAME_COLUMN   4', '//')"
"('COLNAME_DATABASE 2', '//')"
"('COLNAME_DECLTYPE 1', '//')"
"('COLNAME_NAME     0', '//')"
"('COLNAME_TABLE    3', '//')"
"('DB_SchemaLoaded    0x0001  /* The schema has been loaded */', '//')"
"('DB_UnresetViews    0x0002  /* Some views have defined column names */', '//')"
"('DbHasAnyProperty(D,I,P)  (((D)->aDb[I].pSchema->flags&(P))!=0)', '//')"
"('Deephemeralize(P) \\', '//')"
"('EP2_MallocedToken  0x0001  /* Need to', '//')"
"('EP_Agg        0x0002  /* Contains one or more aggregate functions */', '//')"
"('EP_AnyAff     0x0200  /* Can take a cached column of any affinity */', '//')"
"('EP_DblQuoted  0x0040  /* token.z was originally in ""..."" */', '//')"
"('EP_Distinct   0x0010  /* Aggregate function with DISTINCT keyword */', '//')"
"('EP_Error      0x0008  /* Expression contains one or more errors */', '//')"
"('EP_ExpCollate 0x0100  /* Collating sequence specified explicitly */', '//')"
"('EP_FixedDest  0x0400  /* Result needed in a specific register */', '//')"
"('EP_FromJoin   0x0001  /* Originated in ON or USING clause of a join */', '//')"
"('EP_InfixFunc  0x0080  /* True for an infix function: LIKE, GLOB, etc */', '//')"
"('EP_IntValue   0x0800  /* Integer value contained in u.iTable */', '//')"
"('EP_Reduced    0x2000  /* Expr struct is EXPR_REDUCEDSIZE bytes only */', '//')"
"('EP_Resolved   0x0004  /* IDs have been resolved to COLUMNs */', '//')"
"('EP_TokenOnly  0x4000  /* Expr struct is EXPR_TOKENONLYSIZE bytes only */', '//')"
"('EP_VarSelect  0x0020  /* pSelect is correlated, not constant */', '//')"
"('EP_xIsSelect  0x1000  /* x.pSelect is valid (otherwise x.pList is) */', '//')"
"('EXPR_FULLSIZE           sizeof(Expr)           /* Full size */', '//')"
"('EXPR_REDUCEDSIZE        offsetof(Expr,iTable)  /* Common features */', '//')"
"('EXPR_TOKENONLYSIZE      offsetof(Expr,pLeft)   /* Fewer features */', '//')"
"('FUNCTION(zName, nArg, iArg, bNC, xFunc) \\', '//')"
"('GLOBAL(t,v) (*(t*)sqlite3_wsd_find((void*)&(v), sizeof(v)))', '//')"
"('GLOBAL(t,v) v', '//')"
"('GetTempPathA(a,b)', '//')"
"('IN_INDEX_INDEX           3', '//')"
"('LARGEST_INT64  (0xffffffff|(((i64)0x7fffffff)<<32))', '//')"
"('LIKEFUNC(zName, nArg, arg, flags) \\', '//')"
"('LockFile(a,b,c,d,e)       winceLockFile(&a, b, c, d, e)', '//')"
"('LockFileEx(a,b,c,d,e,f)   winceLockFileEx(&a, b, c, d, e, f)', '//')"
"('MEM_Agg       0x2000   /* Mem.z points to an agg function context */', '//')"
"('MEM_Blob      0x0010   /* Value is a BLOB */', '//')"
"('MEM_Dyn       0x0400   /* Need to call sqliteFree() on Mem.z */', '//')"
