"('1970', '01', '01')"
"('2000', '01', '01')"
"('2006', '02', '16')"
"('2006', '10', '31')"
"('2007', '01', '16')"
"('2007', '06', '25')"
"('2007', '08', '30')"
"('2008', '04', '14')"
"('2008', '08', '01')"
"('2008', '09', '02')"
"('2008', '10', '07')"
"('2008', '10', '12')"
"('2008', '10', '28')"
"('2008', '12', '05')"
"('2008', '12', '10')"
"('2009', '01', '10')"
"('2009', '01', '19')"
"('2009', '01', '20')"
"('2009', '02', '05')"
"('2009', '02', '24')"
"('2009', '03', '23')"
"('2009', '04', '01')"
"('2009', '04', '07')"
"('2009', '04', '16')"
"('2009', '04', '28')"
"('2009', '05', '02')"
"('2009', '05', '03')"
"('2009', '05', '04')"
"('2009', '05', '09')"
"('2009', '05', '22')"
"('2009', '05', '31')"
"('2009', '06', '03')"
"('2009', '06', '15')"
"('2009', '06', '17')"
"('2009', '06', '19')"
"('2009', '06', '23')"
"('2009', '06', '25')"
"('2009', '07', '02')"
"('2009', '07', '03')"
"('2009', '07', '06')"
"('2009', '07', '15')"
"('2009', '07', '16')"
"('2009', '07', '17')"
"('2009', '07', '20')"
"('2009', '07', '22')"
"('2009', '07', '24')"
"('2009', '07', '25')"
"('2009', '07', '27')"
"('2009', '07', '28')"
"('2009', '07', '31')"
"('2009', '08', '01')"
"('2009', '08', '04')"
"('2009', '08', '05')"
"('2009', '08', '06')"
"('2009', '08', '07')"
"('2009', '08', '08')"
"('2009', '08', '10')"
