"('', '', '', '', '', '', ' System.Diagnostics.ProcessStartInfo\n            $pinfo', '', 'System.Diagnostics.ProcessStartInfo', 'pinfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Diagnostics.ProcessStartInfo\n    $pinfo', '', 'System.Diagnostics.ProcessStartInfo', 'pinfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Diagnostics.Process\n            $p', '', 'System.Diagnostics.Process', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Diagnostics.Process\n    $p', '', 'System.Diagnostics.Process', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' X509Enrollment.CAlternativeName\n    $IAN', '', 'X509Enrollment.CAlternativeName', 'IAN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' X509Enrollment.CAlternativeNames\n    $IAN', '', 'X509Enrollment.CAlternativeNames', 'IAN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' X509Enrollment.CX509Enrollment\n    $Request', '', 'X509Enrollment.CX509Enrollment', 'Request', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' X509Enrollment.CX509ExtensionAlternativeNames\n    $IANs', '', 'X509Enrollment.CX509ExtensionAlternativeNames', 'IANs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' called $global', '', 'called', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $CACerts', '', 'in', 'CACerts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $EnterpriseCA', '', 'in', 'EnterpriseCA', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Properties', '', 'in', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $RefCerts', '', 'in', 'RefCerts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Templates', '', 'in', 'Templates', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TemplatesACL', '', 'in', 'TemplatesACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $VSC', '', 'in', 'VSC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $global', '', 'in', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' template $TemplateName', '', 'template', 'TemplateName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory = $false)', '[Parameter(Mandatory = $false', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory = $true)', '[Parameter(Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Mandatory = $true, ValueFromPipeline=$true)', '[Parameter(Mandatory = $true, ValueFromPipeline=$true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, Mandatory = $false, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True)', '[Parameter(Position = 0, Mandatory = $false, ValueFromPipeline = $True, ValueFromPipelineByPropertyName = $True', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [Parameter(Position = 0, Mandatory = $true)', '[Parameter(Position = 0, Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Name    \n$DomainName', '', '.Name', 'DomainName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CA.cacertificate.Count\n            $CA', '', 'CA.cacertificate.Count', 'CA', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Clear $p', '', 'Clear', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DomainName\n    $EnterpriseCA', '', 'DomainName', 'EnterpriseCA', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DomainName\n    $RootCA', '', 'DomainName', 'RootCA', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DomainName\n\n$SearcherArguments', '', 'DomainName', 'SearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Flag $Value', '', 'Flag', 'Value', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Force\n            $Global', '', 'Force', 'Global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $Identity', '', 'Identity', 'Identity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $Name', '', 'Identity', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Name $Name', '', 'Name', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Name $TemplateName', '', 'Name', 'TemplateName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Ntauthstore.cacertificate.Count\n        $NTAuthStore', '', 'Ntauthstore.cacertificate.Count', 'NTAuthStore', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n            $p', '', 'Null', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n    $p', '', 'Null', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object $keyusage', '', 'Object', 'keyusage', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Properties $Global', '', 'Properties', 'Global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Properties $Properties', '', 'Properties', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Raw\n        $entry', '', 'Raw', 'entry', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n\n$RefOidDCAuthTemplate', '', 'SearcherArguments', 'RefOidDCAuthTemplate', '', '', '', '', '', '', '', '')"
