"('66890766-758a6a00-efe7-11e9-845a-4c38616b9e09.', '', '-4c38616b9e09')"
"('66890878-db76f180-efe7-11e9-8639-87ebe0826dba.', '', '-87ebe0826dba')"
"('66890940-16792500-efe8-11e9-818e-33314b60c72f.', '', '-33314b60c72f')"
"('66890953-20028d00-efe8-11e9-94ad-991d4da76d7f.', '', '-991d4da76d7f')"
"('66891292-07df3d80-efe9-11e9-8f51-d6e36af42b60.', '', '-d6e36af42b60')"
"('ADCSTEMPLATESETTINGS.', '', '')"
"('BitFlag.', '', '')"
"('CA.', '', '')"
"('Diagnostics.', '', '')"
"('Domain.', '', '')"
"('IAN.', '', '')"
"('IANs.', '', '')"
"('NTAuthStore.', '', '')"
"('Properties.', '', '')"
"('Request.', '', '')"
"('SAN.', '', '')"
"('SearcherArguments.', '', '')"
"('SecurityIdentifier.', '', '')"
"('StandardError.', '', '')"
"('StandardOutput.', '', '')"
"('X509Enrollment.', '', '')"
"('X509Extensions.', '', '')"
"('acl.', '', '')"
"('cacertificate.', '', '')"
"('entry.', '', '')"
"('github.', '', '')"
"('githubusercontent.', '', '-images')"
"('microsoft.', '', '')"
"('p.', '', '')"
"('pinfo.', '', '')"
"('pkiextendedkeyusage.', '', '')"
"('t.', '', '')"
"('template.', '', '')"
"('tpmvscmgr.', '', '')"
"('user.', '', '')"
"('v.', '', '')"
"('value.', '', '')"
