"('127', '0', '0', '1')"
"('1', '1', '1', '1')"
"('208', '67', '220', '220')"
"('8', '26', '56', '26')"
"('1', '0', '0', '1')"
"('8', '8', '4', '4')"
"('149', '112', '112', '112')"
"('9', '9', '9', '9')"
"('8', '20', '247', '20')"
"('8', '8', '8', '8')"
"('208', '67', '222', '222')"
"('127', '0', '0', '1')"
"('127', '0', '0', '1')"
"('0', '0', '0', '0')"
"('127', '0', '0', '1')"
"('127', '0', '0', '1')"
"('127', '0', '0', '1')"
"('0', '0', '0', '0')"
"('127', '0', '0', '1')"
"('192', '168', '0', '14')"
"('192', '168', '0', '0')"
"('172', '16', '0', '0')"
"('169', '254', '0', '0')"
"('127', '0', '0', '0')"
"('10', '0', '0', '0')"
"('8', '8', '8', '8')"
"('127', '0', '0', '1')"
"('239', '255', '255', '250')"
"('10', '0', '0', '1')"
"('127', '0', '0', '1')"
"('0', '0', '0', '0')"
