"('https://', 'ht', 's', '/fbartels', '/', 'fbartels')"
"('https://', 'ht', 's', '/El-JojA', '/', 'El-JojA')"
"('https://', 'ht', 's', '/warner/magic-wormhole', '/', 'warner/magic-wormhole')"
"('https://', 'ht', 's', '/skorokithakis', '/', 'skorokithakis')"
"('https://', 'ht', 's', '/software/croc6', '/', 'software/croc6')"
"('https://', 'ht', 's', '/tscholl2/dc7dc15dc132ea70a98e8542fefffa28', '/', 'tscholl2/dc7dc15dc132ea70a98e8542fefffa28')"
"('https://', 'ht', 's', '/6550035/46709024-9b23ad00-cbf6-11e8-9fb2-ca8b20b7dbec.jpg', '/', '6550035/46709024-9b23ad00-cbf6-11e8-9fb2-ca8b20b7dbec.jpg')"
"('https://', 'ht', 's', '/schollz/croc/releases/latest', '/', 'schollz/croc/releases/latest')"
"('https://', 'ht', 's', '/smileboywtu', '/', 'smileboywtu')"
"('https://', 'ht', 's', '/p/console-91', '/', 'p/console-91')"
"('https://', 'ht', 's', '/hreese', '/', 'hreese')"
"('https://', 'ht', 's', '/rkuprov', '/', 'rkuprov')"
"('https://', 'ht', 's', '/csleong98', '/', 'csleong98')"
"('https://', 'ht', 's', '/en-us/windows/package-manager', '/', 'en-us/windows/package-manager')"
"('https://', 'ht', 's', '/goggle', '/', 'goggle')"
"('https://', 'ht', 's', '/anatolyyyyyy', '/', 'anatolyyyyyy')"
"('https://', 'ht', 's', '/afotescu', '/', 'afotescu')"
"('https://', 'ht', 's', '/xenrox', '/', 'xenrox')"
"('https://', 'ht', 's', '/conda-forge/croc-feedstock', '/', 'conda-forge/croc-feedstock')"
"('https://', 'ht', 's', '/nicolashardy', '/', 'nicolashardy')"
"('https://', 'ht', 's', '/marcossegovia', '/', 'marcossegovia')"
"('https://', 'ht', 's', '/heymatthew', '/', 'heymatthew')"
"('https://', 'ht', 's', '/schollz/croc/actions/workflows/ci.yml/badge.svg', '/', 'schollz/croc/actions/workflows/ci.yml/badge.svg')"
"('https://', 'ht', 's', '/techtide', '/', 'techtide')"
"('https://', 'ht', 's', '/jesuiscamille', '/', 'jesuiscamille')"
"('https://', 'ht', 's', '/lummie', '/', 'lummie')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/meyermarcel', '/', 'meyermarcel')"
"('https://', 'ht', 's', '/badge/version-v10.2.1-brightgreen.svg?style=flat-square', '/', 'badge/version-v10.2.1-brightgreen.svg?style=flat-square')"
"('https://', 'ht', 's', '/en/packages/com.github.howeyc.crocgui', '/', 'en/packages/com.github.howeyc.crocgui')"
"('https://', 'ht', 's', '/projects/conda', '/', 'projects/conda')"
"('https://', 'ht', 's', '/dl', '/', 'dl')"
"('https://', 'ht', 's', '/tscholl2', '/', 'tscholl2')"
"('www.', 'ht', 's', '/posts/proxying-two-connections-go', '/', 'posts/proxying-two-connections-go')"
"('https://', 'ht', 's', '/maximbaz', '/', 'maximbaz')"
"('https://', 'ht', 's', '/lpar', '/', 'lpar')"
"('https://', 'ht', 's', '/vuln/detail/CVE-2023-43621', '/', 'vuln/detail/CVE-2023-43621')"
"('https://', 'ht', 's', '/threefjord', '/', 'threefjord')"
"('https://', 'ht', 's', '/callmefever', '/', 'callmefever')"
"('https://', 'ht', 's', '/Lunsford94', '/', 'Lunsford94')"
"('https://', 'ht', 's', '/warner', '/', 'warner')"
"('https://', 'ht', 's', '/sponsors/schollz', '/', 'sponsors/schollz')"
"('https://', 'ht', 's', '/Girbons', '/', 'Girbons')"
"('https://', 'ht', 's', '/schollz/croc/actions/workflows/ci.yml', '/', 'schollz/croc/actions/workflows/ci.yml')"
"('https://', 'ht', 's', '/nix', '/', 'nix')"
"('https://', 'ht', 's', '/wiki/Password-authenticated_key_agreement', '/', 'wiki/Password-authenticated_key_agreement')"
"('https://', 'ht', 's', '/software/croc', '/', 'software/croc')"
"('https://', 'ht', 's', '/software/croc', '/', 'software/croc')"
"('https://', 'ht', 's', '/schollz/croc/issues', '/', 'schollz/croc/issues')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/schollz/croc/releases/download', '/', 'schollz/croc/releases/download')"
"('https://', 'ht', 's', '/repos', '/', 'repos')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/schollz/croc', '/', 'schollz/croc')"
"('http://', 'ht', '', '/nistpubs/Legacy/SP/nistspecialpublication800-38d.pdf', '/', 'nistpubs/Legacy/SP/nistspecialpublication800-38d.pdf')"
"('https://', 'ht', 's', '/golang.org/x/crypto/argon2', '/', 'golang.org/x/crypto/argon2')"
"('www.', 'ht', '', '/rfc/rfc2898.txt', '/', 'rfc/rfc2898.txt')"
"('https://', 'ht', 's', '/golang.org/x/crypto/chacha20poly1305', '/', 'golang.org/x/crypto/chacha20poly1305')"
"('https://', 'ht', 's', '/questions/41240761/check-if-ip-address-is-in-private-network-space', '/', 'questions/41240761/check-if-ip-address-is-in-private-network-space')"
"('http://', 'ht', '', '', '', '')"
"('http://', 'ht', '', '/web/20101031205747/http://www.tothink.com/mnemonic', '/', 'web/20101031205747/http://www.tothink.com/mnemonic')"
"('https://', 'ht', 's', '/singpolyma/mnemonicode', '/', 'singpolyma/mnemonicode')"
"('http://', 'ht', '', '/web/20101031205747/http://www.tothink.com/mnemonic', '/', 'web/20101031205747/http://www.tothink.com/mnemonic')"
"('https://', 'ht', 's', '/singpolyma/mnemonicode', '/', 'singpolyma/mnemonicode')"
