"('croc-entrypoint.', '', '-entrypoint')"
"('shields.', '', '')"
"('customization.', '', '')"
"('example.', '', '')"
"('githubusercontent.', '', '-images')"
"('f-droid.', '', '-droid')"
"('46709024-9b23ad00-cbf6-11e8-9fb2-ca8b20b7dbec.', '', '-ca8b20b7dbec')"
"('wikipedia.', '', '')"
"('microsoft.', '', '')"
"('github.', '', '')"
"('1-brightgreen.', '', '-brightgreen')"
"('nixos.', '', '')"
"('nist.', '', '')"
"('conda.', '', '')"
"('badge.', '', '')"
"('howeyc.', '', '')"
"('ci.', '', '')"
"('brew.', '', '')"
"('substack.', '', '')"
"('scoop.', '', '')"
"('macports.', '', '')"
"('chocolatey.', '', '')"
"('schollz.', '', '')"
"('golang.', '', '')"
"('pixi.', '', '')"
"('stavros.', '', '')"
"('tar.', '', '')"
"('README.', '', '')"
"('zack.', '', '')"
"('bin.', '', '')"
"('schollz.', '', '')"
"('gmail.', '', '')"
"('main.', '', '')"
"('gopkg.', '', '')"
"('golang.', '', '')"
"('go.', '', '')"
"('github.', '', '')"
"('croc.', '', '')"
"('bigfile.', '', '')"
"('updateversion.', '', '')"
"('signal.', '', '')"
"('utils.', '', '')"
"('croc.', '', '')"
"('f.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('pprof.', '', '')"
"('syscall.', '', '')"
"('os.', '', '')"
"('cli.', '', '')"
"('runtime.', '', '')"
"('time.', '', '')"
"('github.', '', '')"
"('network.', '', '')"
"('multi-user.', '', '-user')"
"('gopkg.', '', '')"
"('golang.', '', '')"
"('github.', '', '')"
"('log.', '', '')"
"('path.', '', '')"
"('utils.', '', '')"
"('d.', '', '')"
"('f.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('schollz.', '', '')"
"('context.', '', '')"
"('os.', '', '')"
"('net.', '', '')"
"('r.', '', '')"
"('time.', '', '')"
"('log.', '', '')"
"('assert.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('bytes.', '', '')"
"('c2.', '', '')"
"('c1.', '', '')"
"('c.', '', '')"
"('time.', '', '')"
"('b.', '', '')"
"('s.', '', '')"
"('fmt.', '', '')"
"('time.', '', '')"
"('rooms.', '', '')"
"('server.', '', '')"
"('bytes.', '', '')"
"('conn1.', '', '')"
"('wg.', '', '')"
"('ip.', '', '')"
"('com2.', '', '')"
"('crypt.', '', '')"
"('conn2.', '', '')"
"('com1.', '', '')"
"('second.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('comm.', '', '')"
"('s.', '', '')"
"('log.', '', '')"
"('pake.', '', '')"
"('connection.', '', '')"
"('tcpIP.', '', '')"
"('c.', '', '')"
"('ticker.', '', '')"
"('sync.', '', '')"
"('first.', '', '')"
"('err.', '', '')"
"('A.', '', '')"
"('net.', '', '')"
"('errCommunication.', '', '')"
"('strings.', '', '')"
"('conn.', '', '')"
"('B.', '', '')"
"('time.', '', '')"
"('time.', '', '')"
"('assert.', '', '')"
"('croc.', '', '')"
"('tmpfile.', '', '')"
"('wg.', '', '')"
"('sender.', '', '')"
"('t.', '', '')"
"('file.', '', '')"
"('filepath.', '', '')"
"('doesntexistok.', '', '')"
"('README.', '', '')"
"('github.', '', '')"
"('log.', '', '')"
"('os.', '', '')"
"('runtime.', '', '')"
"('sync.', '', '')"
"('path.', '', '')"
"('receiver.', '', '')"
"('err.', '', '')"
"('strings.', '', '')"
"('tcp.', '', '')"
"('time.', '', '')"
"('info.', '', '')"
"('utils.', '', '')"
"('gitIgnore.', '', '')"
"('strconv.', '', '')"
"('wg.', '', '')"
"('senderInfo.', '', '')"
"('file.', '', '')"
"('filepath.', '', '')"
"('m.', '', '')"
"('fmt.', '', '')"
"('comm.', '', '')"
"('mutex.', '', '')"
"('errConn.', '', '')"
"('diskusage.', '', '')"
"('settings.', '', '')"
"('wd.', '', '')"
"('runtime.', '', '')"
"('fread.', '', '')"
"('golang.', '', '')"
"('net.', '', '')"
"('strings.', '', '')"
"('rand.', '', '')"
"('emptyFile.', '', '')"
"('Options.', '', '')"
"('crypt.', '', '')"
"('usage.', '', '')"
"('ignore.', '', '')"
"('flags.', '', '')"
"('CurrentFile.', '', '')"
"('bar.', '', '')"
"('cmd.', '', '')"
"('ipv4Net.', '', '')"
"('term.', '', '')"
"('spinner.', '', '')"
"('pake.', '', '')"
"('Stdout.', '', '')"
"('os.', '', '')"
"('c.', '', '')"
"('sync.', '', '')"
"('Pake.', '', '')"
"('A.', '', '')"
"('hex.', '', '')"
"('compress.', '', '')"
"('stat.', '', '')"
"('bytes.', '', '')"
"('fInfo.', '', '')"
"('qrcode.', '', '')"
"('rate.', '', '')"
"('fi.', '', '')"
"('message.', '', '')"
"('dataMessage.', '', '')"
"('err.', '', '')"
"('f.', '', '')"
"('recipientFileInfo.', '', '')"
"('conn.', '', '')"
"('B.', '', '')"
"('tcp.', '', '')"
"('wgDiscovery.', '', '')"
"('peerdiscovery.', '', '')"
"('progressbar.', '', '')"
"('math.', '', '')"
"('r.', '', '')"
"('io.', '', '')"
"('limiter.', '', '')"
"('machineid.', '', '')"
"('github.', '', '')"
"('qrCode.', '', '')"
"('gitObj.', '', '')"
"('remoteFile.', '', '')"
"('fileInfo.', '', '')"
"('log.', '', '')"
"('exec.', '', '')"
"('Mode.', '', '')"
"('path.', '', '')"
"('dmux.', '', '')"
"('json.', '', '')"
"('binary.', '', '')"
"('time.', '', '')"
"('schollz.', '', '')"
"('tar.', '', '')"
"('github.', '', '')"
"('default.', '', '')"
"('exec.', '', '')"
"('README.', '', '')"
"('default.', '', '')"
"('fmt.', '', '')"
"('os.', '', '')"
"('strings.', '', '')"
"('cli.', '', '')"
"('upload-src-tarball.', '', '-tarball')"
"('updateversion.', '', '')"
"('prepare-sources-tarball.', '', '-tarball')"
"('cli.', '', '')"
"('github.', '', '')"
"('tar.', '', '')"
"('github.', '', '')"
"('tar.', '', '')"
"('log.', '', '')"
"('m.', '', '')"
"('compress.', '', '')"
"('github.', '', '')"
"('c.', '', '')"
"('comm.', '', '')"
"('crypt.', '', '')"
"('json.', '', '')"
"('log.', '', '')"
"('assert.', '', '')"
"('m.', '', '')"
"('server.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('connection.', '', '')"
"('net.', '', '')"
"('c.', '', '')"
"('rand.', '', '')"
"('comm.', '', '')"
"('crypt.', '', '')"
"('time.', '', '')"
"('log.', '', '')"
"('cipher.', '', '')"
"('ietf.', '', '')"
"('chacha20poly1305.', '', '')"
"('argon2.', '', '')"
"('sha256.', '', '')"
"('fmt.', '', '')"
"('aes.', '', '')"
"('nistspecialpublication800-38d.', '', '-38d')"
"('go.', '', '')"
"('golang.', '', '')"
"('aesgcm.', '', '')"
"('rand.', '', '')"
"('nist.', '', '')"
"('aead.', '', '')"
"('pbkdf2.', '', '')"
"('rfc2898.', '', '')"
"('assert.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('b.', '', '')"
"('t.', '', '')"
"('hi.', '', '')"
"('assert.', '', '')"
"('test.', '', '')"
"('log.', '', '')"
"('path.', '', '')"
"('err.', '', '')"
"('f.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('bytes.', '', '')"
"('missing.', '', '')"
"('tmpfile.', '', '')"
"('os.', '', '')"
"('strings.', '', '')"
"('rand.', '', '')"
"('bigfile.', '', '')"
"('b.', '', '')"
"('info.', '', '')"
"('icanhazip.', '', '')"
"('hex.', '', '')"
"('h.', '', '')"
"('imofull.', '', '')"
"('imopartial.', '', '')"
"('sha256.', '', '')"
"('croc-marked-files.', '', '-files')"
"('stat.', '', '')"
"('progressbar.', '', '')"
"('bytes.', '', '')"
"('flate.', '', '')"
"('math.', '', '')"
"('ip.', '', '')"
"('io.', '', '')"
