"('2606:4700:4700::', '', '', ':', '', '1001', '', '1001', '', '', '', '')"
"('2620:119:35::', '', '', ':', '', '35', '', '35', '', '', '', '')"
"('2620:fe::fe:', '', '', '', '', '9', '', '9', '', '', '', '')"
"('2001:4860:4860::', '', '', ':', '', '8888', '', '8888', '', '', '', '')"
"('2620:119:53::', '', '', ':', '', '53', '', '53', '', '', '', '')"
"('2606:4700:4700::', '', '', ':', '', '1111', '', '1111', '', '', '', '')"
"('2001:4860:4860::', '', '', ':', '', '8844', '', '8844', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
"('2620:fe::', '', '', ':', '', 'fe', '', 'fe', '', '', '', '')"
"('fc00::', '', '', ':', '', '', '', '', '', '', '', '')"
"('fe80::', '', '', ':', '', '', '', '', '', '', '', '')"
"('::', '::', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', 'e', '', 'e', '', '', '', '')"
"('', '', '', '', '', 'F', '', 'F', '', '', '', '')"
"('1:', '', '', '', '', '9009', '', '9009', '', '', '', '')"
"('', '', '', '', '', 'f', '', 'f', '', '', '', '')"
"('::', '::', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', 'a', '', 'a', '', '', '', '')"
"('', '', '', '', '', 'de', '', 'de', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', 'c', '', 'c', '', '', '', '')"
"('', '', '', '', '', '10', '', '10', '', '', '', '')"
