FileName,MD5,SHA1,file_hash_sha256
e0039791297211beec33da0aa7507643_croc_v10.2.1_checksums.txt,e0039791297211beec33da0aa7507643,fa18d96cfd187c83d2831fc1c08aef3846bfc0d6,131741718504fc333fc5b85ab7a1e7b8b98221d8480f952134003ec5a162b728
46d2a7bbc4035279e3bc3d3f0bc96881_croc_v10.2.1_DragonFlyBSD-64bit.tar.gz,46d2a7bbc4035279e3bc3d3f0bc96881,e285755382a6d6bef5fc2cee4ee61d16b7afcd86,fe38147743b83a8d6de300d7fc5d7eeb6478cb6de6587de05e6db2ba9e4d5af7
f530118e66f9eb8380257d9172e24dfd_croc_v10.2.1_FreeBSD-64bit.tar.gz,f530118e66f9eb8380257d9172e24dfd,90936d72bf3158212b642c6b32ae4fd7791d217f,7d5975b4ed5d6f2016b617c08b6e00cab52db4f90dc04cd5e724ce02fb334618
03b8aa15ff2e07475a4d814fdcf7cbc6_croc_v10.2.1_FreeBSD-ARM64.tar.gz,03b8aa15ff2e07475a4d814fdcf7cbc6,c5631c51cdde0d008838e86acfd28217b531b5ba,796c2baabb9126ec5f2a3006803bd5e3aae3084f1d5578de312d0f7035094a2b
33cf5b06140604d76050907a1f3b83a4_croc_v10.2.1_Linux-32bit.tar.gz,33cf5b06140604d76050907a1f3b83a4,87e8c904da6aac58c70310725544d6ae0804941a,13715a317d2d54c63f13951e7542a9d1809c8c2f9932a207cabeb26814f6817d
52a107428ca5d3b98d8eaec867670ee7_croc_v10.2.1_Linux-64bit.tar.gz,52a107428ca5d3b98d8eaec867670ee7,3491f8f834e27fa1f859e14d29e2894f9dd71439,ebc18f1f5581d5c5da72bf1c847ec97c2a32156858de8fffb9e6d5b0bb96c195
195f724c7ecaf8a1cefaaa18ebd5b585_croc_v10.2.1_Linux-ARM.tar.gz,195f724c7ecaf8a1cefaaa18ebd5b585,04d6185f3f205cd05bd3f105a29c5303b980dcdd,0520c7e5daa571c831e5816bb1a65a558ebff4ce2e5f26b2a16efbe8c107d654
a5061d0b15ca050037b222cf053118b2_croc_v10.2.1_Linux-ARM64.tar.gz,a5061d0b15ca050037b222cf053118b2,f181d2bb344246227c1982773a3e9533055dde74,cba6ba250d94853df4e8074831cf8f7db13d559623b368291a91f29501888edd
39d9d7133482b3ad4d7cd001409bb8fe_croc_v10.2.1_Linux-ARMv5.tar.gz,39d9d7133482b3ad4d7cd001409bb8fe,19dd389f4d1f5be26146e10c80d6b5b4bbb2de15,dd13203ab3267c855d002587f7be0509403d9d199f3b8f1f482b275189bc203d
e34c128760d5a021990bd63297d5fefc_croc_v10.2.1_macOS-64bit.tar.gz,e34c128760d5a021990bd63297d5fefc,2bbf9641a204bf1cf050a3d9058e655adbfd25af,33e25c7c66bf6996e75bda20c9640cc175fcb18b9891f2ecc73201e0d4f74748
efb3dbb446538a0687cbc1e9ba3772b3_croc_v10.2.1_macOS-ARM64.tar.gz,efb3dbb446538a0687cbc1e9ba3772b3,3eb8729719d03ca883085d5c84b05573916cdf2f,8014a77fd36652a4d7bea8fcc66f9fb474093bb5a058ac7d7d0ee5b9ad2930de
