"('http://', 'ht', '', '/2019', '/', '2019')"
"('http://', 'ht', '', '/Outlook.exe', '/', 'Outlook.exe')"
"('http://', 'ht', '', '/VisualStudio/2004/01/settings', '/', 'VisualStudio/2004/01/settings')"
"('http://', 'ht', '', '/developer/msbuild/2003', '/', 'developer/msbuild/2003')"
"('http://', 'ht', '', '/expression/blend/2008', '/', 'expression/blend/2008')"
"('http://', 'ht', '', '/markup-compatibility/2006', '/', 'markup-compatibility/2006')"
"('http://', 'ht', '', '/winfx/2006/xaml', '/', 'winfx/2006/xaml')"
"('http://', 'ht', '', '/winfx/2006/xaml/presentation', '/', 'winfx/2006/xaml/presentation')"
"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/anthemtotheego/InlineExecute-Assembly', '/', 'anthemtotheego/InlineExecute-Assembly')"
"('https://', 'ht', 's', '/create-account.php', '/', 'create-account.php')"
"('https://', 'ht', 's', '/en/video-editor', '/', 'en/video-editor')"
"('https://', 'ht', 's', '/help/base/keys.html', '/', 'help/base/keys.html')"
"('https://', 'ht', 's', '/mlcsec/FormThief/assets/47215311/12bcd4d4-890e-4670-850a-57d6b13475cb', '/', 'mlcsec/FormThief/assets/47215311/12bcd4d4-890e-4670-850a-57d6b13475cb')"
"('https://', 'ht', 's', '/mlcsec/FormThief/assets/47215311/2ef4e9dc-785b-459f-b530-65801f6e0a22', '/', 'mlcsec/FormThief/assets/47215311/2ef4e9dc-785b-459f-b530-65801f6e0a22')"
"('https://', 'ht', 's', '/mlcsec/FormThief/assets/47215311/30dbc073-23b5-48bd-bb79-2fa60fad20be', '/', 'mlcsec/FormThief/assets/47215311/30dbc073-23b5-48bd-bb79-2fa60fad20be')"
"('https://', 'ht', 's', '/mlcsec/FormThief/assets/47215311/77acf1c6-50c6-4579-9bbc-51cb6f551ce5', '/', 'mlcsec/FormThief/assets/47215311/77acf1c6-50c6-4579-9bbc-51cb6f551ce5')"
"('https://', 'ht', 's', '/mlcsec/FormThief/assets/47215311/79166ad8-973b-40cd-8882-1b646bba88f7', '/', 'mlcsec/FormThief/assets/47215311/79166ad8-973b-40cd-8882-1b646bba88f7')"
"('https://', 'ht', 's', '/mlcsec/FormThief/assets/47215311/d4f92662-ca56-4afb-afd3-9e5ca5dbd721', '/', 'mlcsec/FormThief/assets/47215311/d4f92662-ca56-4afb-afd3-9e5ca5dbd721')"
"('https://', 'ht', 's', '/mlcsec/proctools', '/', 'mlcsec/proctools')"
"('https://', 'ht', 's', '/williamknows/BOF.NET', '/', 'williamknows/BOF.NET')"
"('www.', 'ht', '', '/2001/XMLSchema', '/', '2001/XMLSchema')"
"('www.', 'ht', '', '/2001/XMLSchema-instance', '/', '2001/XMLSchema-instance')"
"('www.', 'ht', '', '/XML/1998/namespace', '/', 'XML/1998/namespace')"
"('www.', 'ht', '', '/x264.html', '/', 'x264.html')"
