"('0-6W.', '', '-6W')"
"('0.', '', '')"
"('00.', '', '')"
"('02x.', '', '')"
"('0A.', '', '')"
"('0B.', '', '')"
"('0Ci.', '', '')"
"('0D.', '', '')"
"('0DxW.', '', '')"
"('0Ht6.', '', '')"
"('0I.', '', '')"
"('0M.', '', '')"
"('0O.', '', '')"
"('0P.', '', '')"
"('0T6.', '', '')"
"('0TX.', '', '')"
"('0U.', '', '')"
"('0V.', '', '')"
"('0W.', '', '')"
"('0WZ.', '', '')"
"('0Y.', '', '')"
"('0Z.', '', '')"
"('0ah.', '', '')"
"('0bUAEOH.', '', '')"
"('0bZT.', '', '')"
"('0d6.', '', '')"
"('0e.', '', '')"
"('0f.', '', '')"
"('0h.', '', '')"
"('0j.', '', '')"
"('0j6U.', '', '')"
"('0k.', '', '')"
"('0ktH.', '', '')"
"('0lG.', '', '')"
"('0m.', '', '')"
"('0n.', '', '')"
"('0nTW.', '', '')"
"('0oo.', '', '')"
"('0p.', '', '')"
"('0u.', '', '')"
"('0yE.', '', '')"
"('1.', '', '')"
"('10TG.', '', '')"
"('14b.', '', '')"
"('15.', '', '')"
"('16Z.', '', '')"
"('16o.', '', '')"
"('17B.', '', '')"
"('18.', '', '')"
"('19w.', '', '')"
"('1D.', '', '')"
"('1E.', '', '')"
"('1K.', '', '')"
"('1S.', '', '')"
"('1Y.', '', '')"
"('1b.', '', '')"
"('1c.', '', '')"
"('1i.', '', '')"
"('1l.', '', '')"
"('1mm.', '', '')"
"('1mx.', '', '')"
"('1no.', '', '')"
"('1r.', '', '')"
"('1tj.', '', '')"
"('1x.', '', '')"
"('2.', '', '')"
"('24.', '', '')"
"('27.', '', '')"
"('2A.', '', '')"
"('2A4S.', '', '')"
"('2B.', '', '')"
"('2D.', '', '')"
"('2G.', '', '')"
"('2J.', '', '')"
"('2T.', '', '')"
"('2c1Q.', '', '')"
"('2deY.', '', '')"
"('2hs.', '', '')"
"('2j.', '', '')"
"('2n.', '', '')"
"('2u.', '', '')"
"('2xEMOK.', '', '')"
"('2z8v.', '', '')"
"('3-i.', '', '-i')"
"('3.', '', '')"
"('31H.', '', '')"
"('34.', '', '')"
"('36.', '', '')"
"('3H.', '', '')"
"('3NbcD.', '', '')"
"('3Wso.', '', '')"
"('3Z.', '', '')"
