"('', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '0', '', '0', '', '', '', '')"
"('', '', '', '', '', '00', '', '00', '', '', '', '')"
"('', '', '', '', '', '01', '', '01', '', '', '', '')"
"('', '', '', '', '', '02', '', '02', '', '', '', '')"
"('', '', '', '', '', '04', '', '04', '', '', '', '')"
"('', '', '', '', '', '05', '', '05', '', '', '', '')"
"('', '', '', '', '', '058', '', '058', '', '', '', '')"
"('', '', '', '', '', '06', '', '06', '', '', '', '')"
"('', '', '', '', '', '08', '', '08', '', '', '', '')"
"('', '', '', '', '', '0A', '', '0A', '', '', '', '')"
"('', '', '', '', '', '0B', '', '0B', '', '', '', '')"
"('', '', '', '', '', '0C', '', '0C', '', '', '', '')"
"('', '', '', '', '', '0C8', '', '0C8', '', '', '', '')"
"('', '', '', '', '', '0Cd', '', '0Cd', '', '', '', '')"
"('', '', '', '', '', '0D', '', '0D', '', '', '', '')"
"('', '', '', '', '', '0F', '', '0F', '', '', '', '')"
"('', '', '', '', '', '0F0', '', '0F0', '', '', '', '')"
"('', '', '', '', '', '0a', '', '0a', '', '', '', '')"
"('', '', '', '', '', '0b', '', '0b', '', '', '', '')"
"('', '', '', '', '', '0c', '', '0c', '', '', '', '')"
"('', '', '', '', '', '0d', '', '0d', '', '', '', '')"
"('', '', '', '', '', '0e', '', '0e', '', '', '', '')"
"('', '', '', '', '', '0eF', '', '0eF', '', '', '', '')"
"('', '', '', '', '', '0f', '', '0f', '', '', '', '')"
"('', '', '', '', '', '0f16', '', '0f16', '', '', '', '')"
"('', '', '', '', '', '1', '', '1', '', '', '', '')"
"('', '', '', '', '', '11', '', '11', '', '', '', '')"
"('', '', '', '', '', '13', '', '13', '', '', '', '')"
"('', '', '', '', '', '14', '', '14', '', '', '', '')"
"('', '', '', '', '', '15', '', '15', '', '', '', '')"
"('', '', '', '', '', '16', '', '16', '', '', '', '')"
"('', '', '', '', '', '17', '', '17', '', '', '', '')"
"('', '', '', '', '', '18', '', '18', '', '', '', '')"
"('', '', '', '', '', '1A', '', '1A', '', '', '', '')"
"('', '', '', '', '', '1A9', '', '1A9', '', '', '', '')"
