"('1.', '', '')"
"('4.', '', '')"
"('6.', '', '')"
"('ADODB.', '', '')"
"('Action.', '', '')"
"('Actions.', '', '')"
"('Asec.', '', '')"
"('Err.', '', '')"
"('Msxml2.', '', '')"
"('Schedule.', '', '')"
"('SubobjSWbemServices.', '', '')"
"('WMIHACKER.', '', '')"
"('WScript.', '', '')"
"('WbemScripting.', '', '')"
"('Wscript.', '', '')"
"('apache.', '', '')"
"('appdata.', '', '')"
"('asec.', '', '')"
"('asecpath.', '', '')"
"('bStream.', '', '')"
"('blackhat.', '', '')"
"('calc.', '', '')"
"('cmd.', '', '')"
"('evtflt.', '', '')"
"('fcbnd.', '', '')"
"('fltpath.', '', '')"
"('fs.', '', '')"
"('github.', '', '')"
"('logo.', '', '')"
"('oCtx.', '', '')"
"('oInParams.', '', '')"
"('oOutParams.', '', '')"
"('objArgs.', '', '')"
"('objItem.', '', '')"
"('objLocator.', '', '')"
"('objNet.', '', '')"
"('objNewJob.', '', '')"
"('objRegistry.', '', '')"
"('objWMIService.', '', '')"
"('regInfo.', '', '')"
"('regWMIService.', '', '')"
"('rootFolder.', '', '')"
"('scripting.', '', '')"
"('service.', '', '')"
"('settings.', '', '')"
"('star-history.', '', '-history')"
"('stdin.', '', '')"
"('stdout.', '', '')"
"('taskDefinition.', '', '')"
"('triggers.', '', '')"
"('ts.', '', '')"
"('wbemscripting.', '', '')"
"('ws.', '', '')"
"('wscript.', '', '')"
