"('0', '0', '0', '0')"
"('0', '0', '0', '019')"
"('0', '26', '00', '26')"
"('1', '0', '0', '0')"
"('1', '1', '0', '0')"
"('1', '1', '1', '1')"
"('1', '1', '2', '1')"
"('1', '1', '3', '1')"
"('1', '2', '1', '1')"
"('1', '2', '2', '1')"
"('1', '2', '3', '1')"
"('1', '2', '5', '1')"
"('1', '2', '7', '1')"
"('1', '2', '9', '1')"
"('1', '3', '6', '1')"
"('1', '4', '1', '1')"
"('1', '4', '10', '1')"
"('1', '4', '11', '1')"
"('1', '4', '12', '1')"
"('1', '4', '13', '1')"
"('1', '4', '14', '1')"
"('1', '4', '14', '2')"
"('1', '4', '3', '1')"
"('1', '4', '4', '1')"
"('1', '4', '6', '1')"
"('1', '4', '7', '1')"
"('1', '4', '8', '1')"
"('1', '4', '9', '1')"
"('10', '1', '1', '10')"
"('104', '251', '228', '50')"
"('11', '0', '0', '0')"
"('11', '10', '3', '3')"
"('11', '10', '3', '32')"
"('11', '3', '6', '1')"
"('114', '114', '114', '114')"
"('12', '0', '0', '0')"
"('127', '0', '0', '1')"
"('127', '0', '0', '124')"
"('15', '0', '0', '0')"
"('16', '0', '0', '0')"
"('16', '4', '0', '0')"
"('192', '168', '0', '100')"
"('192', '168', '1', '0')"
"('192', '168', '1', '1')"
"('192', '168', '1', '227')"
"('192', '168', '1', '8')"
"('2', '0', '0', '0')"
"('2', '5', '4', '3')"
"('252', '5', '4', '32')"
"('3', '0', '0', '0')"
"('34', '3', '3', '2')"
"('4', '0', '0', '0')"
"('4', '62', '5', '4')"
"('5', '4', '112', '5')"
"('5', '4', '52', '5')"
"('5', '5', '7', '3')"
"('6', '0', '0', '0')"
"('7', '0', '0', '0')"
"('7', '5', '0', '0')"
"('72', '5', '4', '102')"
"('72', '5', '4', '82')"
"('8', '8', '8', '8')"
