"('  <application xmlns=""urn:schemas-microsoft-com:asm.v3"">\n', '\n')"
"('  <dependency>\n', '\n')"
"('A list of the Windows versions that this application has been tested on\n', '\n')"
"('Enable themes for Windows common controls and dialogs (Windows XP and later) -->\n', '\n')"
"('Indicates that the application is DPI-aware and will not be automatically scaled by Windows at higher\n', '\n')"
"('Meta, title, CSS, favicons, etc. -->\n', '\n')"
"('UAC Manifest Options\n', '\n')"
"('Windows 10 -->\n', '\n')"
"('Windows 7 -->\n', '\n')"
"('Windows 8 -->\n', '\n')"
"('Windows 8.1 -->\n', '\n')"
"('Windows Vista -->\n', '\n')"
