"('0-L.', '', '-L')"
"('0.', '', '')"
"('00.', '', '')"
"('01.', '', '')"
"('0123456789.', '', '')"
"('019c.', '', '')"
"('02.', '', '')"
"('024.', '', '')"
"('04.', '', '')"
"('04G.', '', '')"
"('05.', '', '')"
"('05E.', '', '')"
"('06.', '', '')"
"('08.', '', '')"
"('0803.', '', '')"
"('0A.', '', '')"
"('0Ck.', '', '')"
"('0FGxJe.', '', '')"
"('0H.', '', '')"
"('0H8.', '', '')"
"('0H81.', '', '')"
"('0H84.', '', '')"
"('0H8H.', '', '')"
"('0H8TX.', '', '')"
"('0H8Tv.', '', '')"
"('0H8s.', '', '')"
"('0HD.', '', '')"
"('0Ht.', '', '')"
"('0Hu.', '', '')"
"('0I9s.', '', '')"
"('0IE9.', '', '')"
"('0MapIter.', '', '')"
"('0N.', '', '')"
"('0P.', '', '')"
"('0P8z.', '', '')"
"('0PIP.', '', '')"
"('0SX-4.', '', '-4')"
"('0SharpHound3.', '', '')"
"('0Z.', '', '')"
"('0a.', '', '')"
"('0d.', '', '')"
"('0e.', '', '')"
"('0m.', '', '')"
"('0mspan.', '', '')"
"('0o.', '', '')"
"('0p.', '', '')"
"('0r5.', '', '')"
"('0t.', '', '')"
"('0vW.', '', '')"
"('0y.', '', '')"
"('1.', '', '')"
"('10.', '', '')"
"('10j.', '', '')"
"('11.', '', '')"
"('111m.', '', '')"
"('123.', '', '')"
"('125.', '', '')"
"('12K.', '', '')"
"('12bytes.', '', '-powerpoint')"
"('13.', '', '')"
"('163.', '', '')"
"('17.', '', '')"
"('17J.', '', '')"
"('18.', '', '')"
"('1AHHHH.', '', '')"
"('1H.', '', '')"
"('1HEHt.', '', '')"
"('1HU.', '', '')"
"('1IHM.', '', '')"
"('1J.', '', '')"
"('1Kl.', '', '')"
"('1Mt.', '', '')"
"('1N4.', '', '')"
"('1Q.', '', '')"
"('1VR.', '', '')"
"('1WTA.', '', '')"
"('1b.', '', '')"
"('1jRc.', '', '')"
"('1mAa.', '', '')"
"('1p.', '', '')"
"('1pa.', '', '')"
"('1t.', '', '')"
"('1tL.', '', '')"
"('1u.', '', '')"
"('1uV.', '', '')"
"('2-V.', '', '-V')"
"('2-s.', '', '-s')"
"('2.', '', '')"
"('20J.', '', '')"
"('20v.', '', '')"
