"('', '', '', '', '', '', ' .SMB\n      $pkt', '', '.SMB', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' .SMB\n     $pkt', '', '.SMB', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n  $key', '', '0', 'key', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n\t\t$KeyboardInput', '', '0', 'KeyboardInput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x00000000\n            $StartupInfo', '', '0x00000000', 'StartupInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x00000000\n\t\t$StartupInfo', '', '0x00000000', 'StartupInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x00000001\n            $StartupInfo', '', '0x00000001', 'StartupInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x00000001\n\t\t$StartupInfo', '', '0x00000001', 'StartupInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x00000100\n        $StartupInfo', '', '0x00000100', 'StartupInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x00\n\n    $pkt', '', '0x00', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x01\n    $pkt', '', '0x01', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x10\n      $pkt', '', '0x10', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x10\n    $pkt', '', '0x10', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x10\n\n      $pkt', '', '0x10', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x16\n\n      $pkt', '', '0x16', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x180\n\t\t\t\t$TokenOffset', '', '0x180', 'TokenOffset', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x18\n\t\t\t\t$phead', '', '0x18', 'phead', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x1c\n    $pkt', '', '0x1c', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x208          \n\t\t\t\t$ActiveProcessLinks', '', '0x208', 'ActiveProcessLinks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x2e0\n\t\t\t\t$TokenOffset', '', '0x2e0', 'TokenOffset', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x2e8\n\t\t\t\t$TokenOffset', '', '0x2e8', 'TokenOffset', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x348          \n\t\t\t\t$ActiveProcessLinks', '', '0x348', 'ActiveProcessLinks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x358          \n\t\t\t\t$ActiveProcessLinks', '', '0x358', 'ActiveProcessLinks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x39\n      $pkt', '', '0x39', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x40\n\n    $pkt', '', '0x40', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x4\n    $pkt', '', '0x4', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x6\n      $pkt', '', '0x6', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x8\n      $pkt', '', '0x8', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0x8\n    $pkt', '', '0x8', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0xC\n\t\t\t\t$phead', '', '0xC', 'phead', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0xbb\n\n      $pkt', '', '0xbb', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0xc\n      $pkt', '', '0xc', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0xe\n      $pkt', '', '0xe', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1.0\n\n      $pkt', '', '1.0', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 15\n\n  $remote_reg', '', '15', 'remote_reg', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 163\n\n  $len', '', '163', 'len', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n\t\t$InputObject', '', '1', 'InputObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2055\n      $pkt', '', '2055', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2147483650\n\n  $PuTTYPathEnding', '', '2147483650', 'PuTTYPathEnding', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2195\n    $pkt', '', '2195', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 255\n  $Magic', '', '255', 'Magic', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 256\n\n  $flagAndPass', '', '256', 'flagAndPass', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2957\n\n      $pkt', '', '2957', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n        $SQOS', '', '2', 'SQOS', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n\t\t$KeyboardInput', '', '2', 'KeyboardInput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 4204\n    $pkt_setup_len', '', '4204', 'pkt_setup_len', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 497\n    $pkt_max_payload', '', '497', 'pkt_max_payload', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 49\n    $pkt', '', '49', 'pkt', '', '', '', '', '', '', '', '')"
