"(""        [!] Version 2.0.50727 of the CLR is not installed - PowerShell v2.0 won't be able to run."", '', '')"
"(""  You can obtain these accounts' **NTLM** hashes by sniffing NTLM challenge/responses and then cracking them!"", '', '')"
"(""  [X] 'MSFT_DNSClientCache' WMI class unavailable (minimum supported versions of Windows: 8/2012)"", '', '')"
"(""  [X] 'MSFT_ScheduledTask' WMI class unavailable (minimum supported versions of Windows: 8/2012)"", '', '')"
"(""Enumerating Windows Hotfixes. For *all* Microsoft updates, use the 'MicrosoftUpdates' command.\\r\\n"", '', '')"
"('         Version is 80+, new DPAPI scheme must be used', '', '')"
"('        [!] Module logging is configured. Logging will not occur, however, because it requires PSv3.', '', '')"
"('        [!] NTLM clients support NTLMv1!', '', '')"
"('        [!] NTLM services on this machine support NTLMv1!', '', '')"
"('        [!] Script block logging is configured. Logging will not occur, however, because it requires PSv5.""', '', '')"
"('        [!] The highest .NET version is enrolled in AMSI!', '', '')"
"('        [!] You can do a PowerShell version downgrade to bypass AMSI.', '', '')"
"('        [!] You can do a PowerShell version downgrade to bypass the logging.', '', '')"
"('      ------------------------------', '', '')"
"('      Logged Module Names :', '', '')"
"('      [*] No rules', '', '')"
"('    ------------              ------------              --------', '', '')"
"('    LastAccessed              LastModified              FileName', '', '')"
"('    [*] Applocker is not running because the AppIDSvc is not running\\n', '', '')"
"('    [*] Default Windows settings - Only the RID-500 local admin account can be used for lateral movement.', '', '')"
"('    [*] LocalAccountTokenFilterPolicy == 1. Any administrative local account can be used for lateral movement.', '', '')"
"('    [*] LocalAccountTokenFilterPolicy set to 0 and FilterAdministratorToken == 1.\\n    [*] Local accounts cannot be used for lateral movement.', '', '')"
"('    [*] UAC is disabled.\\n    [*] Any administrative local account can be used for lateral movement.', '', '')"
"('  --- TargetUser,ProcessResults,SubjectUser,IpAddress ---', '', '')"
"('  ----------                         ------------', '', '')"
"('  <Dates the credential was used to logon>\\n\\n', '', '')"
"('  Installed CLR Versions', '', '')"
"('  NTLM v1 authentication is 100 percent broken!\\n', '', '')"
"('  RemoteHost                         UsernameHint', '', '')"
"('  TimeCreated,TargetUser,LogonType,IpAddress,SubjectUsername,AuthenticationPackageName,LmPackageName,TargetOutboundUser', '', '')"
"('  You can obtain NetNTLMv2 for these accounts by sniffing NTLM challenge/responses.', '', '')"
"('  You can then try and crack their passwords.\\n', '', '')"
"('  [*] AppLocker not configured', '', '')"
"('  [*] LAPS not installed', '', '')"
"('  [*] You can also extract many DPAPI masterkeys from memory with the Mimikatz ""sekurlsa::dpapi"" module', '', '')"
"('  [*] You can also use SharpDPAPI for masterkey retrieval.', '', '')"
"(' [X] Cannot enumerate antivirus. root\\\\SecurityCenter2 WMI namespace is not available on Windows Servers', '', '')"
"('All Local Groups (and memberships)\\n\\n', '', '')"
"('Collecting Windows Firewall Non-standard Rules\\n\\n', '', '')"
"('Collecting all Windows Firewall Rules\\n\\n', '', '')"
"('Command not implemented', '', '')"
"('Domain Profile', '', '')"
"('ERROR: Argument is not an integer', '', '')"
"('Format: Date(Local time),User,Command line.\\n', '', '')"
"('Locally-defined Settings:', '', '')"
"('Logon Sessions (via WMI)\\r\\n', '', '')"
"('Mapped Drives (via WMI)\\n', '', '')"
"('No share selected', '', '')"
"('Non-empty Local Groups (and memberships)\\n\\n', '', '')"
"('Output Format:', '', '')"
"('Powered On Events (Time is local time)', '', '')"
"('Private Profile', '', '')"
"('Public Profile', '', '')"
"('RDP Server Settings:', '', '')"
"('Rules:', '', '')"
"('Rules:\\n', '', '')"
"('Searching Sysmon process creation logs (Sysmon ID 1) for sensitive data.\\n', '', '')"
"('Searching process creation logs (EID 4688) for sensitive data', '', '')"
"('Searching script block logs (EID 4104) for sensitive data.\\n', '', '')"
"('Standard Profile', '', '')"
"('Version information not found in the file.', '', '')"
"('[-] File is not a valid JSON', '', '')"
"('\\n  ASR Exclusions:', '', '')"
"('\\n  Accounts authenticate to this machine using NTLM v1!', '', '')"
"('\\n  Accounts authenticate to this machine using NTLM v2!', '', '')"
"('\\n  Anti-Malware Scan Interface (AMSI)', '', '')"
"('\\n  Attack Surface Reduction Rules:\\n', '', '')"
"('\\n  Extension Exclusions', '', '')"
"('\\n  Installed .NET Versions', '', '')"
"('\\n  Installed CLR Versions', '', '')"
"('\\n  Installed PowerShell Versions', '', '')"
"('\\n  Module Logging Settings', '', '')"
"('\\n  NTLM Auditing and Restrictions', '', '')"
"('\\n  NTLM Signing Settings', '', '')"
"('\\n  Other accounts authenticate to this machine using NTLM! NTLM-relay may be possible', '', '')"
"('\\n  Path Exclusions:', '', '')"
"('\\n  PolicyManagerPathExclusions:', '', '')"
"('\\n  Process Exclusions', '', '')"
"('\\n  Script Block Logging Settings', '', '')"
"('\\n  Session Security', '', '')"
"('\\n  The following users have authenticated to this machine using Kerberos.\\n', '', '')"
"('\\n  Transcription Logging Settings', '', '')"
"('\\n  [*] Use the Mimikatz ""dpapi::masterkey"" module with appropriate arguments (/pvk or /rpc) to decrypt', '', '')"
"('\\nRDP Client Settings:', '', '')"
"('\\n\\n\\nGPO-defined Settings:', '', '')"
"('\\r\\n    Orphaned :', '', '')"
