"('Automation.', '', '')"
"('AzureRMContext.', '', '')"
"('BootTimeUtc.', '', '')"
"('CarSeat.', '', '')"
"('ChromeVersion.', '', '')"
"('ClientSettings.', '', '')"
"('Content.', '', '')"
"('CurrentTimeUtc.', '', '')"
"('Domain.', '', '')"
"('ET.', '', '')"
"('Exclusions.', '', '')"
"('ExtensionExclusions.', '', '')"
"('Microsoft.', '', '')"
"('Name.', '', '')"
"('Odsp.', '', '')"
"('OneDriveList.', '', '')"
"('OptionalFeatureState.', '', '')"
"('PathExclusions.', '', '')"
"('PolicyManagerPathExclusions.', '', '')"
"('PowerShell.', '', '')"
"('Principal.', '', '')"
"('Private.', '', '')"
"('ProcessExclusions.', '', '')"
"('Profiles.', '', '')"
"('Properties.', '', '')"
"('ProtectedUserKey.', '', '')"
"('Public.', '', '')"
"('Rules.', '', '')"
"('Security.', '', '')"
"('Sessions.', '', '')"
"('Standard.', '', '')"
"('System.', '', '')"
"('TimeCreated.', '', '')"
"('TokenCache.', '', '')"
"('access.', '', '')"
"('action.', '', '')"
"('agentendpoint.', '', '')"
"('alg.', '', '')"
"('algorithms.', '', '')"
"('applocker.', '', '')"
"('arg.', '', '')"
"('argparse.', '', '')"
"('attr.', '', '')"
"('attrib.', '', '')"
"('attrs.', '', '')"
"('azureProfile.', '', '')"
"('b.', '', '')"
"('binxml.', '', '')"
"('bmark.', '', '')"
"('bookmark.', '', '')"
"('bytes.', '', '')"
"('chardet.', '', '')"
"('chrome.', '', '')"
"('classObject.', '', '')"
"('client.', '', '')"
"('cmd.', '', '')"
"('command.', '', '')"
"('commands.', '', '')"
"('conf.', '', '')"
"('config.', '', '')"
"('configs.', '', '')"
"('conn.', '', '')"
"('connection.', '', '')"
"('connections.', '', '')"
"('content.', '', '')"
"('credentials.', '', '')"
"('d.', '', '')"
"('data.', '', '')"
"('date.', '', '')"
"('datetime.', '', '')"
"('dce.', '', '')"
"('dcom.', '', '')"
"('defender.', '', '')"
"('deserialized.', '', '')"
"('download.', '', '')"
"('downloads.', '', '')"
"('dpapi.', '', '')"
"('dt.', '', '')"
"('e.', '', '')"
"('elem.', '', '')"
"('element.', '', '')"
"('entry.', '', '')"
"('etree.', '', '')"
"('even6.', '', '')"
"('event.', '', '')"
"('examples.', '', '')"
"('exe.', '', '')"
"('favorites.', '', '')"
"('features.', '', '')"
"('fh.', '', '')"
"('file.', '', '')"
"('filename.', '', '')"
"('filezilla.', '', '')"
"('firefox.', '', '')"
"('firewall.', '', '')"
"('github.', '', '')"
"('gnu.', '', '')"
"('group.', '', '')"
"('groups.', '', '')"
"('hashes.', '', '')"
"('history.', '', '')"
"('hotfix.', '', '')"
"('iEnum.', '', '')"
"('iEnumWbemClassObject.', '', '')"
"('iWbemLevel1Login.', '', '')"
"('iWbemServices.', '', '')"
"('ie.', '', '')"
"('iefav.', '', '')"
"('impacket.', '', '')"
"('info.', '', '')"
"('inspect.', '', '')"
"('json.', '', '')"
"('k.', '', '')"
"('key3.', '', '')"
"('key4.', '', '')"
"('keys.', '', '')"
"('laps.', '', '')"
"('line.', '', '')"
"('location.', '', '')"
"('logger.', '', '')"
"('logging.', '', '')"
"('logon.', '', '')"
"('lsad.', '', '')"
"('lsass.', '', '')"
"('m.', '', '')"
"('m2.', '', '')"
"('match.', '', '')"
"('microsoft.', '', '')"
"('min.', '', '')"
"('mkey.', '', '')"
"('model.', '', '')"
"('mpList.', '', '')"
"('navap.', '', '')"
"('ntlm.', '', '')"
"('ntpath.', '', '')"
"('o.', '', '')"
"('obj.', '', '')"
"('options.', '', '')"
"('os.', '', '')"
"('output.', '', '')"
"('p.', '', '')"
"('pEnum.', '', '')"
"('path.', '', '')"
"('pefile.', '', '')"
"('phk.', '', '')"
"('places.', '', '')"
"('powershell.', '', '')"
"('principal.', '', '')"
"('proc.', '', '')"
"('process.', '', '')"
"('prop.', '', '')"
"('provider.', '', '')"
"('puttysessions.', '', '')"
"('pwd.', '', '')"
"('rc.', '', '')"
"('rdp.', '', '')"
"('rdpsettings.', '', '')"
"('rdr.', '', '')"
"('re.', '', '')"
"('recentservers.', '', '')"
"('record.', '', '')"
"('reg.', '', '')"
"('regex.', '', '')"
"('requirements.', '', '')"
"('results.', '', '')"
"('root.', '', '')"
"('rpctransport.', '', '')"
"('rule.', '', '')"
"('rules.', '', '')"
"('samr.', '', '')"
"('sax.', '', '')"
"('schtask.', '', '')"
"('self.', '', '')"
"('server.', '', '')"
"('session.', '', '')"
"('sessions.', '', '')"
"('settings.', '', '')"
"('sid.', '', '')"
"('sitemanager.', '', '')"
"('slack.', '', '')"
"('socket.', '', '')"
"('struct.', '', '')"
"('sys.', '', '')"
"('sysmon.', '', '')"
"('tag.', '', '')"
"('template.', '', '')"
"('text.', '', '')"
"('time.', '', '')"
"('timezone.', '', '')"
"('transport.', '', '')"
"('trigger.', '', '')"
"('trustee.', '', '')"
"('twitter.', '', '')"
"('uac.', '', '')"
"('uptime.', '', '')"
"('url.', '', '')"
"('urls.', '', '')"
"('useScopeIDs.', '', '')"
"('users.', '', '')"
"('uuid.', '', '')"
"('v.', '', '')"
"('v5.', '', '')"
"('val.', '', '')"
"('value.', '', '')"
"('values.', '', '')"
"('version.', '', '')"
"('versions.', '', '')"
"('wmi.', '', '')"
"('workspace.', '', '')"
"('workspaces.', '', '')"
"('x.', '', '')"
"('xmlDoc.', '', '')"
