"('', '', '', 'from .EVENHandler import EVENHandler')"
"('', '', '', 'from .MiscUtil import MiscUtil')"
"('', '', '', 'from .PrintHandler import PrintHandler')"
"('', '', '', 'from .SAMRHandler import SAMRHandler')"
"('', '', '', 'from .SMBHandler import SMBHandler')"
"('', '', '', 'from .WMIHandler import WMIHandler')"
"('', 'collections', 'OrderedDict', '')"
"('', 'datetime', 'datetime', '')"
"('', 'enum', 'IntEnum', '')"
"('', 'fileinput', 'filename', '')"
"('', 'impacket.dcerpc.v5', 'even6', '')"
"('', 'impacket.dcerpc.v5', 'transport', '')"
"('', 'impacket.dcerpc.v5.dcom', 'wmi', '')"
"('', 'impacket.dcerpc.v5.dcomrt', 'DCOMConnection', '')"
"('', 'impacket.dcerpc.v5.dtypes', 'NULL', '')"
"('', 'impacket.dcerpc.v5.rpcrt', 'RPC_C_AUTHN_LEVEL_PKT_PRIVACY', '')"
"('', 'impacket.examples', 'logger', '')"
"('', 'impacket.examples.utils', 'parse_target', '')"
"('', 'impacket.smbconnection', 'SMBConnection', '')"
"('', 'impacket.smbconnection', 'SessionError', '')"
"('', 'impacket.structure', 'Structure', '')"
"('', 'impacket.uuid', 'uuidtup_to_bin', '')"
"('', 'io', 'BytesIO', '')"
"('', 'lib', 'EVENHandler', '')"
"('', 'lib', 'MiscUtil', '')"
"('', 'lib', 'PrintHandler', '')"
"('', 'lib', 'SAMRHandler', '')"
"('', 'lib', 'SMBHandler', '')"
"('', 'lib', 'WMIHandler', '')"
"('', 'os.path', 'splitext', '')"
"('', 'textwrap', 'wrap', '')"
"('', 'typing', 'Optional', '')"
"('', 'xml.sax.saxutils', 'escape', '')"
"('argparse', '', '', '')"
"('base64', '', '', '')"
"('charset_normalizer', '', '', '')"
"('importlib', '', '', '')"
"('inspect', '', '', '')"
"('json', '', '', '')"
"('logging', '', '', '')"
"('ntpath', '', '', '')"
"('os', '', '', '')"
"('pefile', '', '', '')"
"('re', '', '', '')"
"('socket', '', '', '')"
"('struct', '', '', '')"
"('sys', '', '', '')"
"('time', '', '', '')"
"('traceback', '', '', '')"
"('uuid', '', '', '')"
"('xml.etree.ElementTree', '', '', '')"
