"('http://', 'ht', '', '/harmj0y', '/', 'harmj0y')"
"('http://', 'ht', '', '/tifkin_', '/', 'tifkin_')"
"('http://', 'ht', '', '/wbem/wsman/1/config/PluginConfiguration', '/', 'wbem/wsman/1/config/PluginConfiguration')"
"('http://', 'ht', '', '/win/2004/08/events/event', '/', 'win/2004/08/events/event')"
"('https://', 'ht', 's', '/GhostPack/Seatbelt', '/', 'GhostPack/Seatbelt')"
"('https://', 'ht', 's', '/GhostPack/Seatbelt?tab=readme-ov-file#acknowledgments', '/', 'GhostPack/Seatbelt?tab=readme-ov-file#acknowledgments')"
"('https://', 'ht', 's', '/djhohnstein/SharpWeb', '/', 'djhohnstein/SharpWeb')"
"('https://', 'ht', 's', '/fortra/impacket/issues/1845', '/', 'fortra/impacket/issues/1845')"
"('https://', 'ht', 's', '/irtimmer/tivan', '/', 'irtimmer/tivan')"
"('https://', 'ht', 's', '/irtimmer/tivan/blob/master/tivan/parser/binxml.py', '/', 'irtimmer/tivan/blob/master/tivan/parser/binxml.py')"
"('www.', 'ht', 's', '/licenses', '/', 'licenses')"
