"('ASP.', '', '')"
"('Actions.', '', '')"
"('App.', '', '')"
"('AssemblyInfo.', '', '')"
"('AutoTest.', '', '')"
"('BenchmarkDotNet.', '', '')"
"('CPU.', '', '')"
"('CSharp.', '', '')"
"('Collections.', '', '')"
"('Common.', '', '')"
"('ComponentModel.', '', '')"
"('Console.', '', '')"
"('Costura.', '', '')"
"('CosturaUtility.', '', '')"
"('Data.', '', '')"
"('DateTime.', '', '')"
"('Diagnostics.', '', '')"
"('DotSettings.', '', '')"
"('Encoding.', '', '')"
"('File.', '', '')"
"('Fody.', '', '')"
"('FodyWeavers.', '', '')"
"('Folder.', '', '')"
"('GhostDoc.', '', '')"
"('HResult.', '', '')"
"('Helper.', '', '')"
"('IO.', '', '')"
"('Int16.', '', '')"
"('IntPtr.', '', '')"
"('InteropServices.', '', '')"
"('Linq.', '', '')"
"('Microsoft.', '', '')"
"('ModelManifest.', '', '')"
"('NETCore.', '', '')"
"('NETStandard.', '', '')"
"('Net.', '', '')"
"('Node.', '', '')"
"('Path.', '', '')"
"('Principal.', '', '')"
"('Program.', '', '')"
"('Reflection.', '', '')"
"('RegistrationInfo.', '', '')"
"('RegistryHive.', '', '')"
"('RegistryKey.', '', '')"
"('RegistryKeyPermissionCheck.', '', '')"
"('RegistryRights.', '', '')"
"('Repetition.', '', '')"
"('Resources.', '', '')"
"('RootFolder.', '', '')"
"('Runtime.', '', '')"
"('RuntimeInformation.', '', '')"
"('ScaffoldingReadMe.', '', '')"
"('ScheduleRunner.', '', '')"
"('Security.', '', '')"
"('Settings.', '', '')"
"('StoreAssociation.', '', '')"
"('StringComparison.', '', '')"
"('StyleCopReport.', '', '')"
"('SubFolders.', '', '')"
"('System.', '', '')"
"('TaskManager.', '', '')"
"('TaskScheduler.', '', '')"
"('Tasks.', '', '')"
"('TestResult.', '', '')"
"('Text.', '', '')"
"('Threading.', '', '')"
"('TimeSpan.', '', '')"
"('Triggers.', '', '')"
"('UserId.', '', '')"
"('VC.', '', '')"
"('VisualState.', '', '')"
"('Win32.', '', '')"
"('WindowsIdentity.', '', '')"
"('Xml.', '', '')"
"('ackup.', '', '')"
"('agent.', '', '')"
"('args.', '', '')"
"('argsParam.', '', '')"
"('array.', '', '')"
"('backdoor.', '', '')"
"('bim.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('calc.', '', '')"
"('codegen.', '', '')"
"('day.', '', '')"
"('dbproj.', '', '')"
"('dt.', '', '')"
"('e.', '', '')"
"('execAction.', '', '')"
"('extensions.', '', '')"
"('fld.', '', '')"
"('folder.', '', '')"
"('github.', '', '')"
"('int.', '', '')"
"('kernel32.', '', '')"
"('launch.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('lt.', '', '')"
"('method.', '', '')"
"('microsoft.', '', '')"
"('modifier.', '', '')"
"('notepad.', '', '')"
"('nuget.', '', '')"
"('odx.', '', '')"
"('packages.', '', '')"
"('paket.', '', '')"
"('payload.', '', '')"
"('project.', '', '')"
"('rdl.', '', '')"
"('repositories.', '', '')"
"('resources.', '', '')"
"('ret.', '', '')"
"('rptproj.', '', '')"
"('rundll32.', '', '')"
"('screenshot.', '', '')"
"('settings.', '', '')"
"('sfld.', '', '')"
"('sln.', '', '')"
"('startTime.', '', '')"
"('t.', '', '')"
"('task.', '', '')"
"('tasks.', '', '')"
"('td.', '', '')"
"('technique.', '', '')"
"('tf.', '', '')"
"('treeSubKey.', '', '')"
"('trigger.', '', '')"
"('ts.', '', '')"
"('ublish.', '', '')"
"('userOnTrigger.', '', '')"
"('w3.', '', '')"
"('xsd.', '', '')"
