"('0', '0', '0', '0')"
"('00', '100', '1', '1')"
"('00', '100', '1', '10')"
"('00', '100', '1', '11')"
"('00', '100', '1', '12')"
"('00', '100', '1', '13')"
"('00', '100', '1', '14')"
"('00', '100', '1', '15')"
"('00', '100', '1', '2')"
"('00', '100', '1', '20')"
"('00', '100', '1', '21')"
"('00', '100', '1', '25')"
"('00', '100', '1', '3')"
"('00', '100', '1', '37')"
"('00', '100', '1', '38')"
"('00', '100', '1', '41')"
"('00', '100', '1', '42')"
"('00', '100', '1', '44')"
"('00', '100', '1', '45')"
"('00', '100', '1', '48')"
"('00', '100', '1', '5')"
"('00', '100', '1', '55')"
"('00', '100', '1', '56')"
"('00', '100', '1', '6')"
"('00', '100', '1', '60')"
"('00', '100', '1', '7')"
"('00', '100', '1', '8')"
"('00', '100', '1', '9')"
"('1', '1', '1', '0')"
"('1', '1', '1', '1')"
"('1', '1', '1', '10')"
"('1', '1', '1', '11')"
"('1', '1', '1', '12')"
"('1', '1', '1', '13')"
"('1', '1', '1', '14')"
"('1', '1', '1', '15')"
"('1', '1', '1', '16')"
"('1', '1', '1', '17')"
"('1', '1', '1', '18')"
"('1', '1', '1', '19')"
"('1', '1', '1', '2')"
"('1', '1', '1', '20')"
"('1', '1', '1', '21')"
"('1', '1', '1', '22')"
"('1', '1', '1', '23')"
"('1', '1', '1', '24')"
"('1', '1', '1', '26')"
"('1', '1', '1', '27')"
"('1', '1', '1', '3')"
"('1', '1', '1', '4')"
"('1', '1', '1', '5')"
"('1', '1', '1', '6')"
"('1', '1', '1', '7')"
"('1', '1', '1', '8')"
"('1', '1', '1', '9')"
"('1', '3', '6', '1')"
"('10', '10', '10', '10')"
"('10', '52', '149', '023')"
"('11', '10', '3', '1')"
"('11', '10', '3', '10')"
"('11', '10', '3', '11')"
"('11', '10', '3', '12')"
"('11', '10', '3', '13')"
"('11', '10', '3', '19')"
"('11', '10', '3', '2')"
"('11', '10', '3', '20')"
"('11', '10', '3', '21')"
"('11', '10', '3', '22')"
"('11', '10', '3', '23')"
"('11', '10', '3', '24')"
"('11', '10', '3', '25')"
"('11', '10', '3', '26')"
"('11', '10', '3', '27')"
"('11', '10', '3', '30')"
"('11', '10', '3', '39')"
"('11', '10', '3', '4')"
"('11', '10', '3', '5')"
"('11', '10', '3', '6')"
"('11', '10', '3', '7')"
"('11', '10', '3', '8')"
"('11', '10', '3', '9')"
"('11', '10', '5', '1')"
"('11', '10', '6', '1')"
"('11', '10', '6', '2')"
"('11', '2', '6', '1')"
"('11', '2', '6', '2')"
"('11', '20', '2', '1')"
"('11', '20', '2', '2')"
"('11', '61', '1', '1')"
"('11', '61', '4', '1')"
"('11', '61', '5', '1')"
"('11', '64', '1', '1')"
"('11', '76', '3', '1')"
"('11', '76', '5', '1')"
"('11', '76', '6', '1')"
"('11', '76', '8', '1')"
"('127', '0', '0', '1')"
"('192', '168', '86', '192')"
"('2', '2', '2', '2')"
"('2', '23', '133', '8')"
"('2', '3', '2', '2')"
"('2', '5', '18', '1')"
"('2', '5', '18', '10')"
"('2', '5', '18', '2')"
"('2', '5', '21', '2')"
"('2', '5', '21', '5')"
"('2', '5', '21', '6')"
"('2', '5', '21', '9')"
"('2', '5', '29', '15')"
"('2', '5', '29', '19')"
"('2', '5', '29', '37')"
"('2', '5', '4', '0')"
"('2', '5', '4', '10')"
"('2', '5', '4', '11')"
"('2', '5', '4', '12')"
"('2', '5', '4', '13')"
"('2', '5', '4', '14')"
"('2', '5', '4', '15')"
"('2', '5', '4', '16')"
"('2', '5', '4', '17')"
