"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/99a5f60756.js', '/', '99a5f60756.js')"
"('https://', 'ht', 's', '/CravateRouge/bloodyAD', '/', 'CravateRouge/bloodyAD')"
"('https://', 'ht', 's', '/Forums/windowsserver/en-US/d028952f-a25a-42e6-99c5-28beae2d3ac3/how-can-i-know-the-default-computer-container?forum=winservergen', '/', 'Forums/windowsserver/en-US/d028952f-a25a-42e6-99c5-28beae2d3ac3/how-can-i-know-the-default-computer-container?forum=winservergen')"
"('https://', 'ht', 's', '/GeisericII/6849bc86620c7a764d88502df5187bd0', '/', 'GeisericII/6849bc86620c7a764d88502df5187bd0')"
"('https://', 'ht', 's', '/GhostPack/Certify/blob/2b1530309c0c5eaf41b2505dfd5a68c83403d031/Certify/Domain/CertificateAuthority.cs#L11', '/', 'GhostPack/Certify/blob/2b1530309c0c5eaf41b2505dfd5a68c83403d031/Certify/Domain/CertificateAuthority.cs#L11')"
"('https://', 'ht', 's', '/GhostPack/Certify/blob/2b1530309c0c5eaf41b2505dfd5a68c83403d031/Certify/Domain/CertificateAuthority.cs#L23', '/', 'GhostPack/Certify/blob/2b1530309c0c5eaf41b2505dfd5a68c83403d031/Certify/Domain/CertificateAuthority.cs#L23')"
"('https://', 'ht', 's', '/H0j3n/ldap3.git@powerview.py_match-requirements', '/', 'H0j3n/ldap3.git@powerview.py_match-requirements')"
"('https://', 'ht', 's', '/MaLDAPtive/Invoke-Maldaptive', '/', 'MaLDAPtive/Invoke-Maldaptive')"
"('https://', 'ht', 's', '/PowerShellMafia/PowerSploit/blob/master/Recon/PowerView.ps1', '/', 'PowerShellMafia/PowerSploit/blob/master/Recon/PowerView.ps1')"
"('https://', 'ht', 's', '/SecureAuthCorp/impacket', '/', 'SecureAuthCorp/impacket')"
"('https://', 'ht', 's', '/ThePirateWhoSmellsOfSunflowers/ldap3/tree/tls_cb_and_seal_for_ntlm', '/', 'ThePirateWhoSmellsOfSunflowers/ldap3/tree/tls_cb_and_seal_for_ntlm')"
"('https://', 'ht', 's', '/ThePorgs/impacket', '/', 'ThePorgs/impacket')"
"('https://', 'ht', 's', '/aniqfakhrul/powerview.py', '/', 'aniqfakhrul/powerview.py')"
"('https://', 'ht', 's', '/aniqfakhrul/powerview.py/wiki', '/', 'aniqfakhrul/powerview.py/wiki')"
"('https://', 'ht', 's', '/dirkjanm/PKINITtools', '/', 'dirkjanm/PKINITtools')"
"('https://', 'ht', 's', '/dirkjanm/krbrelayx/blob/master/dnstool.py', '/', 'dirkjanm/krbrelayx/blob/master/dnstool.py')"
"('https://', 'ht', 's', '/dirkjanm/ldapdomaindump', '/', 'dirkjanm/ldapdomaindump')"
"('https://', 'ht', 's', '/en-us/dotnet/api/system.directoryservices.activedirectoryrights?view=net-5.0', '/', 'en-us/dotnet/api/system.directoryservices.activedirectoryrights?view=net-5.0')"
"('https://', 'ht', 's', '/en-us/dotnet/api/system.directoryservices.activedirectoryrights?view=netframework-4.7.2', '/', 'en-us/dotnet/api/system.directoryservices.activedirectoryrights?view=netframework-4.7.2')"
"('https://', 'ht', 's', '/en-us/openspecs/windows_protocols/ms-crtd/ec71fd43-61c2-407b-83c9-b52272dec8a1', '/', 'en-us/openspecs/windows_protocols/ms-crtd/ec71fd43-61c2-407b-83c9-b52272dec8a1')"
"('https://', 'ht', 's', '/en-us/openspecs/windows_protocols/ms-crtd/f6122d87-b999-4b92-bff8-f465e8949667', '/', 'en-us/openspecs/windows_protocols/ms-crtd/f6122d87-b999-4b92-bff8-f465e8949667')"
"('https://', 'ht', 's', '/en-us/openspecs/windows_protocols/ms-dtyp/72e7c7ea-bc02-4c74-a619-818a16bf6adb', '/', 'en-us/openspecs/windows_protocols/ms-dtyp/72e7c7ea-bc02-4c74-a619-818a16bf6adb')"
"('https://', 'ht', 's', '/en-us/openspecs/windows_protocols/ms-dtyp/7a53f60e-e730-4dfe-bbe9-b21b62eb790b', '/', 'en-us/openspecs/windows_protocols/ms-dtyp/7a53f60e-e730-4dfe-bbe9-b21b62eb790b')"
"('https://', 'ht', 's', '/en-us/openspecs/windows_protocols/ms-dtyp/c79a383c-2b3f-4655-abe7-dcbb7ce0cfbe', '/', 'en-us/openspecs/windows_protocols/ms-dtyp/c79a383c-2b3f-4655-abe7-dcbb7ce0cfbe')"
"('https://', 'ht', 's', '/en-us/powershell/module/grouppolicy/new-gplink', '/', 'en-us/powershell/module/grouppolicy/new-gplink')"
"('https://', 'ht', 's', '/en-us/previous-versions/windows/it-pro/windows-server-2003/cc783530', '/', 'en-us/previous-versions/windows/it-pro/windows-server-2003/cc783530')"
"('https://', 'ht', 's', '/en-us/windows/win32/adschema/a-rightsguid', '/', 'en-us/windows/win32/adschema/a-rightsguid')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/iads/ne-iads-ads_rights_enum?redirectedfrom=MSDN', '/', 'en-us/windows/win32/api/iads/ne-iads-ads_rights_enum?redirectedfrom=MSDN')"
